sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
TILJSZO,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TILJSOZ,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O
TILJZSO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
TILJZOS,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X
TILJOSZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TILSJZO,O,X,O,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TILSJOZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TILSZJO,X,X,O,O,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O
TILSZOJ,X,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TILSOJZ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TILSOZJ,X,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O
TILZJSO,X,X,O,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
TILZJOS,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TILZSJO,X,X,O,O,O,X,X,X,X,O,X,O,X,O,O,O,X,X,O
TILZSOJ,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O
TILZOJS,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TILOJSZ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TILOJZS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TILOSJZ,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
