sequence,v115@vhHX5IcjBTfB+tBTpBiqBlsBRwB,v115@vhH01I/fBTjBKpBFqBGsBTtBRwB,v115@vhHX5IcjBzfB+tBTpBiqBlsBRwB,v115@vhH01I/fBziBKpBFqBGsBTtBRwB,v115@vhH/CJcjBTfB+tBTpBiqBlsBRwB,v115@vhH//IcgBTjBKpBFqBGsBTtBRwB,v115@vhHX+ITfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBTjBWvBFrBSxBTtB,v115@vhH07ITfBZlBfoBTpBWwBFsBSyB,v115@vhHX9I8kB5nBTjB2uBlqBywBTtB,v115@vhH07IZkBzfBfoBzpBWwBFsBSyB,v115@vhHX9I8kBziB5oB2uBlqBywBzsB,v115@vhHX+IzfB8lB5oBTpB2vBlrByxB,v115@vhH06IZkBfnBziBWvBFrBSxBTtB,v115@vhH02I/gBTfBKqBTpBFrBGtBRxB,v115@vhHX4IciBTjB+sBipBlrBTtBRvB,v115@vhHX4IciB6oBznBTpB2vBlrBxxB,v115@vhH02I/gBOkBzkBFrBSxBTtBxuB,v115@vhH/AJchBTfBKqBTpBFrBGtBRxB,v115@vhH/BJciBTjB+sBipBlrBTtBRvB,v115@vhH/BJciB6oBznBTpB2vBlrBxxB,v115@vhH/AJchBOkBzkBFrBSxBTtBxuB,v115@vhHi1IcfBTeBFlB+tBTpB3qBRsB,v115@vhHG5ITaB/jBKpBlnBRqBUsBTtB,v115@vhHi1IcfBFlBWsBTpB3qBTtBxwB,v115@vhHG5I/jByqBlnBTpBUsBTtBxvB,v115@vhHi1IcfBTbBFlB+tBTpB3qBRsB,v115@vhHG5ITdB/jBKpBlnBRqBUsBTtB,v115@vhHX5IcjBTiBStBTpB2vBlrBxxB,v115@vhH01I/fBTgB2pBFrBSxBTtBxuB,v115@vhHT5IciBXjBStBTpB2vBlrBxxB,v115@vhHT1I/gB0fB2pBFrBSxBTtBxuB,v115@vhHf9IGeBUjBFnBTpBxqBSxBTtB,v115@vhH87IiaB3fBllBTpB2vBxrBTtB,v115@vhHc/ISoBFlBWsBTpB3qBTtBxwB,v115@vhH/DJ2kByqBlnBTpBUsBTtBxvB,v115@vhHc/I5oBFlB+rBatBTpB3qBTsB,v115@vhH/DJZkBupBKrBlnBTqBUsBTtB,v115@vhHZ6IGZB/jBtnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBdlBTpB3qBGsBTtB,v115@vhHT/IulBKqBNrBUnB/tBTpBRxB,v115@vhHaHJTjBcpB3lB9rB+sBTtBRvB,v115@vhHc+ITfB5oB2qBlnBTpB3rByxB,v115@vhH/6IZkBTjBFlBSsBWvBUrBTtB,v115@vhHT/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJTjBKpBNqBUmB/sBTtBRwB,v115@vhHG5IzdBcoBXmBTpBFsBSyBxvB,v115@vhHi1IzaB/kB0mB2uBlqBTtBxwB,v115@vhHz/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHuEJziBKpBNqBUmB/sBTtBRwB,v115@vhH++IUhBFlBSsBToBTpB3qBxxB,v115@vhHK6I3hBTkB2qBlnBUsBTtBxuB,v115@vhHi1IcfBdlBWsBTpB3qBTtBxwB,v115@vhHG5I/jBtnByqBTpBUsBTtBxvB,v115@vhHi1IcfBTbBFlBXmB+tBTpBRsB,v115@vhHG5ITdB/jBKpB0mBlnBRqBTtB,v115@vhHT1I/bBifBUlBFmB+tBTpBRsB,v115@vhHc9ITZBGjBKpBlmB3nBRqBTtB,v115@vhHyEJXjBRmB+tBTpBTqB0rBlsB,v115@vhH0/IWoBKpBRmBFqBXrBTsBTtB,v115@vhHZ6IGZB/jBlnBTpBiqBUsBTtB,v115@vhHi1I5eBcfBFlBTpB3qBGsBTtB
comments,O-s-01,O-s-01M,O-s-02,O-s-02M,O-s-03,O-s-03M,O-s-04,O-s-04M,O-s-05,O-s-05M,O-s-05,O-s-05M,O-s-06,O-s-06M,O-s-07,O-s-07M,O-s-07M,O-s-07,O-s-08,O-s-08M,O-s-08M,O-s-08,O-s-09,O-s-09M,O-s-10,O-s-10M,O-s-11,O-s-11M,O-s-12,O-s-12M,O-s-12,O-s-12M,O-s-13,O-s-13M,O-s-14,O-s-14M,O-s-14,O-s-14M,O-s-15,O-s-15M,O-s-16,O-s-16M,O-s-17,O-s-17M,O-s-18,O-s-18M,O-s-19,O-s-19M,O-s-20,O-s-20M,O-s-21,O-s-21M,O-s-22,O-s-22M,O-s-23,O-s-23M,O-s-23,O-s-23M,O-s-24,O-s-24M,O-s-25,O-s-25M
score,5281.56746031746,5281.56746031746,5271.527777777777,5271.527777777777,5255.972222222223,5255.972222222223,5208.0952380952385,5208.0952380952385,5206.230158730159,5206.230158730159,5206.230158730159,5206.230158730159,5205.436507936508,5205.436507936508,5168.9682539682535,5168.9682539682535,5168.9682539682535,5168.9682539682535,5124.007936507936,5124.007936507936,5124.007936507936,5124.007936507936,5103.273809523809,5103.273809523809,5093.214285714285,5093.214285714285,5081.369047619048,5081.369047619048,5040.31746031746,5040.31746031746,5040.31746031746,5040.31746031746,5033.035714285715,5033.035714285715,4988.789682539683,4988.789682539683,4988.789682539683,4988.789682539683,4986.150793650793,4986.150793650793,4974.087301587301,4974.087301587301,4966.369047619048,4966.369047619048,4964.523809523809,4964.523809523809,4950.813492063492,4950.813492063492,4947.380952380952,4947.380952380952,4943.630952380952,4943.630952380952,4929.126984126984,4929.126984126984,4924.186507936508,4924.186507936508,4924.186507936508,4924.186507936508,4923.630952380952,4923.630952380952,4907.202380952381,4907.202380952381
TILJSZO,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TILJSOZ,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,O,X,O,X,O,X,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TILJZOS,O,X,O,X,O,X,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOSZ,X,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,O,X,O,X,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TILSJOZ,X,O,X,O,X,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
