sequence,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBCiB8?qBTnB1wB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBTiB6?qBcrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBlmBc?sBzqBCsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBXiB6?qBcsBTrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBTiBllBc?rBXsBCrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBllBcrBT?nBCrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBfnB6nBl?lB0rBzqB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFRhB+nBcpBl?lBXrBzrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFWnBcpBllBx?rBzqBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JexBJvhFTkBllB3mBc?sBipBWwB
TILJSZO,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,X,X,O,X
TIJZSLO,O,X,X,X,X,X,O,X,X,X
TIJZSOL,O,X,X,X,O,X,X,X,X,X
TIJZOLS,O,X,X,X,X,O,X,X,X,X
TIJZOSL,O,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,O,X
TIZLJOS,X,X,X,X,X,X,X,X,O,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,X,O,X
TIZJLOS,X,X,X,X,X,X,X,X,O,X
TIZJSLO,O,X,X,X,X,X,O,X,X,X
TIZJSOL,O,X,X,X,O,X,X,X,X,X
TIZJOLS,O,X,X,X,X,O,X,X,X,X
TIZJOSL,O,X,X,X,X,O,X,X,X,X
TIZSLJO,O,X,X,X,X,X,O,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,O,X,X,X
TIZSJOL,O,X,X,X,O,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,O,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,O,X,X,X,X
