sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
TILJSZO,X,O,O,O,X,X,X,X,X
TILJSOZ,X,O,O,O,X,X,X,X,X
TILJZSO,X,O,O,O,X,X,X,X,X
TILJZOS,X,O,O,O,X,X,X,X,X
TILJOSZ,X,O,O,O,X,X,X,X,X
TILJOZS,X,O,O,O,X,X,X,X,X
TILSJZO,X,O,O,O,X,X,X,X,X
TILSJOZ,X,O,O,O,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,X
TILSOJZ,X,O,O,O,X,X,X,X,X
TILSOZJ,O,O,X,O,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X
TILZSJO,O,O,X,O,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,O,X,X
TILZOJS,O,O,X,O,X,X,X,X,X
TILZOSJ,O,O,X,O,X,X,O,X,X
TILOJSZ,X,O,O,O,X,X,X,X,X
TILOJZS,X,O,O,O,X,X,X,X,X
TILOSJZ,X,O,O,O,X,X,X,X,X
TILOSZJ,O,O,X,O,X,X,X,X,X
TILOZJS,O,O,X,O,X,X,X,X,X
TILOZSJ,O,O,X,O,X,X,O,X,X
TIJLSZO,X,O,O,O,X,X,X,X,X
