sequence,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFGeBylBRiBF?nBTrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBlhB3?iBKrBUsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeR8IvhFGeBTgBihB3?iBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBlhBcnBm?lBCnBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFehBSiBTeBF?nB3mBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF6iBTeBmhBX?hB1rBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je38IvhFGeBTgBliBU?hByrBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JeX9IvhFTeBigBcnBG?mBFmBxwB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je37IvhFTeBxlBirBc?sBlrBGsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Jez7IvhFfiBxdB2lBC?jBcrBVxB,v115@zgC8GeB8HeB8FeF8CeG8DeB8Je1AJvhF0cBTeBxlBX?nB2wB6sB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFicBGeBRiBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxdBFmBXnBO?rBzrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFxiBFmBXnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBRdBSjBF?mB3rBTsB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhFXhBxiBFnBT?rBmrBCtB,v115@zgC8GeB8HeB8FeF8CeG8DeB8JecAJvhF2hBTeBFmB3?rB5nBasB
TILJSZO,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TILZOJS,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSZLO,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X
TIJSZOL,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TIJZLOS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJZSOL,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X
TIJZOLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TIJOZLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISJZLO,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X
TISJZOL,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISZLJO,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TISZLOJ,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TISZJLO,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TISZJOL,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TISZOLJ,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X
TISZOJL,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TISOLJZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TISOZLJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X
TIZLJOS,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZLSJO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TIZLOJS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TIZJLOS,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZJSLO,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
TIZJSOL,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
TIZJOLS,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZJOSL,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TIZSLJO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,O,O,X,O,X,O,X,X,X,O,X,O,X
TIZSJLO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X
TIZSOJL,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
TIZOLJS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOJZLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TIOZSJL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TLIJSZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TLIZOJS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJISOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJZIOS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJZOSI,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSJIZO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
