sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
TILJSZO,O,X,X,X,X,X,X,O,O,O
TILJSOZ,O,X,X,X,X,X,X,O,O,O
TILJZSO,O,X,X,X,O,O,X,O,O,O
TILJZOS,O,X,X,X,O,O,X,O,X,X
TILJOSZ,O,X,X,X,X,X,X,O,O,O
TILJOZS,O,X,X,X,O,O,X,O,X,X
TILSJZO,O,X,X,X,X,X,O,O,O,O
TILSJOZ,O,X,X,X,X,X,O,O,O,O
TILSZJO,O,X,X,X,O,X,O,O,O,O
TILSZOJ,O,X,X,X,O,X,O,O,O,O
TILSOJZ,O,X,X,X,X,X,O,O,O,O
TILSOZJ,O,X,X,X,O,X,O,X,O,O
TILZJSO,O,X,X,X,O,O,X,O,O,O
TILZJOS,O,X,X,X,O,O,X,O,X,X
TILZSJO,O,X,X,X,O,O,X,O,O,O
TILZSOJ,O,X,X,X,O,O,X,O,O,O
TILZOJS,O,X,X,X,O,X,X,O,X,X
TILZOSJ,X,X,X,X,O,X,X,O,X,X
TILOJSZ,X,X,X,X,X,X,X,O,O,O
TILOJZS,X,X,X,X,O,X,X,O,X,X
TILOSJZ,X,X,X,X,X,X,O,O,O,O
TILOSZJ,X,X,X,X,O,X,O,X,O,O
TILOZJS,X,X,X,X,O,X,X,O,X,X
TILOZSJ,X,X,X,X,O,X,X,O,X,X
TIJLSZO,O,O,X,X,X,X,X,O,O,O
TIJLSOZ,O,O,X,X,X,X,X,O,O,O
TIJLZSO,O,O,O,X,O,O,X,O,O,O
TIJLZOS,O,O,O,X,O,O,X,O,X,X
TIJLOSZ,O,O,X,X,X,X,X,O,O,O
TIJLOZS,O,O,O,X,O,O,X,O,X,X
TIJSLZO,O,O,X,X,X,X,O,X,O,O
TIJSLOZ,O,O,X,X,X,X,O,X,O,O
TIJSZLO,O,O,X,X,X,X,X,X,O,O
TIJSZOL,O,O,X,X,X,X,X,X,O,O
TIJSOLZ,O,O,X,X,X,X,O,X,O,X
TIJSOZL,O,O,X,X,X,X,X,X,O,X
TIJZLSO,O,O,X,X,O,O,X,O,O,X
TIJZLOS,O,O,X,X,O,O,X,O,X,X
TIJZSLO,O,O,X,X,O,O,X,X,O,X
TIJZSOL,O,O,X,X,O,O,X,X,O,X
TIJZOLS,O,O,X,X,O,O,X,O,X,X
TIJZOSL,O,X,X,X,O,O,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,O,O,X
TIJOLZS,O,X,O,X,O,O,X,O,X,X
TIJOSLZ,O,X,X,X,X,X,O,X,O,X
TIJOSZL,O,X,X,X,X,X,X,X,O,X
TIJOZLS,O,X,X,X,O,O,X,X,X,X
TIJOZSL,O,X,X,X,O,O,X,X,X,X
TISLJZO,O,O,X,X,X,X,O,X,O,O
TISLJOZ,O,O,X,X,X,X,O,X,O,O
TISLZJO,O,O,X,X,O,X,O,X,O,O
