sequence,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFlcBCeBUhBenBXj?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFVhBciBTeB3hBat?BGsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFXcBTeBGiBlmBys?B0sB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhF3dBcjBFhBCnBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFCeBFhB8mBXjBmm?BzsB,v115@9gC8GeD8EeF8DeH8BeA8Jex6IvhFWjBUhBanBXjBlm?BzsB
TILJSZO,X,O,O,X,X,X
TILJSOZ,X,O,O,X,X,X
TILJZSO,X,O,O,O,X,O
TILJZOS,X,O,O,X,X,X
TILJOSZ,X,O,O,X,X,X
TILJOZS,X,O,O,X,X,X
TILSJZO,X,O,O,X,X,X
TILSJOZ,X,O,O,X,X,X
TILSZJO,X,X,X,O,O,X
TILSZOJ,X,O,O,O,O,X
TILSOJZ,X,O,O,X,X,X
TILSOZJ,X,O,O,X,X,X
TILZJSO,X,O,O,O,X,O
TILZJOS,X,O,O,X,X,X
TILZSJO,X,X,X,O,O,X
TILZSOJ,X,O,O,O,O,X
TILZOJS,X,O,O,X,X,O
TILZOSJ,X,O,O,O,O,X
TILOJSZ,X,O,O,X,X,X
TILOJZS,X,O,O,O,X,O
TILOSJZ,X,O,O,X,X,X
TILOSZJ,X,O,O,O,X,X
TILOZJS,X,O,O,O,X,O
TILOZSJ,X,O,O,O,O,X
TIJLSZO,O,O,O,X,X,X
TIJLSOZ,O,O,O,X,X,X
TIJLZSO,X,O,O,O,X,O
TIJLZOS,X,O,O,X,X,X
TIJLOSZ,O,O,O,X,X,X
TIJLOZS,X,O,O,X,X,X
TIJSLZO,O,O,X,X,X,X
TIJSLOZ,O,O,O,X,X,X
TIJSZLO,O,X,X,X,O,X
TIJSZOL,O,O,X,X,X,X
TIJSOLZ,O,X,O,X,X,X
TIJSOZL,O,O,X,X,X,X
TIJZLSO,O,O,X,O,X,O
TIJZLOS,O,O,X,X,X,X
TIJZSLO,O,X,X,O,O,X
TIJZSOL,O,O,X,X,X,X
TIJZOLS,O,O,X,X,X,X
TIJZOSL,O,O,X,X,O,X
TIJOLSZ,O,O,O,X,X,X
TIJOLZS,X,O,O,O,X,O
TIJOSLZ,O,X,O,X,X,X
TIJOSZL,O,O,X,X,X,X
TIJOZLS,O,O,X,O,X,O
TIJOZSL,O,O,X,O,O,X
TISLJZO,O,O,O,X,X,X
TISLJOZ,O,O,O,X,X,X
TISLZJO,X,X,X,O,O,X
TISLZOJ,X,O,O,O,O,X
TISLOJZ,X,O,O,X,X,X
TISLOZJ,X,O,O,X,X,X
TISJLZO,O,O,X,X,X,X
TISJLOZ,O,O,O,X,X,X
TISJZLO,O,X,X,X,O,X
TISJZOL,O,O,X,X,X,X
TISJOLZ,O,X,O,X,X,X
TISJOZL,X,O,X,X,X,X
TISZLJO,X,X,X,O,O,X
TISZLOJ,X,X,O,O,O,X
TISZJLO,O,X,X,O,O,X
TISZJOL,O,X,X,X,X,X
TISZOLJ,X,X,O,O,O,X
TISZOJL,X,X,X,X,O,X
TISOLJZ,X,O,O,X,X,X
TISOLZJ,X,O,O,O,X,X
TISOJLZ,X,X,O,X,X,X
TISOJZL,X,O,X,X,X,X
TISOZLJ,X,X,O,O,O,X
TISOZJL,X,X,X,O,O,X
TIZLJSO,O,O,O,O,X,O
TIZLJOS,O,O,O,X,X,X
TIZLSJO,X,X,X,O,O,X
TIZLSOJ,X,O,O,O,O,X
TIZLOJS,O,O,O,X,X,O
TIZLOSJ,X,O,O,O,O,X
TIZJLSO,O,O,X,O,X,O
TIZJLOS,O,O,X,X,X,X
TIZJSLO,O,X,X,O,O,X
TIZJSOL,O,O,X,X,X,X
TIZJOLS,O,O,X,X,X,X
TIZJOSL,O,O,X,X,O,X
TIZSLJO,X,X,X,O,O,X
TIZSLOJ,X,X,O,O,O,X
TIZSJLO,O,X,X,O,O,X
TIZSJOL,O,X,X,X,X,X
TIZSOLJ,X,X,O,O,O,X
TIZSOJL,O,X,X,X,O,X
TIZOLJS,O,O,O,O,X,O
TIZOLSJ,X,O,O,O,O,X
TIZOJLS,O,O,X,O,X,O
TIZOJSL,O,O,X,O,O,X
TIZOSLJ,X,X,O,O,O,X
TIZOSJL,O,X,X,O,O,X
TIOLJSZ,X,O,O,X,X,X
TIOLJZS,X,O,O,O,X,O
TIOLSJZ,X,O,O,X,X,X
TIOLSZJ,X,O,O,O,X,X
TIOLZJS,X,O,O,O,X,O
TIOLZSJ,X,O,O,O,O,X
TIOJLSZ,O,O,O,X,X,X
TIOJLZS,X,O,O,O,X,O
TIOJSLZ,O,X,O,X,X,X
TIOJSZL,O,O,X,X,X,X
TIOJZLS,O,O,X,O,X,O
TIOJZSL,O,O,X,O,O,X
TIOSLJZ,O,O,O,X,X,X
TIOSLZJ,X,O,O,O,O,X
TIOSJLZ,O,X,O,X,X,X
TIOSJZL,O,O,X,X,X,X
TIOSZLJ,X,X,O,O,O,X
TIOSZJL,O,X,X,O,O,X
TIOZLJS,O,O,O,O,X,O
TIOZLSJ,X,O,O,O,O,X
TIOZJLS,O,O,X,O,X,O
TIOZJSL,O,O,X,O,O,X
TIOZSLJ,X,X,O,O,O,X
TIOZSJL,O,X,X,O,O,X
TLIJSZO,X,O,O,X,X,X
TLIJSOZ,X,O,O,X,X,X
TLIJZSO,X,O,O,O,X,O
TLIJZOS,X,O,O,X,X,X
TLIJOSZ,X,O,O,X,X,X
TLIJOZS,X,O,O,X,X,X
TLISJZO,X,O,O,X,X,X
TLISJOZ,X,O,O,X,X,X
TLISZJO,X,X,X,O,O,X
TLISZOJ,X,O,O,O,O,X
TLISOJZ,X,O,O,X,X,X
TLISOZJ,X,O,O,X,X,X
TLIZJSO,X,O,O,O,X,O
TLIZJOS,X,O,O,X,X,X
TLIZSJO,X,X,X,O,O,X
TLIZSOJ,X,O,O,O,O,X
TLIZOJS,X,O,O,X,X,O
TLIZOSJ,X,O,O,O,O,X
TLIOJSZ,X,O,O,X,X,X
TLIOJZS,X,O,O,O,X,O
TLIOSJZ,X,O,O,X,X,X
TLIOSZJ,X,O,O,O,X,X
TLIOZJS,X,O,O,O,X,O
TLIOZSJ,X,O,O,O,O,X
TLJISZO,X,O,O,X,X,X
TLJISOZ,X,O,O,X,X,X
TLJIZSO,X,O,O,O,X,O
TLJIZOS,X,O,O,X,X,X
TLJIOSZ,X,O,O,X,X,X
TLJIOZS,X,O,O,X,X,X
TLJSIZO,X,O,O,X,X,X
TLJSIOZ,X,O,O,X,X,X
TLJSZIO,X,O,O,X,X,X
TLJSZOI,X,O,O,X,X,X
TLJSOIZ,X,O,O,X,X,X
TLJSOZI,X,O,O,X,X,X
TLJZISO,X,O,O,O,X,O
TLJZIOS,X,O,O,X,X,X
TLJZSIO,X,O,O,O,X,O
TLJZSOI,X,O,O,O,X,O
TLJZOIS,X,O,O,X,X,X
TLJZOSI,X,O,O,X,X,X
TLJOISZ,X,O,O,X,X,X
TLJOIZS,X,O,O,X,X,X
TLJOSIZ,X,O,O,X,X,X
TLJOSZI,X,O,O,X,X,X
TLJOZIS,X,O,O,X,X,X
TLJOZSI,X,O,O,X,X,X
TLSIJZO,X,O,O,X,X,X
TLSIJOZ,X,O,O,X,X,X
TLSIZJO,X,X,X,O,O,X
TLSIZOJ,X,O,O,O,O,X
TLSIOJZ,X,O,O,X,X,X
TLSIOZJ,X,O,O,X,X,X
TLSJIZO,X,O,O,X,X,X
TLSJIOZ,X,O,O,X,X,X
TLSJZIO,X,O,O,X,X,X
TLSJZOI,X,O,O,X,X,X
TLSJOIZ,X,O,O,X,X,X
TLSJOZI,X,O,O,X,X,X
TLSZIJO,X,X,X,O,O,X
TLSZIOJ,X,O,O,O,O,X
TLSZJIO,X,X,X,O,O,X
TLSZJOI,X,X,X,O,O,X
TLSZOIJ,X,O,O,O,O,X
TLSZOJI,X,O,O,O,O,X
TLSOIJZ,X,O,O,X,X,X
TLSOIZJ,X,O,O,X,X,X
TLSOJIZ,X,O,O,X,X,X
TLSOJZI,X,O,O,X,X,X
TLSOZIJ,X,O,O,X,X,X
TLSOZJI,X,O,O,X,X,X
TLZIJSO,X,O,O,O,X,O
TLZIJOS,X,O,O,X,X,X
TLZISJO,X,X,X,O,O,X
TLZISOJ,X,O,O,O,O,X
TLZIOJS,X,O,O,X,X,O
TLZIOSJ,X,O,O,O,O,X
TLZJISO,X,O,O,O,X,O
TLZJIOS,X,O,O,X,X,X
TLZJSIO,X,O,O,O,X,O
TLZJSOI,X,O,O,O,X,O
TLZJOIS,X,O,O,X,X,X
TLZJOSI,X,O,O,X,X,X
TLZSIJO,X,X,X,O,O,X
TLZSIOJ,X,O,O,O,O,X
TLZSJIO,X,X,X,O,O,X
TLZSJOI,X,X,X,O,O,X
TLZSOIJ,X,O,O,O,O,X
TLZSOJI,X,O,O,O,O,X
TLZOIJS,X,O,O,X,X,O
TLZOISJ,X,O,O,O,O,X
TLZOJIS,X,O,O,X,X,O
TLZOJSI,X,O,O,X,X,O
TLZOSIJ,X,O,O,O,O,X
TLZOSJI,X,O,O,O,O,X
TLOIJSZ,X,O,O,X,X,X
TLOIJZS,X,O,O,O,X,O
TLOISJZ,X,O,O,X,X,X
TLOISZJ,X,O,O,O,X,X
TLOIZJS,X,O,O,O,X,O
TLOIZSJ,X,O,O,O,O,X
TLOJISZ,X,O,O,X,X,X
TLOJIZS,X,O,O,O,X,O
TLOJSIZ,X,O,O,X,X,X
TLOJSZI,X,O,O,X,X,X
TLOJZIS,X,O,O,O,X,O
TLOJZSI,X,O,O,O,X,O
TLOSIJZ,X,O,O,X,X,X
TLOSIZJ,X,O,O,O,X,X
TLOSJIZ,X,O,O,X,X,X
TLOSJZI,X,O,O,X,X,X
TLOSZIJ,X,O,O,O,X,X
TLOSZJI,X,O,O,O,X,X
TLOZIJS,X,O,O,O,X,O
TLOZISJ,X,O,O,O,O,X
TLOZJIS,X,O,O,O,X,O
TLOZJSI,X,O,O,O,X,O
TLOZSIJ,X,O,O,O,O,X
TLOZSJI,X,O,O,O,O,X
TJILSZO,O,O,O,X,X,X
TJILSOZ,O,O,O,X,X,X
TJILZSO,X,O,O,O,X,O
TJILZOS,X,O,O,X,X,X
TJILOSZ,O,O,O,X,X,X
TJILOZS,X,O,O,X,X,X
TJISLZO,O,O,X,X,X,X
TJISLOZ,O,O,O,X,X,X
TJISZLO,O,X,X,X,O,X
TJISZOL,O,O,X,X,X,X
TJISOLZ,O,X,O,X,X,X
TJISOZL,O,O,X,X,X,X
TJIZLSO,O,O,X,O,X,O
TJIZLOS,O,O,X,X,X,X
TJIZSLO,O,X,X,O,O,X
TJIZSOL,O,O,X,X,X,X
TJIZOLS,O,O,X,X,X,X
TJIZOSL,O,O,X,X,O,X
TJIOLSZ,O,O,O,X,X,X
TJIOLZS,X,O,O,O,X,O
TJIOSLZ,O,X,O,X,X,X
TJIOSZL,O,O,X,X,X,X
TJIOZLS,O,O,X,O,X,O
TJIOZSL,O,O,X,O,O,X
TJLISZO,O,O,O,X,X,X
TJLISOZ,O,O,O,X,X,X
TJLIZSO,X,O,O,O,X,O
TJLIZOS,X,O,O,X,X,X
TJLIOSZ,O,O,O,X,X,X
TJLIOZS,X,O,O,X,X,X
TJLSIZO,O,O,O,X,X,X
TJLSIOZ,O,O,O,X,X,X
TJLSZIO,O,O,O,X,X,X
TJLSZOI,X,O,O,X,X,X
TJLSOIZ,O,O,O,X,X,X
TJLSOZI,X,O,O,X,X,X
TJLZISO,X,O,O,O,X,O
TJLZIOS,X,O,O,X,X,X
TJLZSIO,X,O,O,O,X,O
TJLZSOI,X,O,O,O,X,O
TJLZOIS,X,O,O,X,X,X
TJLZOSI,X,O,O,X,X,X
TJLOISZ,O,O,O,X,X,X
TJLOIZS,X,O,O,X,X,X
TJLOSIZ,O,O,O,X,X,X
TJLOSZI,O,O,O,X,X,X
TJLOZIS,X,O,O,X,X,X
TJLOZSI,X,O,O,X,X,X
TJSILZO,O,O,X,X,X,X
TJSILOZ,O,O,O,X,X,X
TJSIZLO,O,X,X,X,O,X
TJSIZOL,O,O,X,X,X,X
TJSIOLZ,O,X,O,X,X,X
TJSIOZL,O,O,X,X,X,X
TJSLIZO,O,O,X,X,X,X
TJSLIOZ,O,O,O,X,X,X
TJSLZIO,O,O,X,X,X,X
TJSLZOI,O,O,X,X,X,X
TJSLOIZ,O,O,O,X,X,X
TJSLOZI,X,O,O,X,X,X
TJSZILO,O,X,X,X,O,X
TJSZIOL,O,O,X,X,X,X
TJSZLIO,O,X,X,X,O,X
TJSZLOI,O,X,X,X,O,X
TJSZOIL,O,O,X,X,X,X
TJSZOLI,O,O,X,X,X,X
TJSOILZ,O,X,O,X,X,X
TJSOIZL,O,O,X,X,X,X
TJSOLIZ,O,X,O,X,X,X
TJSOLZI,O,X,O,X,X,X
TJSOZIL,O,O,X,X,X,X
TJSOZLI,O,O,X,X,X,X
TJZILSO,O,O,X,O,X,O
TJZILOS,O,O,X,X,X,X
TJZISLO,O,X,X,O,O,X
TJZISOL,O,O,X,X,X,X
TJZIOLS,O,O,X,X,X,X
TJZIOSL,O,O,X,X,O,X
TJZLISO,O,O,X,O,X,O
TJZLIOS,O,O,X,X,X,X
TJZLSIO,O,O,X,O,X,O
TJZLSOI,O,O,X,O,X,O
TJZLOIS,O,O,X,X,X,X
TJZLOSI,O,O,X,X,X,X
TJZSILO,O,X,X,O,O,X
TJZSIOL,O,O,X,X,X,X
TJZSLIO,O,X,X,O,O,X
TJZSLOI,O,X,X,O,O,X
TJZSOIL,O,O,X,X,X,X
TJZSOLI,O,O,X,X,X,X
TJZOILS,O,O,X,X,X,X
TJZOISL,O,O,X,X,O,X
TJZOLIS,O,O,X,X,X,X
TJZOLSI,O,O,X,X,X,X
TJZOSIL,O,O,X,X,O,X
TJZOSLI,O,O,X,X,O,X
TJOILSZ,O,O,O,X,X,X
TJOILZS,X,O,O,O,X,O
TJOISLZ,O,X,O,X,X,X
