sequence,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhF3bBchBxdBmiBFn?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFcgBTcBxdBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFRcBFeBmgBfnB0n?BTqB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFchBxdBTgBmiBFn?B3qB,v115@+gA8GeC8GeG8AeE8BeF8Jei6IvhFFcBXdBOjBcnBxq?BTqB
TILJSZO,O,O,O,X,O
TILJSOZ,O,O,O,X,X
TILJZSO,O,O,O,X,O
TILJZOS,O,O,X,X,O
TILJOSZ,O,O,O,O,X
TILJOZS,O,X,X,O,O
TILSJZO,O,O,O,X,O
TILSJOZ,O,O,O,X,X
TILSZJO,O,O,O,X,O
TILSZOJ,O,O,O,X,O
TILSOJZ,O,X,O,X,X
TILSOZJ,O,O,O,X,X
TILZJSO,O,O,O,X,O
TILZJOS,O,O,X,X,O
TILZSJO,O,O,O,X,O
TILZSOJ,O,O,O,X,O
TILZOJS,O,O,X,X,O
TILZOSJ,O,O,X,X,O
TILOJSZ,O,X,X,O,X
TILOJZS,O,X,X,O,O
TILOSJZ,O,X,X,O,X
TILOSZJ,O,O,X,X,X
TILOZJS,O,X,X,O,O
TILOZSJ,O,X,X,X,O
TIJLSZO,O,O,O,X,O
TIJLSOZ,O,O,O,X,X
TIJLZSO,O,O,O,X,O
TIJLZOS,O,O,X,X,O
TIJLOSZ,O,O,O,O,X
TIJLOZS,O,X,X,O,O
TIJSLZO,O,O,O,X,O
TIJSLOZ,O,O,O,X,X
TIJSZLO,O,O,O,X,O
TIJSZOL,O,O,X,X,O
TIJSOLZ,O,O,O,X,X
TIJSOZL,O,O,X,X,X
TIJZLSO,O,O,O,X,O
TIJZLOS,O,O,X,X,O
TIJZSLO,O,O,O,X,O
TIJZSOL,O,O,O,X,O
TIJZOLS,O,O,X,X,O
TIJZOSL,O,O,X,X,O
TIJOLSZ,O,O,O,O,X
TIJOLZS,O,X,X,O,O
TIJOSLZ,O,O,X,O,X
TIJOSZL,O,O,X,O,X
TIJOZLS,O,X,X,O,O
TIJOZSL,O,O,X,O,O
TISLJZO,O,O,O,X,O
TISLJOZ,O,O,O,X,X
TISLZJO,O,O,O,X,O
TISLZOJ,O,O,O,X,O
TISLOJZ,O,X,O,X,X
TISLOZJ,O,O,O,X,X
TISJLZO,O,O,O,X,O
TISJLOZ,O,O,O,X,X
TISJZLO,O,O,O,X,O
TISJZOL,O,O,X,X,O
TISJOLZ,O,O,O,X,X
TISJOZL,O,O,X,X,X
TISZLJO,O,O,O,X,O
TISZLOJ,O,O,O,X,O
TISZJLO,O,O,O,X,O
TISZJOL,X,O,X,X,O
TISZOLJ,O,O,X,X,O
TISZOJL,O,O,X,X,O
TISOLJZ,O,X,O,X,X
TISOLZJ,O,O,O,X,X
TISOJLZ,O,O,O,X,X
TISOJZL,O,O,O,X,X
TISOZLJ,O,O,O,X,X
TISOZJL,O,O,O,X,X
TIZLJSO,O,O,O,X,O
TIZLJOS,O,O,X,X,O
TIZLSJO,O,O,O,X,O
TIZLSOJ,O,O,O,X,O
TIZLOJS,O,O,X,X,O
TIZLOSJ,O,O,X,X,O
TIZJLSO,O,O,O,X,O
TIZJLOS,O,O,X,X,O
TIZJSLO,O,O,O,X,O
TIZJSOL,O,O,O,X,O
TIZJOLS,O,O,X,X,O
TIZJOSL,O,O,X,X,O
TIZSLJO,O,O,O,X,O
TIZSLOJ,O,O,O,X,O
TIZSJLO,O,O,O,X,O
TIZSJOL,O,O,O,X,O
TIZSOLJ,O,O,O,X,O
TIZSOJL,O,O,O,X,O
TIZOLJS,O,O,X,X,O
TIZOLSJ,O,O,X,X,O
TIZOJLS,O,O,X,X,O
TIZOJSL,O,O,X,X,O
TIZOSLJ,O,O,X,X,O
TIZOSJL,O,O,X,X,O
TIOLJSZ,O,X,X,O,X
TIOLJZS,O,X,X,O,O
TIOLSJZ,O,X,X,O,X
TIOLSZJ,O,O,X,X,X
TIOLZJS,O,X,X,O,O
TIOLZSJ,O,X,X,X,O
TIOJLSZ,O,O,X,O,X
TIOJLZS,O,X,X,O,O
TIOJSLZ,O,O,X,O,X
TIOJSZL,O,O,X,O,X
TIOJZLS,O,X,X,O,O
TIOJZSL,O,O,X,O,O
TIOSLJZ,O,X,X,O,X
TIOSLZJ,O,O,X,X,X
TIOSJLZ,O,O,X,O,X
TIOSJZL,O,O,X,O,X
TIOSZLJ,O,O,X,X,X
TIOSZJL,O,O,X,X,X
TIOZLJS,O,X,X,O,O
TIOZLSJ,O,X,X,X,O
TIOZJLS,O,X,X,O,O
TIOZJSL,O,X,X,O,O
TIOZSLJ,O,O,X,X,O
TIOZSJL,O,O,X,X,O
TLIJSZO,O,O,O,X,O
TLIJSOZ,O,O,O,X,X
TLIJZSO,O,O,O,X,O
TLIJZOS,O,O,X,X,O
TLIJOSZ,O,O,O,O,X
TLIJOZS,O,X,X,O,O
TLISJZO,O,O,O,X,O
TLISJOZ,O,O,O,X,X
TLISZJO,O,O,O,X,O
TLISZOJ,O,O,O,X,O
TLISOJZ,O,X,O,X,X
TLISOZJ,O,O,O,X,X
TLIZJSO,O,O,O,X,O
TLIZJOS,O,O,X,X,O
TLIZSJO,O,O,O,X,O
TLIZSOJ,O,O,O,X,O
TLIZOJS,O,O,X,X,O
TLIZOSJ,O,O,X,X,O
TLIOJSZ,O,X,X,O,X
TLIOJZS,O,X,X,O,O
TLIOSJZ,O,X,X,O,X
TLIOSZJ,O,O,X,X,X
TLIOZJS,O,X,X,O,O
TLIOZSJ,O,X,X,X,O
TLJISZO,O,O,O,X,O
TLJISOZ,O,O,O,X,X
TLJIZSO,O,O,O,X,O
TLJIZOS,O,O,X,X,O
TLJIOSZ,O,O,O,O,X
TLJIOZS,O,X,X,O,O
TLJSIZO,O,O,O,X,X
TLJSIOZ,O,O,O,X,X
TLJSZIO,O,O,O,X,X
TLJSZOI,O,O,O,X,X
TLJSOIZ,O,O,O,X,X
TLJSOZI,O,O,O,X,X
TLJZISO,O,O,O,X,O
TLJZIOS,O,O,X,X,O
TLJZSIO,O,O,O,X,O
TLJZSOI,O,O,O,X,O
TLJZOIS,O,O,X,X,X
TLJZOSI,O,O,O,X,X
TLJOISZ,O,O,O,O,X
TLJOIZS,O,X,X,O,X
TLJOSIZ,O,O,O,O,X
TLJOSZI,O,O,X,O,X
TLJOZIS,O,X,X,O,X
TLJOZSI,O,X,O,O,X
TLSIJZO,O,O,O,X,X
TLSIJOZ,O,O,O,X,X
TLSIZJO,O,O,O,X,X
TLSIZOJ,O,O,O,X,X
TLSIOJZ,O,X,O,X,X
TLSIOZJ,O,O,O,X,X
TLSJIZO,O,O,O,X,X
TLSJIOZ,O,O,O,X,X
TLSJZIO,O,O,O,X,X
TLSJZOI,O,O,O,X,X
TLSJOIZ,O,O,O,X,X
TLSJOZI,O,O,O,X,X
TLSZIJO,O,O,O,X,X
TLSZIOJ,O,O,O,X,X
TLSZJIO,O,O,O,X,X
TLSZJOI,O,O,O,X,X
TLSZOIJ,O,O,O,X,X
TLSZOJI,O,O,O,X,X
TLSOIJZ,O,X,O,X,X
TLSOIZJ,O,O,O,X,X
TLSOJIZ,O,O,O,X,X
TLSOJZI,O,O,O,X,X
TLSOZIJ,O,O,O,X,X
TLSOZJI,O,O,O,X,X
TLZIJSO,O,O,O,X,O
TLZIJOS,O,O,X,X,O
TLZISJO,O,O,O,X,O
TLZISOJ,O,O,O,X,O
TLZIOJS,O,O,X,X,O
TLZIOSJ,O,O,X,X,O
TLZJISO,O,O,O,X,O
TLZJIOS,O,O,X,X,O
TLZJSIO,O,O,O,X,O
TLZJSOI,O,O,O,X,O
TLZJOIS,O,O,X,X,X
TLZJOSI,O,O,O,X,X
TLZSIJO,O,O,O,X,O
TLZSIOJ,O,O,O,X,O
TLZSJIO,O,O,O,X,O
TLZSJOI,O,O,O,X,O
TLZSOIJ,O,O,O,X,X
TLZSOJI,O,O,O,X,O
TLZOIJS,O,O,X,X,X
TLZOISJ,O,O,X,X,X
TLZOJIS,O,O,X,X,X
TLZOJSI,O,O,O,X,X
TLZOSIJ,O,O,O,X,X
TLZOSJI,O,O,O,X,X
TLOIJSZ,O,X,X,O,X
TLOIJZS,O,X,X,O,X
TLOISJZ,O,X,X,O,X
TLOISZJ,O,O,X,X,X
TLOIZJS,O,X,X,O,X
TLOIZSJ,O,X,X,X,X
TLOJISZ,O,O,O,O,X
TLOJIZS,O,X,X,O,X
TLOJSIZ,O,O,O,O,X
TLOJSZI,O,O,X,O,X
TLOJZIS,O,X,X,O,X
TLOJZSI,O,X,O,O,X
TLOSIJZ,O,X,O,O,X
TLOSIZJ,O,O,O,X,X
TLOSJIZ,O,O,O,O,X
TLOSJZI,O,O,O,O,X
TLOSZIJ,O,O,O,X,X
TLOSZJI,O,O,O,O,X
TLOZIJS,O,X,X,O,X
TLOZISJ,O,X,X,X,X
TLOZJIS,O,X,X,O,X
TLOZJSI,O,X,O,O,X
TLOZSIJ,O,X,O,X,X
