sequence,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFGjBilBfsBlnBUr?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFihBGjBRnBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThBxiBesBftB6t?BFrB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhF2mBRiBSoBFrBXs?BTtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFFjBTlBKrBfsB0n?B+tB,v115@9gC8GeB8HeB8HeD8CeA8LeaGJvhFfnBxiBTlBGoB1w?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFymBziB5oBXmB1w?BmsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlBcrBysB+t?BXsB,v115@9gC8GeB8HeB8HeD8CeA8LeFBJvhFxiBTlB3mBGoByw?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LecFJvhFThB2nB5oBatBFr?BXsB,v115@9gC8GeB8HeB8HeD8CeA8Le3AJvhFSoBlmBmqBxsBzr?BUtB,v115@9gC8GeB8HeB8HeD8CeA8LeRBJvhFTlBKrBfsBlnBct?BGtB,v115@9gC8GeB8HeB8HeD8CeA8LezAJvhF6oB2qBRnB3rBUt?BFsB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhF0hBGjB3nBxqBTt?BywB,v115@9gC8GeB8HeB8HeD8CeA8Le1FJvhFfnB0iBStBxqB2w?BTtB
TILJSZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
TILJSOZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILJZOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TILSJOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TILSZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TILZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TILZSOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TILZOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILOJZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
