sequence,v115@MhA8EeA8CeC8BeB8BeE8KeOEJvhFdlBzgBUiBaoB5o?B3qB,v115@MhA8EeA8CeC8BeB8BeE8KeOEJvhFXgBdmBUiBaoB5o?BTqB
TILJSZO,O,O
TILJSOZ,O,X
TILJZSO,O,O
TILJZOS,X,X
TILJOSZ,X,X
TILJOZS,X,X
TILSJZO,O,O
TILSJOZ,O,X
TILSZJO,O,O
TILSZOJ,O,X
TILSOJZ,O,X
TILSOZJ,O,X
TILZJSO,O,O
TILZJOS,X,X
TILZSJO,O,O
TILZSOJ,O,X
TILZOJS,X,X
TILZOSJ,X,X
TILOJSZ,X,X
TILOJZS,X,X
TILOSJZ,X,X
TILOSZJ,X,X
TILOZJS,X,X
TILOZSJ,X,X
TIJLSZO,O,O
TIJLSOZ,O,X
TIJLZSO,O,O
TIJLZOS,X,X
TIJLOSZ,X,X
TIJLOZS,X,X
TIJSLZO,O,O
TIJSLOZ,O,X
TIJSZLO,O,O
TIJSZOL,O,X
TIJSOLZ,O,X
TIJSOZL,O,X
TIJZLSO,O,O
TIJZLOS,X,X
TIJZSLO,O,O
TIJZSOL,O,X
TIJZOLS,X,X
TIJZOSL,X,X
TIJOLSZ,X,X
TIJOLZS,X,X
TIJOSLZ,X,X
TIJOSZL,X,X
TIJOZLS,X,X
TIJOZSL,X,X
TISLJZO,O,O
TISLJOZ,O,X
TISLZJO,O,O
TISLZOJ,O,X
TISLOJZ,O,X
TISLOZJ,O,X
TISJLZO,O,O
TISJLOZ,O,X
TISJZLO,O,O
TISJZOL,O,X
TISJOLZ,O,X
TISJOZL,O,X
TISZLJO,O,O
TISZLOJ,O,X
TISZJLO,O,O
TISZJOL,O,X
TISZOLJ,O,X
TISZOJL,O,X
TISOLJZ,O,X
TISOLZJ,O,X
TISOJLZ,O,X
TISOJZL,O,X
TISOZLJ,O,X
TISOZJL,O,X
TIZLJSO,O,O
TIZLJOS,X,X
TIZLSJO,O,O
TIZLSOJ,O,X
TIZLOJS,X,X
TIZLOSJ,X,X
TIZJLSO,O,O
TIZJLOS,X,X
TIZJSLO,O,O
TIZJSOL,O,X
TIZJOLS,X,X
TIZJOSL,X,X
TIZSLJO,O,O
TIZSLOJ,O,X
TIZSJLO,O,O
TIZSJOL,O,X
TIZSOLJ,O,X
TIZSOJL,O,X
TIZOLJS,X,X
TIZOLSJ,X,X
TIZOJLS,X,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,X,X
TIOLJZS,X,X
TIOLSJZ,X,X
TIOLSZJ,X,X
TIOLZJS,X,X
TIOLZSJ,X,X
TIOJLSZ,X,X
TIOJLZS,X,X
TIOJSLZ,X,X
TIOJSZL,X,X
TIOJZLS,X,X
TIOJZSL,X,X
TIOSLJZ,X,X
TIOSLZJ,X,X
TIOSJLZ,X,X
TIOSJZL,X,X
TIOSZLJ,X,X
TIOSZJL,X,X
TIOZLJS,X,X
TIOZLSJ,X,X
TIOZJLS,X,X
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,O,O
TLIJSOZ,O,X
TLIJZSO,O,O
TLIJZOS,X,X
TLIJOSZ,X,X
TLIJOZS,X,X
TLISJZO,O,O
TLISJOZ,O,X
TLISZJO,O,O
TLISZOJ,O,X
TLISOJZ,O,X
TLISOZJ,O,X
TLIZJSO,O,O
TLIZJOS,X,X
TLIZSJO,O,O
TLIZSOJ,O,X
TLIZOJS,X,X
TLIZOSJ,X,X
TLIOJSZ,X,X
TLIOJZS,X,X
TLIOSJZ,X,X
TLIOSZJ,X,X
TLIOZJS,X,X
TLIOZSJ,X,X
TLJISZO,O,O
TLJISOZ,O,X
TLJIZSO,O,O
TLJIZOS,X,X
TLJIOSZ,X,X
TLJIOZS,X,X
TLJSIZO,O,O
TLJSIOZ,O,X
TLJSZIO,O,O
TLJSZOI,O,X
TLJSOIZ,O,X
TLJSOZI,O,X
TLJZISO,O,O
TLJZIOS,X,X
TLJZSIO,O,O
TLJZSOI,O,X
TLJZOIS,X,X
TLJZOSI,X,X
TLJOISZ,X,X
TLJOIZS,X,X
TLJOSIZ,X,X
TLJOSZI,X,X
TLJOZIS,X,X
TLJOZSI,X,X
TLSIJZO,O,O
TLSIJOZ,O,X
TLSIZJO,O,O
TLSIZOJ,O,X
TLSIOJZ,O,X
TLSIOZJ,O,X
TLSJIZO,O,O
TLSJIOZ,O,X
TLSJZIO,O,O
TLSJZOI,O,X
TLSJOIZ,O,X
TLSJOZI,O,X
TLSZIJO,O,O
TLSZIOJ,O,X
TLSZJIO,O,O
TLSZJOI,O,X
TLSZOIJ,O,X
TLSZOJI,O,X
TLSOIJZ,O,X
TLSOIZJ,O,X
TLSOJIZ,O,X
TLSOJZI,O,X
TLSOZIJ,O,X
TLSOZJI,O,X
TLZIJSO,O,O
TLZIJOS,X,X
TLZISJO,O,O
TLZISOJ,O,X
TLZIOJS,X,X
TLZIOSJ,X,X
TLZJISO,O,O
TLZJIOS,X,X
TLZJSIO,O,O
TLZJSOI,O,X
TLZJOIS,X,X
TLZJOSI,X,X
TLZSIJO,O,O
TLZSIOJ,O,X
TLZSJIO,O,O
TLZSJOI,O,X
TLZSOIJ,O,X
TLZSOJI,O,X
TLZOIJS,X,X
TLZOISJ,X,X
TLZOJIS,X,X
TLZOJSI,X,X
TLZOSIJ,X,X
TLZOSJI,X,X
TLOIJSZ,X,X
TLOIJZS,X,X
TLOISJZ,X,X
TLOISZJ,X,X
TLOIZJS,X,X
TLOIZSJ,X,X
TLOJISZ,X,X
TLOJIZS,X,X
TLOJSIZ,X,X
TLOJSZI,X,X
TLOJZIS,X,X
TLOJZSI,X,X
TLOSIJZ,X,X
TLOSIZJ,X,X
TLOSJIZ,X,X
TLOSJZI,X,X
TLOSZIJ,X,X
TLOSZJI,X,X
TLOZIJS,X,X
TLOZISJ,X,X
TLOZJIS,X,X
TLOZJSI,X,X
TLOZSIJ,X,X
TLOZSJI,X,X
TJILSZO,O,O
TJILSOZ,O,X
TJILZSO,O,O
TJILZOS,X,X
TJILOSZ,X,X
TJILOZS,X,X
TJISLZO,O,O
TJISLOZ,O,X
TJISZLO,O,O
TJISZOL,O,X
TJISOLZ,O,X
TJISOZL,O,X
TJIZLSO,O,O
TJIZLOS,X,X
TJIZSLO,O,O
TJIZSOL,O,X
TJIZOLS,X,X
TJIZOSL,X,X
TJIOLSZ,X,X
TJIOLZS,X,X
TJIOSLZ,X,X
TJIOSZL,X,X
TJIOZLS,X,X
TJIOZSL,X,X
TJLISZO,O,O
TJLISOZ,O,X
TJLIZSO,O,O
TJLIZOS,X,X
TJLIOSZ,X,X
TJLIOZS,X,X
TJLSIZO,O,O
TJLSIOZ,O,X
TJLSZIO,O,O
TJLSZOI,O,X
TJLSOIZ,O,X
TJLSOZI,O,X
TJLZISO,O,O
TJLZIOS,X,X
TJLZSIO,O,O
TJLZSOI,O,X
TJLZOIS,X,X
