sequence,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?3gBTjB8qB+rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjB6rBzqB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBzdB?+jBxlBXmBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBGeB?3gBUjBCrBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBCeB?TjBxlBGrBXrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBzdB?+jBxlB0lBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBCeB?TjBxlBGrB0qB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je07IvhFdiBfjB?6jBxlBTmBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JeX8IvhFdiBGeB?UjBxlB6qBTrB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFdiBCeB?/mBTjB0lBWwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhFxdB9lB?XiBTjBmlBSwB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFCeB9lB?TjB3mBerB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFzdB+jB?9lBihBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Jex7IvhFWjB9lB?ihBTjBXrB8rB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8Je9FJvhF0hBxiB?mgBTjBXrBCsB,v115@zgB8HeC8GeB8EeA8BeC8CeG8CeD8JecBJvhF9jB5lB?XiBigBmiBTrB
TILJSZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TILSZOJ,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TILSOJZ,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
TILZJSO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TILZJOS,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TILZSJO,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILZOJS,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TILOJZS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
TILOZJS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
