sequence,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBUcBRdBy?mBziBXsB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFXcBldBifB8?nBmmBzrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFVgBRcBzdBy?mB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBifBFhBz?iB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbBzdBFhBR?nBKnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFzdBifBFhB3?nB8rBmrB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeO/IvhFXbByiBFhBR?nBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFlcBzdBifBU?hB3nBesB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFeiBzdBifBF?hB3nB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8Jex6IvhFejBifBFhBX?iBTnB0rB,v115@8gA8IeA8AeC8EeG8BeG8BeC8JeT9IvhFejBxfB0hBi?fBFhBXsB
TILJSZO,O,X,O,X,O,X,O,X,O,O,X
TILJSOZ,X,X,O,O,O,X,O,X,O,O,X
TILJZSO,O,X,O,X,O,X,O,X,O,O,X
TILJZOS,O,X,X,O,O,X,X,X,X,X,X
TILJOSZ,O,X,O,O,O,X,O,X,O,O,X
TILJOZS,O,X,X,O,O,X,X,X,X,X,X
TILSJZO,O,X,O,X,O,X,O,X,O,O,X
TILSJOZ,X,X,O,O,O,X,O,X,O,O,X
TILSZJO,O,X,O,X,X,X,O,X,X,X,X
TILSZOJ,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,O,O,X,O,X,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,X,X,O,X,O,O,X
TILZJOS,O,X,X,O,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,O,X,X,X,X
TILZSOJ,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,O,O,X,O,X,O,O,X
TILOJZS,O,X,X,O,O,X,X,X,X,X,X
