sequence,v115@vhHT1I0fBXiB2pBFrBXsBSyBxuB,v115@vhH87IXhBTjBKpBFqBXrBGtBRxB,v115@vhHOEJ0gBXiBzkBFrBXsBSyBxuB,v115@vhHT1I0fBXhBKpBFqBXrBGtBRxB,v115@vhH5+IflB6nBlmB/tBTpBUrB2xB,v115@vhHcCJTeBZkBWqBFoBXrBXsBSyB,v115@vhHi1IcfBdlBXjB+tBTpB3qBRsB,v115@vhHZ6IflB6nBlmB/tBTpBUrB2xB,v115@vhHz4I+eBXiBcpBFoBxqBXsBSyB,v115@vhH01I/fBTjBKpBFqBXrBGtBRxB,v115@vhHx3IeiBziBKpBfqBUrBFsBXtB,v115@vhHK/IXjB/qBRmB+tBTpB0rBlsB,v115@vhH01I/fBTgBKpBFqBXrBGtBRxB,v115@vhH32I8kBzgBStB2uBlqB3rBxxB,v115@vhHU4IzhBfoB2pBFrBXsBSyBxuB,v115@vhHO6IzfBKpBRmB3nBctBFqBXrB,v115@vhHcCJTeB/kBFoB2uBxqBXsBSyB,v115@vhHz3IOfBXiBcpBFoBxqBXsBSyB,v115@vhHT5I8kBXjBStB2uBlqB3rBxxB,v115@vhHc/I5oBFlB+rB3nBTpB3qByxB,v115@vhH/AJchBOkBzkBFrBXsBSyBxuB,v115@vhH//IcgBTjBKpBFqBXrBGtBRxB,v115@vhHz4I+eBXiBcpBFoBXqBxrBSyB,v115@vhHO7I0fBfmBKpB/sBFqBTtBRwB,v115@vhHz3I+eBXiBcpBFoBxqBXsBSyB,v115@vhHzAJfnBunBKpB/tBUqBFrBRxB,v115@vhHi1I3WBcfBdlB+tBTpB3qBRsB,v115@vhHz4IfnBunBKpB/tBUqBFrBRxB,v115@vhHi1IcfBXjBFlB+tBTpB3qBRsB,v115@vhHe+IzfBfmBKpB/tBFqB0sBRwB,v115@vhHX4IcjBTiBfrBqrB+tBlsBxuB,v115@vhH3/I5oBllB/sBatBTpB2vB0rB,v115@vhH8/ISoB2pBllB3mBXsBTtBRvB,v115@vhHc/I5jBFlB+sBKtBTpB3qB3rB,v115@vhH5+IyfBOpBllB/tBzpBXrB0sB,v115@vhHT5I/fBGjBKpB/tBFqB0sBRwB,v115@vhHO6IckBXmBdsBznB3pBSyBxvB,v115@vhHT7I0fBXhBKpBFqBXrBGtBRxB,v115@vhH5+IzgBWnBikB/tBUqBFrBXsB,v115@vhH0/IzhBfoB2pBNrBXsBSyBxuB,v115@vhHT5IOkBXgBliBcoBRmBXsBSyB,v115@vhH/6IKkBFlBzmBGoBUrB3sBxuB,v115@vhHT1I/kB0mBftB6tB2uBlqBxwB,v115@vhHT6I/gB5oBlkB/rB2uB0qBisB,v115@vhHc/I5jBFlBXmB+sBKtBTpB3rB,v115@vhH8EJzgBXjBStB2uBlqB3rBxxB,v115@vhH0/IzhBfoB2pBFrBXsBSyBxuB,v115@vhH01I/fBTgB2pBFrBXsBSyBxuB,v115@vhHT1I/gB0fB2pBFrBXsBSyBxuB,v115@vhHC2IXbBUhBzkBtqB2uB3rBxxB,v115@vhH/DJWlB/pB0mBlnBiqBTtBxwB,v115@vhH02I/gBOkBzkBFrBXsBSyBxuB,v115@vhHi1IcfBdlBWtBTpB3qB3rBxxB,v115@vhHq7IZkB8nBFlBXmBWvB3rBTtB,v115@vhH01I/fBTgBKpBerB/tBFqBRxB,v115@vhHT1I/kBalBUhBtqB2uB3rBxxB,v115@vhHi1IcfBFlBWtBTpB3qB3rBxxB,v115@vhHT+IfoBKpBUmB/sB+tBFqBRwB,v115@vhHWCJckBXmBdsBznB3pBSyBxvB,v115@vhHO6IzfBfmBKpB/tBFqB0sBRwB,v115@vhH/6IKkBTjBFlBfsBUrBGtBxuB,v115@vhHc+I+oBilBlnBTpB3qB3rBxxB,v115@vhH/6IZkBFlBfsB6sBWvBUrBTtB,v115@vhHT2I/kBalBUhBtqB2uB3rBxxB,v115@vhHT6I/gBcoBlkB2uBxqBXsBSyB,v115@vhHSBJcpBTlB/rBFnB+tB3sBRvB,v115@vhH/6IKkBemB8nBFlB3rBTtBxuB,v115@vhHT1I/kBFgBRmBftB6tB2uB0qB,v115@vhHT1IdgB/kBRmBftB6tB2uB0qB,v115@vhHc/I5jBdlB+sBKtBTpB3qB3rB,v115@vhHX5IcjBTiBfrBqrB+tBlsBxuB,v115@vhHc+IOkB5oBzlBlnB3pB3rByxB,v115@vhH01I/fBWoBKpBdqB/sBTtBRwB,v115@vhH8/I5oB/pBllB3mBatB2vBTsB,v115@vhHfDJZkBupBcqBFnBXrBSxBTtB,v115@vhHc+I+oBikBzlBlnB3pB3rBxxB,v115@vhH/6IZkBFlBzmBftB6tBWvBUrB,v115@vhHZ6IGZB/jBcpBlnBXqBirBTtB,v115@vhHO6IckBTgBXmB3pBFsBSyBxvB,v115@vhHT+I/kB0mBftB6tB2uBlqBxwB,v115@vhH//IUbBWoBKpBdqB/sBTtBRwB,v115@vhH5+IzfBWmBKpB/tBFqBXrB0sB,v115@vhHT8IKjBOpBXlBxmBUrBFsBXtB,v115@vhH33I8hB+oByqBlnBTpB3rBxxB,v115@vhH5+IykBzgBGnB/tB0pBlqB3rB,v115@vhHi3IfiBUhBzkBtqB2uB3rBxxB,v115@vhHZ/I/jBalB+pBlnB3qBUsBTtB,v115@vhHZ6IanB/oBUlBFmBftBTpBWxB,v115@vhHT9IZkBdoBupBcqB3mBXsBSyB
comments,S-s-01/African Bush Elephant,S-s-02/African Forest Elephant,S-s-03/Asian Elephant,S-s-04/Mastadon,S-s-05/ADT,S-s-06/Long S_tetramino,S-s-07/S_tetramino Stickspin,S-s-08/Curse,S-s-09/Pachyderm,S-s-10/S_tetramino Reliable Overhang,S-s-11,S-s-12,S-s-13/Hold O_tetramino Reliable,S-s-14,S-s-14M,S-s-15,S-s-16,S-s-17,S-s-18,S-s-19,S-s-20,S-s-21,S-s-22,S-s-23,S-s-24,S-s-25,S-s-26,S-s-27,S-s-28,S-s-29,S-s-30,S-s-31,S-s-32,S-s-33,S-s-34,S-s-35,S-s-36,S-s-37,S-s-38,S-s-39,S-s-40,S-s-41,S-s-42,S-s-43,S-s-44,S-s-45,S-s-45M,S-s-46,S-s-46,S-s-47,S-s-48,S-s-49,S-s-50,S-s-51,S-s-52,S-s-53,S-s-54,S-s-55,S-s-56,S-s-57,S-s-58,S-s-59,S-s-59M,S-s-60,S-s-61,S-s-62,S-s-63,S-s-64,S-s-65,S-s-66,S-s-67,S-s-68,S-s-69,S-s-70,S-s-71,S-s-72,S-s-72M,S-s-73,S-s-74,S-s-75,S-s-76,S-s-77,S-s-78,S-s-79,S-s-80,S-s-81,S-s-82,S-s-83,S-s-84
score,5434.027777777778,5394.047619047619,5317.857142857142,5273.174603174603,5264.444444444444,5258.908730158731,5123.353174603175,5111.25,5077.321428571428,5073.769841269841,5070.892857142857,5046.507936507936,5040.31746031746,5017.857142857143,5017.857142857143,5017.341269841269,5015.436507936508,5006.309523809523,5003.452380952381,4988.789682539683,4984.246031746032,4980.6150793650795,4971.329365079365,4962.063492063492,4952.043650793651,4951.746031746032,4929.722222222223,4926.984126984127,4914.4047619047615,4896.011904761905,4887.380952380952,4886.170634920635,4885.853174603175,4875.734126984127,4875.575396825396,4875.2182539682535,4869.4047619047615,4857.063492063492,4854.166666666667,4843.293650793651,4838.75,4837.023809523809,4836.269841269841,4820.476190476191,4819.166666666667,4818.690476190476,4818.690476190476,4816.746031746032,4816.746031746032,4813.9484126984125,4806.230158730159,4805.456349206349,4805.138888888889,4800.416666666667,4797.5,4783.055555555556,4778.1349206349205,4773.035714285715,4770.694444444444,4767.837301587301,4765.079365079364,4762.480158730159,4762.480158730159,4757.6984126984125,4750.357142857143,4739.444444444444,4734.940476190476,4731.9047619047615,4726.547619047619,4717.857142857143,4717.678571428572,4715.099206349207,4707.162698412699,4706.646825396825,4706.646825396825,4704.285714285714,4704.285714285714,4701.507936507936,4697.916666666667,4697.162698412699,4696.071428571428,4695.119047619048,4694.8015873015875,4691.8452380952385,4684.503968253968,4678.5317460317465,4677.599206349206,4673.373015873016,4665.892857142857
TILJSZO,O,O,X,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TILJSOZ,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TILSJZO,O,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O
TILSJOZ,O,O,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
