sequence,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFufBcgBzcBC?eBXjBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBzcBuiBc?jBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFWgBCdBTeB0?iBXgBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8Jex6IvhFCdBTeBOkBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeZ/IvhFCbBWiBTeBX?gB0iBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JecAJvhFWiBxdBTfBX?jBikBFqB,v115@3gA8IeA8HeD8BeA8DeH8AeG8JeT7IvhFCdB0fBxiBO?kBXjBFqB
TILJSZO,X,X,O,O,O,X,X
TILJSOZ,X,X,X,O,O,X,X
TILJZSO,X,X,O,O,X,X,X
TILJZOS,X,X,O,O,X,X,O
TILJOSZ,X,X,X,O,O,X,X
TILJOZS,X,X,O,O,X,X,O
TILSJZO,O,O,O,O,O,X,X
TILSJOZ,O,O,X,O,O,X,X
TILSZJO,O,O,O,O,O,X,X
TILSZOJ,O,O,O,O,O,X,O
TILSOJZ,O,O,X,O,O,X,X
TILSOZJ,O,O,X,O,O,X,O
TILZJSO,O,O,O,O,X,X,X
TILZJOS,O,O,O,O,X,X,O
TILZSJO,O,O,O,O,X,X,X
TILZSOJ,O,O,O,O,X,X,O
TILZOJS,O,O,O,O,X,X,O
TILZOSJ,O,O,O,O,X,X,O
TILOJSZ,X,X,X,O,O,X,X
TILOJZS,X,X,O,O,X,X,O
TILOSJZ,O,O,X,O,O,X,X
TILOSZJ,O,O,X,O,O,X,O
TILOZJS,O,O,O,X,X,X,O
TILOZSJ,O,O,O,X,X,X,O
TIJLSZO,X,X,O,O,O,X,X
TIJLSOZ,X,X,X,O,O,X,X
TIJLZSO,X,X,O,O,X,X,X
TIJLZOS,X,X,O,O,X,X,O
TIJLOSZ,X,X,X,O,O,X,X
TIJLOZS,X,X,O,O,X,X,O
TIJSLZO,O,O,O,O,O,O,X
TIJSLOZ,O,O,X,O,O,O,X
TIJSZLO,O,O,O,O,O,O,X
TIJSZOL,O,O,O,O,O,O,X
TIJSOLZ,O,O,X,O,O,O,X
TIJSOZL,O,O,X,O,O,O,X
TIJZLSO,O,O,O,O,X,X,X
TIJZLOS,O,O,O,O,X,X,O
TIJZSLO,O,O,O,O,O,O,X
TIJZSOL,O,O,O,O,O,O,X
TIJZOLS,O,O,O,O,X,X,O
TIJZOSL,O,O,O,O,O,O,X
TIJOLSZ,X,X,X,O,O,X,X
TIJOLZS,X,X,O,O,X,X,O
TIJOSLZ,O,O,X,O,O,O,X
TIJOSZL,O,O,X,O,O,O,X
TIJOZLS,O,O,O,O,X,X,O
TIJOZSL,O,O,O,O,O,O,X
TISLJZO,O,O,O,O,O,O,X
TISLJOZ,O,O,X,O,O,O,X
TISLZJO,O,O,O,O,O,O,X
TISLZOJ,O,O,O,O,O,O,O
TISLOJZ,O,O,X,O,O,O,X
TISLOZJ,O,O,X,O,O,O,O
TISJLZO,O,O,O,O,O,O,X
TISJLOZ,O,O,X,O,O,O,X
TISJZLO,O,O,O,O,O,O,X
TISJZOL,O,O,O,O,O,O,X
TISJOLZ,O,O,X,O,O,O,X
TISJOZL,O,O,X,O,O,O,X
TISZLJO,O,O,O,O,O,O,X
TISZLOJ,O,O,O,O,O,O,O
TISZJLO,O,O,O,O,O,O,X
TISZJOL,O,O,O,O,O,O,X
TISZOLJ,O,O,O,O,O,O,O
TISZOJL,O,O,O,O,O,O,X
TISOLJZ,O,O,X,O,O,O,X
TISOLZJ,O,O,X,O,O,O,O
TISOJLZ,O,O,X,O,O,O,X
TISOJZL,O,O,X,O,O,O,X
TISOZLJ,O,O,X,O,O,O,O
TISOZJL,O,O,X,O,O,O,X
TIZLJSO,O,O,O,O,X,X,X
TIZLJOS,O,O,O,O,X,X,O
TIZLSJO,O,O,O,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,O
TIZLOJS,O,O,O,O,X,X,O
TIZLOSJ,O,O,O,O,X,X,O
TIZJLSO,O,O,O,O,X,X,X
TIZJLOS,O,O,O,O,X,X,O
TIZJSLO,O,O,O,O,O,O,X
TIZJSOL,O,O,O,O,O,O,X
TIZJOLS,O,O,O,O,X,X,O
TIZJOSL,O,O,O,O,O,O,X
TIZSLJO,O,O,O,O,O,O,X
TIZSLOJ,O,O,O,O,O,O,O
TIZSJLO,O,O,O,O,O,O,X
TIZSJOL,O,O,O,O,O,O,X
TIZSOLJ,O,O,O,O,O,O,O
TIZSOJL,O,O,O,O,O,O,X
TIZOLJS,O,O,O,O,X,X,O
TIZOLSJ,O,O,O,O,X,X,O
TIZOJLS,O,O,O,O,X,X,O
TIZOJSL,O,O,O,O,O,O,X
TIZOSLJ,O,O,O,O,O,O,O
TIZOSJL,O,O,O,O,O,O,X
TIOLJSZ,X,X,X,O,O,X,X
TIOLJZS,X,X,O,O,X,X,O
TIOLSJZ,O,O,X,O,O,X,X
TIOLSZJ,O,O,X,O,O,X,O
TIOLZJS,O,O,O,X,X,X,O
TIOLZSJ,O,O,O,X,X,X,O
TIOJLSZ,X,X,X,O,O,X,X
TIOJLZS,X,X,O,O,X,X,O
TIOJSLZ,O,O,X,O,O,O,X
TIOJSZL,O,O,X,O,O,O,X
TIOJZLS,O,O,O,O,X,X,O
TIOJZSL,O,O,O,X,O,O,X
TIOSLJZ,O,O,X,O,O,O,X
TIOSLZJ,O,O,X,O,O,O,O
TIOSJLZ,O,O,X,O,O,O,X
TIOSJZL,O,O,X,O,O,O,X
TIOSZLJ,O,O,X,O,O,O,O
TIOSZJL,O,O,X,X,O,O,X
TIOZLJS,O,O,O,X,X,X,O
TIOZLSJ,O,O,O,X,X,X,O
TIOZJLS,O,O,O,X,X,X,O
TIOZJSL,O,O,O,X,O,O,X
TIOZSLJ,O,O,O,X,O,O,O
TIOZSJL,O,O,O,X,O,O,X
TLIJSZO,X,X,O,O,O,X,X
TLIJSOZ,X,X,X,O,O,X,X
TLIJZSO,X,X,O,O,X,X,X
TLIJZOS,X,X,O,O,X,X,O
TLIJOSZ,X,X,X,O,O,X,X
TLIJOZS,X,X,O,O,X,X,O
TLISJZO,O,O,O,O,O,X,X
TLISJOZ,O,O,X,O,O,X,X
TLISZJO,O,O,O,O,O,X,X
TLISZOJ,O,O,O,O,O,X,O
TLISOJZ,O,O,X,O,O,X,X
TLISOZJ,O,O,X,O,O,X,O
TLIZJSO,O,O,O,O,X,X,X
TLIZJOS,O,O,O,O,X,X,O
TLIZSJO,O,O,O,O,X,X,X
TLIZSOJ,O,O,O,O,X,X,O
TLIZOJS,O,O,O,O,X,X,O
TLIZOSJ,O,O,O,O,X,X,O
TLIOJSZ,X,X,X,O,O,X,X
TLIOJZS,X,X,O,O,X,X,O
TLIOSJZ,O,O,X,O,O,X,X
TLIOSZJ,O,O,X,O,O,X,O
TLIOZJS,O,O,O,X,X,X,O
TLIOZSJ,O,O,O,X,X,X,O
TLJISZO,X,X,O,O,O,X,X
TLJISOZ,X,X,X,O,O,X,X
TLJIZSO,X,X,O,O,X,X,X
TLJIZOS,X,X,O,O,X,X,O
TLJIOSZ,X,X,X,O,O,X,X
TLJIOZS,X,X,O,O,X,X,O
TLJSIZO,X,X,O,O,O,O,X
TLJSIOZ,X,X,X,O,O,O,X
TLJSZIO,X,X,O,O,O,O,X
TLJSZOI,X,X,O,O,O,O,X
TLJSOIZ,X,X,X,O,O,O,X
TLJSOZI,X,X,X,O,O,O,X
TLJZISO,X,X,O,O,X,X,X
TLJZIOS,X,X,O,O,X,X,O
TLJZSIO,X,X,O,O,X,O,X
TLJZSOI,X,X,O,O,X,O,X
TLJZOIS,X,X,O,O,X,X,O
TLJZOSI,X,X,O,O,X,O,X
TLJOISZ,X,X,X,O,O,X,X
TLJOIZS,X,X,O,O,X,X,O
TLJOSIZ,X,X,X,O,O,O,X
TLJOSZI,X,X,X,O,O,O,X
TLJOZIS,X,X,O,O,X,X,O
TLJOZSI,X,X,O,O,X,O,X
TLSIJZO,O,O,O,O,O,O,X
TLSIJOZ,O,O,X,O,O,O,X
TLSIZJO,O,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,O,O
TLSIOJZ,O,O,X,O,O,O,X
TLSIOZJ,O,O,X,O,O,O,O
TLSJIZO,O,O,O,O,O,O,X
TLSJIOZ,O,O,X,O,O,O,X
TLSJZIO,O,O,O,O,O,O,X
TLSJZOI,O,O,O,O,O,O,X
TLSJOIZ,O,O,X,O,O,O,X
TLSJOZI,O,O,X,O,O,O,X
TLSZIJO,O,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,O,O
TLSZJIO,O,O,O,O,O,O,X
TLSZJOI,O,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,O,O,O
TLSZOJI,O,O,O,O,O,O,X
TLSOIJZ,O,O,X,O,O,O,X
TLSOIZJ,O,O,X,O,O,O,O
TLSOJIZ,O,O,X,O,O,O,X
TLSOJZI,O,O,X,O,O,O,X
TLSOZIJ,O,O,X,O,O,O,O
TLSOZJI,O,O,X,O,O,O,X
TLZIJSO,O,O,O,O,X,X,X
TLZIJOS,O,O,O,O,X,X,O
TLZISJO,O,O,O,O,X,X,X
TLZISOJ,O,O,O,O,X,X,O
TLZIOJS,O,O,O,O,X,X,O
TLZIOSJ,O,O,O,O,X,X,O
TLZJISO,O,O,O,O,X,X,X
TLZJIOS,O,O,O,O,X,X,O
TLZJSIO,O,O,O,O,X,O,X
TLZJSOI,O,O,O,O,X,O,X
TLZJOIS,O,O,O,O,X,X,O
TLZJOSI,O,O,O,O,X,O,X
TLZSIJO,O,O,O,O,X,O,X
TLZSIOJ,O,O,O,O,X,O,O
TLZSJIO,O,O,O,O,X,O,X
TLZSJOI,O,O,O,O,X,O,X
TLZSOIJ,O,O,O,O,X,O,O
TLZSOJI,O,O,O,O,X,O,X
TLZOIJS,O,O,O,O,X,X,O
TLZOISJ,O,O,O,O,X,X,O
TLZOJIS,O,O,O,O,X,X,O
TLZOJSI,O,O,O,O,X,O,X
TLZOSIJ,O,O,O,O,X,O,O
TLZOSJI,O,O,O,O,X,O,X
TLOIJSZ,X,X,X,O,O,X,X
TLOIJZS,X,X,O,O,X,X,O
TLOISJZ,O,O,X,O,O,X,X
TLOISZJ,O,O,X,O,O,X,O
TLOIZJS,O,O,O,X,X,X,O
TLOIZSJ,O,O,O,X,X,X,O
TLOJISZ,X,X,X,O,O,X,X
TLOJIZS,X,X,O,O,X,X,O
TLOJSIZ,X,X,X,O,O,O,X
TLOJSZI,X,X,X,O,O,O,X
TLOJZIS,X,X,O,O,X,X,O
TLOJZSI,X,X,O,O,X,O,X
TLOSIJZ,O,O,X,O,O,O,X
TLOSIZJ,O,O,X,O,O,O,O
