sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TILJSZO,X,X,O,X,X,X,X,X
TILJSOZ,X,X,O,O,X,X,X,X
TILJZSO,X,X,X,X,O,X,X,O
TILJZOS,X,X,X,O,O,X,X,O
TILJOSZ,X,X,O,O,X,X,O,X
TILJOZS,X,X,X,O,O,X,O,X
TILSJZO,O,O,O,X,X,X,X,X
TILSJOZ,O,O,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X,O
TILSZOJ,O,O,O,X,X,X,X,O
TILSOJZ,O,O,O,O,X,X,X,X
TILSOZJ,O,O,O,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,O
TILZJOS,O,O,X,O,O,X,X,O
TILZSJO,O,O,X,X,X,X,X,O
TILZSOJ,O,O,X,X,X,X,X,O
TILZOJS,O,O,X,O,O,X,X,O
TILZOSJ,O,O,X,X,X,X,X,O
TILOJSZ,X,X,O,O,X,X,O,X
TILOJZS,X,X,X,O,O,X,O,X
TILOSJZ,O,O,O,O,X,X,X,X
TILOSZJ,O,O,O,X,X,X,X,X
TILOZJS,O,O,X,O,O,X,X,O
TILOZSJ,O,O,X,X,X,X,X,O
TIJLSZO,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,O,O,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,O
TIJLZOS,X,X,X,O,O,X,X,O
TIJLOSZ,X,X,O,O,X,X,O,X
TIJLOZS,X,X,X,O,O,X,O,X
TIJSLZO,O,O,O,X,X,X,X,X
TIJSLOZ,O,O,O,O,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X
TIJSOLZ,O,O,O,O,X,X,O,X
TIJSOZL,O,O,O,X,X,X,O,X
TIJZLSO,O,O,X,X,O,X,X,O
TIJZLOS,O,O,X,O,O,X,X,O
TIJZSLO,O,O,O,X,O,X,X,O
TIJZSOL,O,O,O,X,O,X,X,O
TIJZOLS,O,O,X,O,O,X,O,O
TIJZOSL,O,O,O,X,O,X,O,O
TIJOLSZ,X,X,O,O,X,X,O,X
TIJOLZS,X,X,X,O,O,X,O,X
TIJOSLZ,O,O,O,O,X,X,O,X
TIJOSZL,O,O,O,X,X,X,O,X
TIJOZLS,O,O,X,O,O,X,O,X
TIJOZSL,O,O,O,X,O,X,O,X
TISLJZO,O,O,O,X,X,X,X,X
TISLJOZ,O,O,O,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,O
TISLZOJ,O,O,O,X,X,X,X,O
TISLOJZ,O,O,O,O,X,X,X,X
TISLOZJ,O,O,O,X,X,X,X,X
TISJLZO,O,O,O,X,X,X,X,X
TISJLOZ,O,O,O,O,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X
TISJOLZ,O,O,O,O,X,X,O,X
TISJOZL,O,O,O,X,X,X,O,X
TISZLJO,O,O,O,X,X,X,X,O
TISZLOJ,O,O,O,X,X,X,X,O
TISZJLO,O,O,O,X,X,X,X,O
TISZJOL,O,O,O,X,X,X,X,O
TISZOLJ,O,O,O,X,X,X,X,O
TISZOJL,O,O,O,X,X,X,X,O
TISOLJZ,O,O,O,O,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X,X
TISOJLZ,O,O,O,O,X,X,O,X
TISOJZL,O,O,O,X,X,X,O,X
TISOZLJ,O,O,O,X,X,X,X,X
