sequence,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je07IvhFxcBXeB2lBz?hBSoBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF2hBfjB6jBU?iBxlBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jex7IvhF8iB+jBTgBi?hBXiBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jex7IvhF6jBTgB/mBF?iB8nBOsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeKAJvhFfhBxcB8iB+?jBzhBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhFzcBGeB3gBU?jBxmBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF0cBxdBylBG?jBfsBlsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhFWiBxdB3gBT?jBlmBcsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeOAJvhFxcB6jBzgBF?iB8nBfsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeOAJvhF8gBzcBfjB6?jBxmBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je0AJvhFxhBXjBigBz?hBGjBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Jei7IvhF3cBTeB1lBW?sBxsBcsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8JeT7IvhF6jBOnB8nBx?lB/mBFsB,v115@zgB8HeB8HeB8HeE8CeH8AeC8Je2AJvhFCdBxiB3gBT?jBlmBcsB
TILJSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TILJSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TILJZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TILJZOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TILJOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TILJOZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TILSJZO,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TILSJOZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TILSZJO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILSZOJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILSOJZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TILSOZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZJSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TILZJOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TILZSJO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZSOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZOJS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TILZOSJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TILOJSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TILOJZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TILOSJZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TILOSZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILOZJS,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TILOZSJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJLSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TIJLSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TIJLZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJLZOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJLOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TIJLOZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJSLZO,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TIJSLOZ,X,O,X,X,X,O,O,O,X,O,X,O,X,X
TIJSZLO,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TIJSZOL,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TIJSOLZ,X,O,X,X,X,O,O,O,X,O,X,O,X,X
TIJSOZL,X,O,X,X,X,O,O,X,X,O,X,O,X,X
TIJZLSO,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TIJZLOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TIJZSLO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TIJZSOL,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TIJZOLS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TIJZOSL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TIJOLSZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJOLZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIJOSLZ,O,O,O,X,X,O,X,O,X,O,X,O,X,X
TIJOSZL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TIJOZLS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TIJOZSL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TISLJZO,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TISLJOZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X
TISLZJO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISLZOJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISLOJZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X
TISLOZJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TISJLZO,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TISJLOZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X
TISJZLO,X,O,X,X,X,O,X,X,X,O,O,O,X,X
TISJZOL,X,O,X,X,X,O,X,X,X,O,O,O,X,X
TISJOLZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X
TISJOZL,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TISZLJO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISZLOJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISZJLO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISZJOL,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISZOLJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISZOJL,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISOLJZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X
TISOLZJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TISOJLZ,X,O,X,X,X,O,X,O,X,O,X,O,X,X
TISOJZL,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TISOZLJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TISOZJL,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZLJSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZLJOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZLSJO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZLSOJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZLOJS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZLOSJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZJLSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZJLOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZJSLO,X,O,X,X,X,O,X,X,X,O,O,O,X,X
TIZJSOL,X,O,X,X,X,O,X,X,X,O,O,O,X,X
TIZJOLS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZJOSL,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TIZSLJO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZSLOJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZSJLO,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZSJOL,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZSOLJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZSOJL,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZOLJS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZOLSJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIZOJLS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TIZOJSL,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TIZOSLJ,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZOSJL,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIOLJSZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIOLJZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIOLSJZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TIOLSZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOLZJS,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TIOLZSJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOJLSZ,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIOJLZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIOJSLZ,O,O,O,X,X,O,X,O,X,O,X,O,X,X
TIOJSZL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TIOJZLS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TIOJZSL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TIOSLJZ,O,O,O,X,X,O,X,O,X,O,X,O,X,X
TIOSLZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,O,X,O,X,O,X,O,X,X
TIOSJZL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TIOSZLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOSZJL,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOZLJS,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TIOZLSJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOZJLS,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TIOZJSL,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TIOZSLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOZSJL,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIJSZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TLIJSOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TLIJZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TLIJZOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TLIJOZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLISJZO,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLISJOZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLISZJO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLISZOJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLISOJZ,O,O,X,X,O,O,X,X,X,O,X,O,X,X
TLISOZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TLIZJOS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TLIZSJO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIZOJS,X,O,X,X,X,O,X,X,X,O,X,O,O,X
TLIZOSJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIOJSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TLIOJZS,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLIOSJZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLIOSZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIOZJS,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TLIOZSJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLJISZO,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TLJISOZ,O,O,X,X,O,X,O,X,X,X,X,O,X,X
TLJIZSO,O,O,X,X,O,X,X,X,X,X,X,O,X,X
TLJIZOS,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TLJIOSZ,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TLJIOZS,O,O,O,X,O,X,O,X,X,X,X,O,X,X
TLJSIZO,O,O,X,X,O,X,O,X,X,O,X,O,X,X
TLJSIOZ,O,O,X,X,O,X,O,O,X,O,X,O,X,X
TLJSZIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
TLJSZOI,O,X,O,X,O,X,O,O,O,X,X,X,X,X
TLJSOIZ,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TLJSOZI,O,X,O,X,O,X,O,O,X,X,X,X,X,X
TLJZISO,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLJZIOS,O,X,O,X,O,X,O,X,X,O,X,O,X,X
TLJZSIO,O,X,X,X,O,X,O,X,O,O,X,X,X,X
TLJZSOI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLJZOIS,O,X,O,X,O,X,O,X,O,X,X,X,X,X
TLJZOSI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
