sequence,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhF6gBxcBXeBemBzh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFxbBOiBXeBqlBTh?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFlbBXeB6mBZnBzq?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Jel6IvhFUcBXeB6lBZnBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFehBXeBzhB6lBxr?BFsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFVhBXeBZnB6qBTr?BGsB,v115@9gA8HeD8DeF8EeH8AeC8Je06IvhFTcBFeBRmB6lB/n?BmrB,v115@9gA8HeD8DeF8EeH8AeC8Jex6IvhFTcBFeBUmBasB/s?BGqB
TILJSZO,X,O,X,X,X,X,X,X
TILJSOZ,X,O,X,O,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X
TILJOSZ,X,O,X,O,X,X,X,X
TILJOZS,X,O,X,O,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X
TILSJOZ,X,O,X,O,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X
TILSZOJ,X,O,X,O,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X
TILZJSO,X,O,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,O
TILZSOJ,X,O,X,O,X,X,X,O
TILZOJS,X,O,X,O,X,X,X,X
TILZOSJ,X,O,X,O,X,X,X,O
TILOJSZ,X,O,X,O,X,X,X,X
TILOJZS,X,O,X,O,X,X,X,X
TILOSJZ,X,O,X,O,X,X,X,X
TILOSZJ,X,O,X,O,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X
TIJLOSZ,O,O,X,O,X,X,X,X
TIJLOZS,O,O,X,O,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,X
TIJSOLZ,O,O,X,X,O,X,X,X
TIJSOZL,O,X,X,X,O,X,X,X
TIJZLSO,O,O,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X
TIJZOSL,O,O,X,X,O,X,X,X
TIJOLSZ,O,O,X,X,O,X,X,X
TIJOLZS,O,O,X,X,O,X,X,X
TIJOSLZ,O,O,X,X,O,X,X,X
TIJOSZL,O,X,X,X,O,X,X,X
TIJOZLS,O,X,X,X,O,X,X,X
TIJOZSL,O,X,X,X,O,X,X,X
TISLJZO,O,O,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X
TISLZOJ,O,O,X,O,X,X,X,X
TISLOJZ,X,O,X,O,X,X,X,X
TISLOZJ,X,O,X,O,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,O,X,X,X
TISJOLZ,O,O,X,X,O,X,X,X
TISJOZL,O,X,X,X,O,X,X,X
TISZLJO,O,O,X,X,X,X,X,X
TISZLOJ,O,O,X,O,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X
TISZJOL,O,O,X,X,O,X,X,X
TISZOLJ,O,O,O,X,X,O,X,X
TISZOJL,O,O,X,X,O,O,X,X
TISOLJZ,X,O,O,O,X,X,X,X
TISOLZJ,X,O,O,O,X,O,X,X
TISOJLZ,O,O,X,X,O,X,X,X
TISOJZL,O,X,X,X,O,O,X,X
TISOZLJ,O,X,O,X,X,O,X,X
TISOZJL,O,X,X,X,O,O,X,X
TIZLJSO,O,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,O
TIZLSOJ,O,O,X,O,X,X,X,O
TIZLOJS,X,O,X,O,X,X,X,X
TIZLOSJ,X,O,X,O,X,X,X,O
TIZJLSO,O,O,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,O,X,X,X
TIZJOLS,O,X,X,X,O,X,X,X
TIZJOSL,O,O,X,X,O,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,X,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X
TIZSJOL,O,O,X,X,O,X,X,X
TIZSOLJ,O,O,O,X,X,O,X,X
TIZSOJL,O,O,X,X,O,O,X,X
TIZOLJS,X,O,O,X,X,X,X,X
TIZOLSJ,X,O,O,X,X,O,X,X
TIZOJLS,O,X,X,X,O,X,X,X
TIZOJSL,O,O,X,X,O,O,X,X
TIZOSLJ,X,O,O,X,X,O,X,X
TIZOSJL,O,O,X,X,O,O,X,X
TIOLJSZ,X,O,O,O,X,X,X,X
TIOLJZS,X,O,O,O,X,X,X,X
TIOLSJZ,X,O,O,O,X,X,X,X
TIOLSZJ,X,O,O,O,X,O,X,X
TIOLZJS,X,O,O,O,X,X,X,X
TIOLZSJ,X,O,O,O,X,O,X,X
TIOJLSZ,O,O,X,X,O,X,X,X
TIOJLZS,O,O,X,X,O,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X
TIOJSZL,O,X,X,X,O,O,X,X
TIOJZLS,O,X,X,X,O,X,X,X
TIOJZSL,O,X,X,X,O,O,X,X
TIOSLJZ,X,O,O,O,X,X,X,X
TIOSLZJ,X,O,O,O,X,O,X,X
TIOSJLZ,O,O,X,X,O,X,X,X
TIOSJZL,O,X,X,X,O,O,X,X
TIOSZLJ,X,X,O,X,X,O,X,X
TIOSZJL,O,X,X,X,O,O,X,X
TIOZLJS,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,O,X,X
TIOZJLS,O,X,X,X,O,X,X,X
TIOZJSL,O,X,X,X,O,O,X,X
TIOZSLJ,X,X,O,X,X,O,X,X
TIOZSJL,O,X,X,X,O,O,X,X
TLIJSZO,X,O,X,X,X,X,X,X
TLIJSOZ,X,O,X,O,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,X
TLIJOZS,X,O,X,O,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,X
TLISJOZ,X,O,X,O,X,X,X,X
TLISZJO,X,O,X,X,X,X,X,X
TLISZOJ,X,O,X,O,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X
TLISOZJ,X,O,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,O
TLIZSOJ,X,O,X,O,X,X,X,O
TLIZOJS,X,O,X,O,X,X,X,X
TLIZOSJ,X,O,X,O,X,X,X,O
TLIOJSZ,X,O,X,O,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,X
TLIOSJZ,X,O,X,O,X,X,X,X
TLIOSZJ,X,O,X,O,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,X,X
TLJISZO,O,O,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X,X
TLJIZSO,O,O,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X
TLJIOZS,O,O,X,O,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,X,O,X,X,X,X
TLJSOZI,O,O,X,O,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,X,X,X
TLJZSOI,O,O,X,X,X,X,X,X
TLJZOIS,O,O,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X
TLJOISZ,O,O,X,O,X,X,X,X
TLJOIZS,O,O,X,O,X,X,X,X
TLJOSIZ,O,O,X,O,X,X,X,X
TLJOSZI,O,O,X,O,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X,X
TLSIOJZ,X,O,X,O,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,X,X
TLSJIZO,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X
TLSZOIJ,O,O,X,O,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X
TLSOIJZ,X,O,X,O,X,X,X,X
TLSOIZJ,X,O,X,O,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X
TLSOZIJ,X,O,X,O,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X
TLZIJSO,O,O,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,O
TLZISOJ,O,O,X,O,X,X,X,O
TLZIOJS,X,O,X,O,X,X,X,X
TLZIOSJ,X,O,X,O,X,X,X,O
TLZJISO,O,O,X,X,X,X,X,O
TLZJIOS,O,O,X,X,X,X,X,O
TLZJSIO,O,O,X,X,X,X,X,O
TLZJSOI,O,O,X,X,X,X,X,O
TLZJOIS,O,O,X,X,X,X,X,O
TLZJOSI,O,O,X,X,X,X,X,O
TLZSIJO,O,O,X,X,X,X,X,O
TLZSIOJ,O,O,X,O,X,X,X,O
TLZSJIO,O,O,X,X,X,X,X,O
TLZSJOI,O,O,X,X,X,X,X,O
TLZSOIJ,O,O,X,O,X,X,X,O
TLZSOJI,O,O,X,O,X,X,X,O
TLZOIJS,X,O,X,O,X,X,X,X
TLZOISJ,X,O,X,O,X,X,X,O
TLZOJIS,O,O,X,O,X,X,X,O
TLZOJSI,O,O,X,O,X,X,X,O
TLZOSIJ,O,O,X,O,X,X,X,O
TLZOSJI,O,O,X,O,X,X,X,O
TLOIJSZ,X,O,X,O,X,X,X,X
