sequence,v115@RhB8GeF8AeD8Je2EJvhFRgBCiBTjB3lB0nBlrB,v115@RhB8GeF8AeD8Jex/IvhF8lBzhBCjBmkBXoBlrB,v115@RhB8GeF8AeD8JeT/IvhFigBRiBcoB3lBGnBlrB,v115@RhB8GeF8AeD8JeT/IvhFOlB8lBCiBxnBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFzhBunBcoBRlB3lBlrB,v115@RhB8GeF8AeD8Jei/IvhFzgBWnBxiBUlBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFWnBTjBRlB3lB0nBlrB,v115@RhB8GeF8AeD8Jei/IvhFRhBGjBFlBXmB8rBzsB,v115@RhB8GeF8AeD8Je2EJvhFzgBCiBxnBUlBXoBlrB,v115@RhB8GeF8AeD8Jex/IvhFlhB3iBcoBmkBzlBCsB,v115@RhB8GeF8AeD8JeT/IvhFOlBCmBxnB/rBUsBFtB
TILJSZO,O,X,X,X,X,O,X,O,X,X,X
TILJSOZ,O,X,X,X,X,O,O,O,O,X,X
TILJZSO,O,X,X,O,O,O,X,O,X,X,X
TILJZOS,O,X,X,O,O,O,O,O,O,X,X
TILJOSZ,O,X,X,X,X,O,O,O,O,X,O
TILJOZS,O,X,X,O,O,O,O,O,O,X,O
TILSJZO,O,X,X,X,X,O,X,O,X,X,X
TILSJOZ,O,X,X,X,X,O,O,O,O,X,X
TILSZJO,O,X,X,O,O,O,X,O,X,X,X
TILSZOJ,O,X,X,O,O,O,X,O,X,X,X
TILSOJZ,O,X,X,X,X,O,O,O,O,X,X
TILSOZJ,O,X,X,O,O,O,X,X,X,X,X
TILZJSO,O,X,X,O,O,O,X,O,X,X,X
TILZJOS,O,X,X,O,O,O,O,O,O,X,X
TILZSJO,O,X,X,O,O,O,X,O,X,X,X
TILZSOJ,O,X,X,O,O,O,X,O,X,X,X
TILZOJS,O,X,X,O,O,O,O,O,O,X,X
TILZOSJ,O,X,X,O,O,O,X,O,X,X,X
TILOJSZ,O,X,X,X,X,O,O,O,O,X,O
TILOJZS,O,X,X,O,O,O,O,O,O,X,O
TILOSJZ,O,X,X,X,X,O,O,O,O,X,X
TILOSZJ,O,X,X,O,O,O,X,X,X,X,X
TILOZJS,X,X,X,O,O,X,O,O,O,X,X
TILOZSJ,X,X,X,O,O,X,X,O,X,X,X
TIJLSZO,O,X,X,X,X,O,X,O,X,X,X
TIJLSOZ,O,X,X,X,X,O,O,O,O,X,X
TIJLZSO,O,X,X,O,O,O,X,O,X,X,X
TIJLZOS,O,X,X,O,O,O,O,O,O,X,X
TIJLOSZ,O,X,X,X,X,O,O,O,O,X,O
TIJLOZS,O,X,X,O,O,O,O,O,O,X,O
