sequence,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhB0cBxdBSnBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhBxcBTeBCiBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBRdBSjB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBzdB+jBUiB3h?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBWjBUiB3hBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBGdBTeB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBUdBajB5jB1m?BftB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFCcBFeBThBxnB/n?BctB
TILJSZO,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,X,X,X
TILZJOS,X,X,X,O,O,X,X,X
TILZSJO,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X
TIJSLZO,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,X,X,O,X
TIJSZLO,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,X,X,X,O,X
TIJSOLZ,X,X,X,X,X,X,O,X
TIJSOZL,X,X,X,X,X,X,O,X
TIJZLSO,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,O,X
TIJOSZL,X,X,X,X,X,X,O,X
TIJOZLS,X,X,X,O,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,O,X
TISLJOZ,X,X,X,X,X,X,O,X
TISLZJO,X,X,X,X,X,X,O,X
TISLZOJ,X,X,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,X,O,X
TISLOZJ,X,X,X,X,X,X,O,X
TISJLZO,X,X,X,X,X,X,O,X
TISJLOZ,X,X,X,X,X,X,O,X
TISJZLO,X,X,X,X,X,X,O,X
TISJZOL,X,X,X,X,X,X,O,X
TISJOLZ,X,X,X,X,X,X,O,X
TISJOZL,X,X,X,X,X,X,O,X
TISZLJO,X,X,X,X,X,X,O,X
TISZLOJ,X,X,X,X,X,X,O,X
TISZJLO,X,X,X,X,X,X,O,X
TISZJOL,X,X,X,X,X,X,O,X
TISZOLJ,X,X,X,X,X,X,O,X
TISZOJL,X,X,X,X,X,X,O,X
TISOLJZ,X,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,X,O,X
TISOJLZ,X,X,X,X,X,X,O,X
TISOJZL,X,X,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,X,O,X
TISOZJL,X,X,X,X,X,X,O,X
TIZLJSO,X,X,X,X,O,X,X,X
TIZLJOS,X,X,X,O,O,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,O,O,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,O,X
TIOJSZL,X,X,X,X,X,X,O,X
TIOJZLS,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,O,X
TIOSLZJ,X,X,X,X,X,X,O,X
TIOSJLZ,X,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,O,X,X,X
TLIZJOS,X,X,X,O,O,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X
TLJZOSI,X,O,X,O,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,X,X,X
TLZIJOS,X,X,X,O,O,X,X,X
TLZISJO,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,O,X,X,X
TLZJIOS,X,X,X,O,O,X,X,X
TLZJSIO,X,O,X,X,O,X,X,X
TLZJSOI,X,O,X,X,O,X,X,X
TLZJOIS,X,X,X,O,O,X,X,X
TLZJOSI,X,O,X,O,O,X,X,X
TLZSIJO,X,O,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X
TLZSJOI,X,O,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,O,X,X,X,X
TJISLZO,X,X,X,X,X,X,O,X
TJISLOZ,X,X,X,X,X,X,O,X
TJISZLO,X,X,X,X,X,X,O,X
TJISZOL,X,X,X,X,X,X,O,X
TJISOLZ,X,X,X,X,X,X,O,X
TJISOZL,X,X,X,X,X,X,O,X
TJIZLSO,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,O,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,O,X
TJIOSZL,X,X,X,X,X,X,O,X
TJIOZLS,X,X,X,O,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,X
TJLZSIO,X,O,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X
TJLZOSI,X,O,X,O,X,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X
TJSILZO,X,X,X,X,X,X,O,X
TJSILOZ,X,X,X,X,X,X,O,X
TJSIZLO,X,X,X,X,X,X,O,X
TJSIZOL,X,X,X,X,X,X,O,X
TJSIOLZ,X,X,X,X,X,X,O,X
TJSIOZL,X,X,X,X,X,X,O,X
TJSLIZO,O,X,X,X,X,X,O,X
TJSLIOZ,X,X,X,X,X,X,O,X
TJSLZIO,O,O,X,X,X,X,O,X
TJSLZOI,O,O,X,X,X,X,O,X
TJSLOIZ,O,X,X,X,X,X,O,X
TJSLOZI,O,X,X,X,X,X,O,X
TJSZILO,O,X,X,X,X,X,O,X
TJSZIOL,O,X,X,X,X,X,O,X
TJSZLIO,O,X,X,X,X,X,O,X
TJSZLOI,O,X,X,X,X,X,O,X
TJSZOIL,O,X,X,X,X,X,O,X
TJSZOLI,O,X,X,X,X,X,O,X
TJSOILZ,O,X,X,X,X,X,O,X
TJSOIZL,O,X,X,X,X,X,O,X
TJSOLIZ,O,X,X,X,X,X,O,X
TJSOLZI,O,X,X,X,X,X,O,X
TJSOZIL,O,X,X,X,X,X,O,X
TJSOZLI,O,X,X,X,X,X,O,X
