sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
TILJSZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TILZSJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TILZOSJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILOSJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TILOZSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLZOS,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIJLOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIJSLZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIJZLSO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TIJZSLO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJZSOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIJZOLS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TIJZOSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIJOSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIJOZLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIJOZSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TISLJZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLOJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISZLJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZLOJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
