sequence,v115@zgD8FeB8HeB8HeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeX8IvhFxdB2lBFiBT?jBSrBcsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Je08IvhFxdBigBGjBz?lBfsBlsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeT8IvhFOiBXeBSoBx?lB0lBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Jex8IvhF8iB+jB/lBa?mBzhBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeyAJvhFGdBTeB3hB0?lBxnBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Je09IvhF6jB/lBRhBT?hBlnBmrB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeT8IvhFidB+jB3iBx?lB0lBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Jex8IvhFTeB/lBUhBF?iBCoBmrB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Jex8IvhF8iB+jBTgBy?mBXmBFsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeyAJvhFxdB+nBTjB0?lBlmBfsB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeVBJvhFUdB/lBTjBC?jBxrBmrB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Jex9IvhFXiBTjBmlBc?sB6rBlqB,v115@zgD8FeB8HeB8HeC8EeH8AeC8Je08IvhFTeBmlBfsBx?sB6sBlqB,v115@zgD8FeB8HeB8HeC8EeH8AeC8JeU+IvhFTgBxhBmhBS?oBXmBFsB
TILJSZO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLZSO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJSZLO,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TIJSZOL,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TIJZLSO,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TIJZLOS,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X
TIJZSOL,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X
TIJZOLS,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TIJZOSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TIJOLSZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJOZLS,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TISLJZO,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TISLJOZ,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TISLZJO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TISLOJZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TISLOZJ,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TISJLZO,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X
TISJLOZ,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X
TISJZLO,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X
TISJZOL,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X
TISJOLZ,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X
TISJOZL,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X
TISZLJO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TISZJLO,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TISZJOL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TISZOLJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TISZOJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TISOLJZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TISOLZJ,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TISOJLZ,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TISOZLJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TISOZJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIZLJSO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZJOLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJSLZ,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TIOSJLZ,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIOZLJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLIJZSO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TLIZJSO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZJS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TLJISZO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLJISOZ,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJIZSO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TLJIZOS,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJSOZI,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLJZISO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
TLJZIOS,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TLJZSIO,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X
TLJZSOI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJZOSI,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TLJOISZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
TLJOZIS,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJOZSI,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TLSIJZO,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X
