sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
TILJSZO,X,X,X,X,X,X,X,O,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,O,O,X,X
TILJOZS,X,X,X,X,X,X,O,X,O,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,O,X,O,X,X
TILOJZS,X,X,X,X,X,X,O,X,O,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X
