sequence,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWBJvhFxcBTeBUgBy?mBfoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFRdBSjBUgB3?hBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBxdBUgBT?iBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBC?iBmnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez7IvhFWiBxdBUgBX?jBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeC8IvhFxdBUgB/mBO?oBTnBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeSAJvhFFdBTeBxlBm?nB/mBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JeWCJvhFTeBRgB3gB0?iBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFuiBcjBRgB3?gBlmBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFCeBRgBOoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8Jez8IvhFGeBRgBaoB3?gBlmBcsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBUgBzhBC?jBOoBFsB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhFxcBTeBUgBu?mB1nBisB,v115@zgC8GeA8IeB8GeF8DeG8AeC8JefBJvhF6hBUgBxiBT?iBOoBFsB
TILJSZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TILJSOZ,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TILJZSO,O,O,X,O,O,X,O,X,O,X,O,X,X,X
TILJZOS,X,O,X,O,O,X,O,O,O,X,O,X,X,X
TILJOSZ,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TILJOZS,X,O,X,O,O,X,O,O,O,X,X,X,X,X
TILSJZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TILSZOJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TILSOJZ,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TILSOZJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TILZJSO,O,O,X,O,O,X,X,X,O,X,O,X,X,X
TILZJOS,O,O,X,O,O,X,X,O,O,X,O,X,X,X
TILZSJO,O,O,X,O,O,X,X,X,O,X,O,X,X,O
TILZSOJ,O,O,X,O,O,X,X,X,O,X,O,O,X,O
TILZOJS,O,O,X,X,O,X,X,O,O,X,O,X,X,X
TILZOSJ,O,O,X,O,O,X,X,X,O,X,O,O,X,X
TILOJSZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X
TILOJZS,X,O,X,X,O,X,O,O,O,X,X,X,X,X
TILOSJZ,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,O,O,X,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,X,O,X,X,O,X,X
TIJLSZO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TIJLZSO,X,O,O,O,X,X,O,X,O,O,O,X,X,X
TIJLZOS,X,O,O,O,O,X,O,O,O,O,O,X,X,X
TIJLOSZ,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TIJLOZS,X,O,O,O,O,X,O,O,O,X,X,X,X,X
TIJSLZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TIJSZLO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TIJSZOL,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TIJSOLZ,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TIJSOZL,X,O,O,O,O,X,O,O,X,X,X,X,X,X
TIJZLSO,X,O,O,O,X,X,O,X,X,O,X,X,X,X
TIJZLOS,X,O,O,O,O,X,O,X,O,O,X,X,X,X
TIJZSLO,X,O,O,O,O,X,O,X,X,O,X,X,X,O
TIJZSOL,X,O,O,O,O,X,O,X,O,O,X,X,X,X
TIJZOLS,X,O,O,O,O,X,O,O,O,O,X,X,X,X
