sequence,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhF0cBTfBlgBSnB/q?B2wB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFXcBifBGiBFlB8q?BzrB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gBTcB2kBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBzgBumBcn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeO/IvhFXbBRhBcnBThBFl?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFGbBTcBUgBxmBXn?BlqB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFxbBlgB3hBcnBmk?BCrB,v115@5gD8HeB8HeD8EeF8AeF8JeK/IvhFfgBxbBWmBTiB0m?BlqB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFWiBTfBKlBFmBXn?B8qB,v115@5gD8HeB8HeD8EeF8AeF8Je37IvhF1hBTfBcnBmfBxq?BCrB,v115@5gD8HeB8HeD8EeF8AeF8Jex6IvhFTfB0gB/qBCsBOr?BFsB,v115@5gD8HeB8HeD8EeF8AeF8JeT6IvhFXcBxkB8qBCsBOq?BFsB,v115@5gD8HeB8HeD8EeF8AeF8Je36IvhFxgBTiB2kBChB0m?BlqB
TILJSZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,X,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TILSZJO,X,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X
TILSZOJ,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X
TILSOJZ,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TILZJSO,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TILZJOS,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TILZSJO,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TILZOJS,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X
TILZOSJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TILOZJS,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJLSZO,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIJLZSO,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISJLZO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
