sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
TILJSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TILJSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TILJZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TILJOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
TILSJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TILSJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TILSZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TILSOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
TILZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TILOJZS,O,O,X,X,O,O,X,X,X,X,X,X,O
TILOSJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
