sequence,v115@7gB8HeB8FeF8EeF8AeF8Jem6IvhFRcBSiBTfB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFzaBGdBRhB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFxbBTdBflBlgBqm?B8qB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFibBchBTdBflB5l?B1wB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFTbBSiBflBRrB8q?BlrB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFfgBxbBTdBWmB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhF0bBxcBzfBSmBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFlbBGdBxkB0mB/q?BirB,v115@7gB8HeB8FeF8EeF8AeF8Je36IvhFTdBxgB2kBChB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFGbBUgBxhBThBXn?BlqB
TILJSZO,O,X,X,X,O,O,O,X,X,X,X,O,X
TILJSOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
TILJZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
TILJOSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TILJOZS,O,O,X,X,X,X,O,O,O,X,X,O,X
TILSJZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TILSJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X
TILSZJO,O,X,X,O,O,X,O,O,X,X,X,X,O
TILSZOJ,O,X,X,O,O,O,O,O,X,X,X,X,X
TILSOJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
TILSOZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,O,O,X,X,X,O,O
TILZJOS,X,O,X,X,X,X,O,O,X,X,X,O,O
TILZSJO,O,O,X,O,X,X,O,O,X,X,X,X,O
TILZSOJ,O,O,X,O,X,X,O,O,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,O,O,O,X,X,X,O
TILZOSJ,X,O,X,O,X,X,O,O,X,X,X,X,X
TILOJSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TILOJZS,O,O,X,X,X,X,O,O,O,X,X,O,X
TILOSJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
TILOSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,O,O,O,X,X,X,O
TILOZSJ,X,O,X,O,X,X,O,O,X,X,X,X,X
TIJLSZO,X,X,X,X,O,O,O,X,X,X,X,O,X
TIJLSOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
TIJLZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
TIJLOSZ,X,O,X,X,X,O,X,X,O,X,X,X,X
TIJLOZS,X,O,X,X,X,X,O,O,O,X,X,O,X
TIJSLZO,X,X,X,O,O,X,X,X,X,X,X,O,X
TIJSLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,O,O,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,O,X,O,X,O,X
TIJZLOS,X,O,X,X,X,X,X,O,O,O,X,O,X
TIJZSLO,X,X,X,O,X,X,X,O,X,O,X,O,X
TIJZSOL,X,X,X,O,X,X,X,O,X,O,X,X,X
TIJZOLS,X,X,X,X,X,X,X,O,O,O,X,O,X
TIJZOSL,X,X,X,O,X,X,X,O,O,O,X,X,X
TIJOLSZ,X,O,X,X,X,O,O,X,O,X,X,X,X
TIJOLZS,X,O,X,X,X,X,O,O,O,X,X,O,X
TIJOSLZ,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJOZLS,X,X,X,X,X,X,O,O,O,O,X,O,X
TIJOZSL,X,X,X,O,X,X,O,O,O,O,X,X,X
TISLJZO,O,X,X,O,O,X,X,X,X,X,X,O,X
TISLJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,O,X,X,O,X,X,X,X,O
TISLZOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TISJLZO,O,X,X,O,O,X,X,X,X,X,X,O,X
TISJLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,O,X,X,X,X,X,X,O,X
TISJZOL,O,X,X,O,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,O,X,X,O,X,X,X,X,X
TISZLOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
TISZJLO,O,X,X,O,O,X,X,O,X,X,X,X,X
TISZJOL,O,X,X,O,O,X,X,O,X,X,X,X,X
TISZOLJ,O,X,X,O,O,X,X,O,X,X,X,X,X
TISZOJL,O,X,X,O,O,X,X,O,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TISOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TISOZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,O,X,O,X,O,O
TIZLJOS,O,O,X,X,X,X,X,O,X,O,X,O,O
TIZLSJO,O,O,X,O,X,X,X,O,X,O,X,X,O
TIZLSOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TIZLOJS,O,O,X,X,X,X,X,O,X,O,X,X,O
TIZLOSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TIZJLSO,X,O,X,X,X,X,X,O,X,O,X,O,X
TIZJLOS,X,O,X,X,X,X,X,O,X,O,X,O,X
TIZJSLO,X,O,X,O,X,X,X,O,X,O,X,O,X
TIZJSOL,X,X,X,O,X,X,X,O,X,O,O,X,X
TIZJOLS,X,O,X,X,X,X,X,O,X,O,X,O,X
TIZJOSL,X,X,X,O,X,X,X,O,X,O,O,X,X
TIZSLJO,O,O,X,O,X,X,X,O,X,O,X,X,X
TIZSLOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TIZSJLO,O,O,X,O,X,X,X,O,X,O,X,X,X
TIZSJOL,O,X,X,O,X,X,X,O,X,O,O,X,X
TIZSOLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
TIZSOJL,O,X,X,O,X,X,X,O,X,O,O,X,X
TIZOLJS,O,O,X,X,X,X,X,O,X,O,X,X,X
TIZOLSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
TIZOJLS,O,O,X,X,X,X,X,O,X,O,X,X,X
TIZOJSL,X,X,X,O,X,X,X,O,X,O,O,X,X
TIZOSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
TIZOSJL,O,X,X,O,X,X,X,O,X,O,O,X,X
TIOLJSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TIOLJZS,O,O,X,X,X,X,O,O,O,X,X,O,X
TIOLSJZ,O,O,X,O,X,O,O,X,O,X,X,X,X
TIOLSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,O,O,O,X,X,X,O
TIOLZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,O,O,X,O,X,X,X,X
TIOJLZS,O,O,X,X,X,X,O,O,O,X,X,O,X
TIOJSLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOJZLS,O,X,X,X,X,X,O,O,O,O,X,O,X
TIOJZSL,X,X,X,O,X,X,O,O,O,O,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,O,O,O,O,X,X,X
TIOZLSJ,O,X,X,O,X,X,O,O,X,O,X,X,X
TIOZJLS,O,X,X,X,X,X,O,O,O,O,X,X,X
TIOZJSL,X,X,X,O,X,X,O,O,O,O,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,O,X,O,X,X,X
TIOZSJL,O,X,X,O,X,X,O,O,X,O,X,X,X
TLIJSZO,O,X,X,X,O,O,O,X,X,X,X,O,X
TLIJSOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
TLIJZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
TLIJOSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TLIJOZS,O,O,O,X,X,X,O,O,O,X,X,O,X
TLISJZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TLISJOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TLISZJO,O,X,X,O,O,X,O,O,X,X,X,X,O
TLISZOJ,O,X,X,O,O,O,O,O,X,X,X,X,X
TLISOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLISOZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TLIZJSO,O,O,X,X,X,X,O,O,X,X,X,O,O
TLIZJOS,O,O,O,X,X,X,O,O,X,X,X,O,O
TLIZSJO,O,O,O,O,X,X,O,O,X,X,X,X,O
TLIZSOJ,O,O,O,O,X,X,O,O,X,X,X,X,X
TLIZOJS,O,O,O,X,X,X,O,O,O,X,X,X,O
TLIZOSJ,O,O,O,O,X,X,O,O,X,X,X,X,X
TLIOJSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TLIOJZS,O,O,O,X,X,X,O,O,O,X,X,O,X
TLIOSJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLIOSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,O,O,O,X,X,X,O
TLIOZSJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TLJISZO,O,X,X,X,O,O,O,X,X,X,X,O,X
TLJISOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,O,X,X,X,X,O,O
TLJIZOS,X,O,X,X,X,X,O,X,O,X,X,O,O
TLJIOSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TLJIOZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TLJSIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TLJSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TLJSZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
TLJSZOI,X,X,O,O,X,O,X,X,O,X,X,X,X
TLJSOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TLJSOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLJZISO,X,O,X,X,X,X,O,O,X,X,X,O,O
TLJZIOS,X,O,O,X,X,X,O,O,O,X,X,O,O
TLJZSIO,X,O,O,O,X,O,O,O,X,X,X,O,O
TLJZSOI,X,O,O,O,X,O,X,X,O,X,X,X,X
TLJZOIS,X,O,O,X,X,X,O,O,O,X,X,O,O
TLJZOSI,X,O,O,O,X,O,O,X,O,X,X,X,X
TLJOISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TLJOIZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TLJOSIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLJOSZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TLJOZIS,O,O,O,X,X,X,O,X,O,X,X,O,X
TLJOZSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TLSIJZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TLSIJOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,O,X,X,X,X,X,O
TLSIZOJ,O,X,X,O,O,O,O,X,X,X,X,X,X
TLSIOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLSIOZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TLSJIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TLSJIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSJZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
TLSJZOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLSJOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TLSJOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLSZIJO,O,O,O,O,X,X,O,X,X,X,X,X,O
TLSZIOJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,O,O,X,X,X,X,X,O
TLSZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLSOIZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLSOJZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TLSOZIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZIJSO,O,O,X,X,X,X,O,O,X,X,X,O,O
TLZIJOS,O,O,O,X,X,X,O,O,X,X,X,O,O
TLZISJO,O,O,O,O,X,X,O,O,X,X,X,X,O
TLZISOJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TLZIOJS,O,O,O,X,X,X,O,O,O,X,X,X,O
TLZIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TLZJISO,O,O,X,X,X,X,O,O,X,X,X,O,O
TLZJIOS,O,O,O,X,X,X,O,O,O,X,X,O,O
TLZJSIO,O,O,O,O,X,O,O,O,X,X,X,O,O
TLZJSOI,O,O,O,O,X,O,X,X,O,X,X,X,X
TLZJOIS,O,O,O,X,X,X,O,O,O,X,X,O,O
TLZJOSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TLZSIJO,O,O,O,O,X,X,O,O,X,X,X,X,O
TLZSIOJ,O,O,O,O,X,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,O,O,X,X,X,X,O
TLZSJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZSOJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZOIJS,O,O,O,X,X,X,O,O,O,X,X,X,O
TLZOISJ,O,O,O,O,X,X,O,O,X,X,O,X,X
TLZOJIS,O,O,O,X,X,X,O,O,O,X,X,X,O
TLZOJSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TLZOSIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TLOIJZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TLOISJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOISZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,O,X,O,X,X,X,O
TLOIZSJ,X,O,O,O,X,X,O,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TLOJIZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TLOJSIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOJSZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TLOJZIS,O,O,O,X,X,X,O,X,O,X,X,O,X
TLOJZSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOSIJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOSIZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOSJZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TLOSZIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOSZJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOZIJS,O,O,O,X,X,X,O,X,O,X,X,X,O
TLOZISJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,O,X,O,X,X,X,O
TLOZJSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TLOZSIJ,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOZSJI,O,O,O,O,X,O,O,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,O,O,X,X,X,X,O,X
TJILSOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
TJILZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
TJILOSZ,X,O,X,X,X,O,X,X,O,X,X,X,X
TJILOZS,X,O,X,X,X,X,O,O,O,X,X,O,X
TJISLZO,X,X,X,O,O,X,X,X,X,X,X,O,X
TJISLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,O,O,X,X,X,X,X,X,O,X
TJISZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,O,X,O,X,O,X
TJIZLOS,X,O,X,X,X,X,X,O,O,O,X,O,X
TJIZSLO,X,X,X,O,X,X,X,O,X,O,X,O,X
TJIZSOL,X,X,X,O,X,X,X,O,X,O,X,X,X
TJIZOLS,X,X,X,X,X,X,X,O,O,O,X,O,X
TJIZOSL,X,X,X,O,X,X,X,O,O,O,X,X,X
TJIOLSZ,X,O,X,X,X,O,O,X,O,X,X,X,X
TJIOLZS,X,O,X,X,X,X,O,O,O,X,X,O,X
TJIOSLZ,X,X,X,O,X,X,X,X,O,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,O,X,X,X,X
TJIOZLS,X,X,X,X,X,X,O,O,O,O,X,O,X
TJIOZSL,X,X,X,O,X,X,O,O,O,O,X,X,X
TJLISZO,O,X,X,X,O,O,O,X,X,X,X,O,X
TJLISOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,O,X,X,X,X,O,O
TJLIZOS,X,O,X,X,X,X,O,X,O,X,X,O,O
TJLIOSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TJLIOZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TJLSIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TJLSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TJLSZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
TJLSZOI,X,X,O,O,X,O,X,X,O,X,X,X,X
TJLSOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TJLSOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJLZISO,X,O,X,X,X,X,O,O,X,X,X,O,O
TJLZIOS,X,O,O,X,X,X,O,O,O,X,X,O,O
TJLZSIO,X,O,O,O,X,O,O,O,X,X,X,O,O
TJLZSOI,X,O,O,O,X,O,X,X,O,X,X,X,X
TJLZOIS,X,O,O,X,X,X,O,O,O,X,X,O,O
TJLZOSI,X,O,O,O,X,O,O,X,O,X,X,X,X
TJLOISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TJLOIZS,O,O,O,X,X,X,O,X,O,X,X,O,X
TJLOSIZ,O,O,O,O,X,O,O,X,O,X,X,X,X
TJLOSZI,O,X,O,O,X,O,O,X,O,X,X,X,X
TJLOZIS,O,O,O,X,X,X,O,X,O,X,X,O,X
TJLOZSI,O,O,O,O,X,O,O,X,O,X,X,X,X
TJSILZO,O,X,X,O,O,X,X,X,X,X,X,O,X
TJSILOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,O,O,X,X,X,X,X,X,O,X
TJSIZOL,O,X,X,O,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
TJSLIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TJSLZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
TJSLZOI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJSLOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TJSLOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,O,X,X,X,O,X
TJSZIOL,O,X,X,O,X,X,X,O,X,X,X,X,X
TJSZLIO,O,X,O,O,X,X,X,O,X,X,X,O,X
TJSZLOI,O,X,O,O,X,X,X,X,O,X,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,O,X,X,X,X
TJSZOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
