sequence,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFmbBCdB?XeBTgB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jez6IvhFWhBxcB?XeBClB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jeq/IvhFTbBxcB?XeBFmB0mBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFCdBXeB?8lBzkB1rBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeWAJvhFxcBXeB?zkBFmB0mB6qB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeC9IvhFXeBRlB?1rB8lBzkBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeU8IvhFXeBukB?5lBaqBTrBFsB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFCdBXeB?TlB0mBmlBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBzfB?SmBUmBFnBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBGgB?6mBzkB8qBFsB
TILJSZO,X,O,O,X,X,O,X,X,X,X
TILJSOZ,O,O,O,X,X,O,X,X,X,X
TILJZSO,X,O,O,X,X,O,X,X,X,X
TILJZOS,X,O,O,X,X,O,X,X,X,X
TILJOSZ,O,O,O,X,X,O,X,X,X,X
TILJOZS,O,O,O,X,X,O,X,X,X,X
TILSJZO,X,O,O,X,X,O,X,X,X,X
TILSJOZ,O,O,O,X,X,O,X,X,X,X
TILSZJO,O,O,X,O,X,O,X,X,X,X
TILSZOJ,O,O,X,O,X,O,X,O,X,X
TILSOJZ,O,O,X,X,X,O,X,X,X,X
TILSOZJ,O,O,X,O,X,O,X,X,X,X
TILZJSO,O,O,X,O,X,O,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,X,X,X
TILZSJO,O,O,X,O,X,O,X,X,X,X
TILZSOJ,O,O,X,O,X,O,X,O,X,X
TILZOJS,O,O,X,O,X,O,X,O,X,X
TILZOSJ,O,O,X,O,X,O,X,O,X,X
TILOJSZ,O,O,X,X,X,O,X,X,X,X
TILOJZS,O,O,X,X,X,O,X,X,X,X
TILOSJZ,O,O,X,X,X,O,X,X,X,X
TILOSZJ,O,O,X,O,X,O,X,X,X,X
TILOZJS,O,O,X,O,X,O,X,X,X,X
TILOZSJ,O,O,X,O,X,O,X,X,X,X
TIJLSZO,X,O,O,X,X,O,X,X,X,X
TIJLSOZ,O,O,O,X,X,O,X,X,X,X
TIJLZSO,X,O,O,X,X,O,X,X,X,X
TIJLZOS,X,O,O,X,X,O,X,X,X,X
TIJLOSZ,O,O,O,X,X,O,X,X,X,X
TIJLOZS,O,O,O,X,X,O,X,X,X,X
TIJSLZO,X,O,O,X,X,O,X,X,X,X
TIJSLOZ,O,O,O,X,X,O,X,X,X,X
TIJSZLO,X,X,O,X,X,O,X,X,X,X
TIJSZOL,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,O,X,X,O,X,X,X,X
TIJSOZL,O,X,X,X,X,O,O,X,X,X
TIJZLSO,X,X,O,X,X,O,X,X,X,X
TIJZLOS,X,X,O,X,X,O,X,X,X,X
TIJZSLO,X,X,O,X,X,O,X,X,X,X
TIJZSOL,X,X,X,X,X,O,X,X,X,X
TIJZOLS,X,X,X,X,X,O,X,X,X,X
TIJZOSL,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,O,X,O,X,X,O,X,X,X,X
TIJOLZS,O,X,O,X,X,O,X,X,X,X
TIJOSLZ,O,X,O,X,X,O,X,X,X,X
TIJOSZL,O,X,X,X,X,O,O,X,X,X
TIJOZLS,O,X,X,X,X,O,X,X,X,X
TIJOZSL,O,X,X,X,X,O,O,X,X,X
TISLJZO,X,O,O,X,X,O,X,X,X,X
TISLJOZ,O,O,O,X,X,O,X,X,X,X
TISLZJO,O,O,X,O,X,O,X,X,X,X
TISLZOJ,O,O,X,O,X,O,X,O,X,X
TISLOJZ,O,O,X,X,X,O,X,X,X,X
TISLOZJ,O,O,X,O,X,O,X,X,X,X
TISJLZO,X,O,O,X,X,O,X,X,X,X
TISJLOZ,O,O,O,X,X,O,X,X,X,X
TISJZLO,X,X,O,X,X,O,X,X,X,X
TISJZOL,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,O,X,X,O,X,X,X,X
TISJOZL,O,X,X,X,X,O,O,X,X,X
TISZLJO,O,O,X,O,X,O,X,X,X,X
TISZLOJ,O,O,X,O,X,O,X,O,X,X
TISZJLO,O,O,O,O,X,O,X,X,X,X
TISZJOL,O,O,X,X,X,O,X,X,X,X
TISZOLJ,O,O,X,O,X,O,X,O,X,X
TISZOJL,O,O,X,O,X,O,X,O,X,X
TISOLJZ,O,O,X,X,X,O,X,X,X,X
TISOLZJ,O,O,X,O,X,O,X,X,X,X
TISOJLZ,O,X,O,X,X,O,X,X,X,X
TISOJZL,O,X,X,X,O,O,O,X,X,X
TISOZLJ,O,X,X,O,O,O,X,O,X,X
TISOZJL,O,X,X,O,O,O,O,O,X,X
TIZLJSO,O,O,X,O,X,O,X,X,X,X
TIZLJOS,O,O,X,X,X,O,X,X,X,X
TIZLSJO,O,O,X,O,X,O,X,X,X,X
TIZLSOJ,O,O,X,O,X,O,X,O,X,X
TIZLOJS,O,O,X,O,X,O,X,O,X,X
