sequence,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0gBlkBXqB,v115@EhB8FeF8CeG8BeG8JeT6IvhFxbByhBGeB0kBllBXqB,v115@EhB8FeF8CeG8BeG8Jex6IvhFygBzcBGeBlkB3lB0pB,v115@EhB8FeF8CeG8BeG8JeU7IvhFahBzcBGeBxkBFqB/pB,v115@EhB8FeF8CeG8BeG8Jel7IvhFzcBGeB/kBZlB8lB6pB
TILJSZO,X,O,X,O,X
TILJSOZ,O,X,X,O,X
TILJZSO,O,O,X,O,X
TILJZOS,O,O,X,O,X
TILJOSZ,O,X,X,O,X
TILJOZS,O,O,X,O,X
TILSJZO,X,O,X,O,X
TILSJOZ,O,X,X,O,X
TILSZJO,X,O,X,O,X
TILSZOJ,X,O,X,O,X
TILSOJZ,O,X,X,O,X
TILSOZJ,X,X,X,O,X
TILZJSO,O,O,X,O,X
TILZJOS,O,O,X,O,X
TILZSJO,O,O,X,O,X
TILZSOJ,O,O,X,O,X
TILZOJS,O,O,X,O,X
TILZOSJ,O,O,X,O,X
TILOJSZ,O,X,X,O,X
TILOJZS,O,O,X,O,X
TILOSJZ,O,X,X,O,X
TILOSZJ,X,X,X,O,X
TILOZJS,O,O,X,O,X
TILOZSJ,O,O,X,O,X
TIJLSZO,X,O,X,O,X
TIJLSOZ,O,X,X,O,X
TIJLZSO,O,O,X,O,X
TIJLZOS,O,O,X,O,X
TIJLOSZ,O,X,X,O,X
TIJLOZS,O,O,X,O,X
TIJSLZO,X,X,O,O,X
TIJSLOZ,X,X,O,O,X
TIJSZLO,X,X,O,X,O
TIJSZOL,X,X,O,X,O
TIJSOLZ,X,X,O,O,X
TIJSOZL,X,X,O,X,O
TIJZLSO,O,O,X,O,O
TIJZLOS,O,O,X,O,O
TIJZSLO,O,O,X,X,O
TIJZSOL,O,O,X,X,O
TIJZOLS,O,O,X,O,O
TIJZOSL,O,X,X,X,O
TIJOLSZ,O,X,X,O,X
TIJOLZS,O,X,X,O,X
TIJOSLZ,X,X,O,O,X
TIJOSZL,X,X,O,X,O
TIJOZLS,O,X,X,O,O
TIJOZSL,O,X,X,X,O
TISLJZO,X,X,O,O,X
TISLJOZ,X,X,O,O,X
TISLZJO,X,X,O,O,X
TISLZOJ,X,X,O,O,X
TISLOJZ,X,X,O,O,X
TISLOZJ,X,X,O,O,X
TISJLZO,X,X,O,O,X
TISJLOZ,X,X,O,O,X
TISJZLO,X,X,O,X,O
TISJZOL,X,X,O,X,O
TISJOLZ,X,X,O,O,X
TISJOZL,X,X,O,X,O
TISZLJO,X,X,O,X,O
TISZLOJ,X,X,O,X,O
TISZJLO,X,X,O,X,O
TISZJOL,X,X,O,X,O
TISZOLJ,X,X,O,X,O
TISZOJL,X,X,O,X,O
TISOLJZ,X,X,O,O,X
TISOLZJ,X,X,O,O,X
TISOJLZ,X,X,O,O,X
TISOJZL,X,X,O,X,O
TISOZLJ,X,X,O,X,O
TISOZJL,X,X,O,X,O
TIZLJSO,O,O,X,O,O
TIZLJOS,O,O,X,O,O
TIZLSJO,O,O,X,O,O
TIZLSOJ,O,O,X,O,O
TIZLOJS,O,O,X,O,O
TIZLOSJ,O,O,X,O,O
TIZJLSO,O,O,X,O,O
TIZJLOS,O,O,X,O,O
TIZJSLO,O,O,X,X,O
TIZJSOL,O,O,X,X,O
TIZJOLS,O,O,X,O,O
TIZJOSL,O,X,X,X,O
TIZSLJO,O,O,X,X,O
TIZSLOJ,O,O,X,X,O
TIZSJLO,O,O,X,X,O
TIZSJOL,O,O,X,X,O
TIZSOLJ,O,O,X,X,O
TIZSOJL,O,O,X,X,O
TIZOLJS,O,O,X,O,O
TIZOLSJ,O,O,X,O,O
TIZOJLS,O,O,X,O,O
TIZOJSL,O,X,X,X,O
TIZOSLJ,O,X,X,X,O
TIZOSJL,O,X,X,X,O
TIOLJSZ,O,X,X,O,X
TIOLJZS,O,X,X,O,X
TIOLSJZ,O,X,X,O,X
TIOLSZJ,X,X,X,O,X
TIOLZJS,O,X,X,O,X
TIOLZSJ,O,X,X,O,X
TIOJLSZ,O,X,X,O,X
TIOJLZS,O,X,X,O,X
TIOJSLZ,X,X,O,O,X
TIOJSZL,X,X,O,X,O
TIOJZLS,O,X,X,O,O
TIOJZSL,O,X,X,X,O
TIOSLJZ,X,X,O,O,X
TIOSLZJ,X,X,O,O,X
TIOSJLZ,X,X,O,O,X
TIOSJZL,X,X,O,X,O
TIOSZLJ,X,X,O,X,O
TIOSZJL,X,X,O,X,O
TIOZLJS,O,X,X,O,O
TIOZLSJ,O,X,X,O,O
TIOZJLS,O,X,X,O,O
TIOZJSL,O,X,X,X,O
TIOZSLJ,O,X,X,X,O
TIOZSJL,O,X,X,X,O
TLIJSZO,O,O,X,O,X
TLIJSOZ,O,X,X,O,X
TLIJZSO,O,O,X,O,X
TLIJZOS,O,O,X,O,X
TLIJOSZ,O,X,X,O,X
TLIJOZS,O,O,X,O,X
TLISJZO,O,O,X,O,X
TLISJOZ,O,X,X,O,X
TLISZJO,O,O,X,O,X
TLISZOJ,O,O,X,O,X
TLISOJZ,O,X,X,O,X
TLISOZJ,O,X,X,O,X
TLIZJSO,O,O,X,O,X
TLIZJOS,O,O,X,O,X
TLIZSJO,O,O,X,O,X
TLIZSOJ,O,O,X,O,X
TLIZOJS,O,O,X,O,X
TLIZOSJ,O,O,X,O,X
TLIOJSZ,O,X,X,O,X
TLIOJZS,O,O,X,O,X
TLIOSJZ,O,X,X,O,X
TLIOSZJ,X,X,X,O,X
TLIOZJS,O,O,X,O,X
TLIOZSJ,O,O,X,O,X
TLJISZO,O,O,X,O,X
TLJISOZ,O,X,X,O,X
TLJIZSO,O,O,X,O,X
TLJIZOS,O,O,X,O,X
TLJIOSZ,O,X,X,O,X
TLJIOZS,O,O,X,O,X
TLJSIZO,O,O,O,O,X
TLJSIOZ,O,X,O,O,X
TLJSZIO,O,O,O,X,X
TLJSZOI,O,O,O,X,X
TLJSOIZ,O,X,O,O,X
TLJSOZI,O,X,O,X,X
TLJZISO,O,O,X,O,X
TLJZIOS,O,O,X,O,X
TLJZSIO,O,O,X,X,X
TLJZSOI,O,O,X,X,X
TLJZOIS,O,O,X,O,X
TLJZOSI,O,O,X,X,X
TLJOISZ,O,X,X,O,X
