sequence,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFRdBSjB?UgB3hBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhF6hBxdB?UgBTiBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBTeB?UgBCiBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFxcBTeB?lhBfoBmlB8rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFuhBUgB?xiB/rBisBFtB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFCdBUgB?xiBOoB/rBFsB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeWBJvhFxcBTeB?UgBymBfoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFlcBTeB?xlBmnBcnB/rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBUgB?zhBCjBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeT+IvhFFgBfoB?RmBmmBUmBCsB
TILJSZO,O,X,O,X,X,X,O,O,X,X
TILJSOZ,O,X,O,X,X,X,O,O,X,X
TILJZSO,O,X,O,X,X,X,O,O,X,X
TILJZOS,O,X,O,X,X,X,X,O,X,X
TILJOSZ,O,X,O,X,X,X,O,O,X,X
TILJOZS,O,X,O,X,X,X,X,O,X,X
TILSJZO,O,X,O,X,O,O,O,X,X,X
TILSJOZ,O,X,O,X,X,X,O,X,X,O
TILSZJO,O,X,O,X,O,O,O,X,X,X
TILSZOJ,O,X,O,X,O,O,O,X,X,X
TILSOJZ,O,X,O,X,X,X,O,X,X,O
TILSOZJ,O,X,O,X,X,O,O,X,X,X
TILZJSO,O,X,O,X,X,X,O,X,X,X
TILZJOS,O,X,O,X,X,X,O,X,X,X
TILZSJO,O,X,O,X,O,O,O,X,X,X
TILZSOJ,O,X,O,X,O,O,O,X,O,X
TILZOJS,O,X,X,X,X,O,O,X,X,X
TILZOSJ,O,X,O,X,X,X,O,X,O,X
TILOJSZ,O,X,X,X,X,X,O,O,X,X
TILOJZS,O,X,X,X,X,X,X,O,X,X
TILOSJZ,O,X,O,X,X,X,O,X,X,X
TILOSZJ,O,X,O,X,X,X,O,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X,O,X
TIJLSZO,O,O,O,X,X,X,X,O,X,X
TIJLSOZ,O,O,O,X,X,X,X,O,X,X
TIJLZSO,O,O,O,X,X,X,X,O,X,X
TIJLZOS,O,O,O,X,X,X,X,O,X,X
TIJLOSZ,O,O,O,X,X,X,X,O,X,X
TIJLOZS,O,O,O,X,X,X,X,O,X,X
TIJSLZO,O,O,O,X,X,O,X,O,X,X
TIJSLOZ,O,O,O,X,X,X,X,O,X,O
TIJSZLO,O,O,O,X,X,O,X,O,X,X
TIJSZOL,O,O,O,X,X,O,X,O,X,O
TIJSOLZ,O,O,O,X,X,X,X,O,X,O
TIJSOZL,O,O,O,X,X,X,X,O,X,O
TIJZLSO,O,O,O,X,X,X,X,O,X,X
TIJZLOS,O,O,O,X,X,X,X,O,X,X
TIJZSLO,O,O,O,X,X,O,X,O,X,X
TIJZSOL,O,O,O,X,X,O,X,O,X,X
TIJZOLS,O,O,O,X,X,X,X,O,X,X
TIJZOSL,X,O,O,X,X,X,X,O,X,X
TIJOLSZ,X,O,O,X,X,X,X,O,X,X
TIJOLZS,X,O,O,X,X,X,X,O,X,X
TIJOSLZ,X,O,O,X,X,X,X,O,X,X
TIJOSZL,X,O,O,X,X,X,X,O,X,X
TIJOZLS,X,O,O,X,X,X,X,O,X,X
TIJOZSL,X,O,O,X,X,X,X,O,X,X
TISLJZO,O,O,O,X,X,O,O,X,X,X
TISLJOZ,O,O,O,X,X,X,O,X,X,O
TISLZJO,O,X,O,X,X,O,O,X,X,X
TISLZOJ,O,X,O,X,X,O,O,X,X,X
TISLOJZ,O,O,O,X,X,X,O,X,X,O
TISLOZJ,O,O,O,X,X,O,O,X,X,X
TISJLZO,O,O,O,X,X,O,O,X,X,X
TISJLOZ,O,O,O,X,X,X,O,X,X,O
TISJZLO,O,O,O,X,X,O,X,X,X,X
TISJZOL,O,X,O,X,O,O,X,X,X,O
TISJOLZ,O,O,O,X,X,X,O,X,X,O
TISJOZL,O,O,O,X,X,X,X,X,X,O
TISZLJO,O,X,O,X,X,O,O,X,X,X
TISZLOJ,O,X,O,X,X,O,O,X,X,X
TISZJLO,O,X,O,X,X,O,O,X,X,X
TISZJOL,O,X,O,X,O,O,O,X,X,O
TISZOLJ,O,X,O,X,X,O,O,X,X,X
TISZOJL,O,X,O,X,O,O,O,X,X,O
TISOLJZ,O,O,O,X,X,X,O,X,X,O
TISOLZJ,O,O,O,X,X,O,O,X,X,X
TISOJLZ,O,O,O,X,X,X,O,X,X,O
TISOJZL,O,O,O,X,X,X,X,X,X,O
TISOZLJ,O,O,O,X,X,O,O,X,X,X
TISOZJL,O,X,O,X,X,O,O,X,X,O
TIZLJSO,O,X,O,X,X,X,O,X,X,X
TIZLJOS,O,X,O,X,X,X,O,X,X,X
TIZLSJO,O,X,O,X,O,O,O,X,X,X
TIZLSOJ,O,X,O,X,O,O,O,X,O,X
TIZLOJS,O,X,X,X,X,O,O,X,X,X
TIZLOSJ,O,X,O,X,X,X,O,X,O,X
TIZJLSO,O,O,O,X,X,X,O,X,X,X
TIZJLOS,O,O,O,X,X,X,O,X,X,X
TIZJSLO,O,O,O,X,X,O,O,X,X,X
TIZJSOL,O,O,O,X,X,O,O,X,X,X
TIZJOLS,O,O,O,X,X,X,O,X,X,X
TIZJOSL,X,O,O,X,X,X,O,X,X,X
TIZSLJO,O,O,O,X,X,O,O,X,X,X
TIZSLOJ,O,O,O,X,X,O,O,X,O,X
