sequence,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFaiBfjB9mB5?oBcsBOtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFRdBcjB3hBq?nBdsB+tB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhFmcBzdB5jBt?mBcsBKtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhFxcB6jBtmBm?iBcsBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFdiBzdB/mBc?sBOtB5oB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFThBxiBXjBd?sB+tB0sB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhF6hBTdB8nB5?oBdsBOtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFxdBThB0iBd?sB+tBXtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeC8IvhFxdBThBXjBd?sB+tB0sB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG8IvhFTdBKjBUhBd?sBftB5oB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG9IvhFTeBRhBUhBd?sBftB6tB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhF0cBGjBRnBd?sBCoBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF+hB/iBajB5?jBdsBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFUdBGeBxmB6?tBfsBdtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFRdBSjB3hBd?sBGoBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhF0cBSjBziB+?tBRsBdsB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeT+IvhFRhBfoBUhBN?sB+tBCsB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhFSiBejB5jB3?hBdsBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LefBJvhFxcBTeBtmB0?iB+tBisB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF9mBxiB3nBc?tBasBGtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG9IvhFRhBXjBUhBd?sBStBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeG9IvhFRhBTjBUhBd?sBftB6tB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF+jB9mB3iBx?sBasBUtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF9mB3iBxsBc?tBasBGtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8LeRBJvhFGjBUhBXjBN?sBCnBTtB,v115@zgC8GeC8GeD8FeE8EeF8AeA8Lez7IvhF8iB3hBNsBO?tB5oBCsB
TILJSZO,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
TILJZSO,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TILSZJO,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILSZOJ,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TILSOZJ,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TILZSOJ,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TILZOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TILOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILOSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
