sequence,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBXiBFo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBFnBXo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBWiBxdBUnBFo?BXtB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBuhB3dBxnBls?BctB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBFdBfnB5nBco?BOtB
TILJSZO,O,O,X,O,X
TILJSOZ,O,O,X,O,X
TILJZSO,X,O,X,O,X
TILJZOS,O,X,X,O,X
TILJOSZ,O,O,X,O,X
TILJOZS,O,X,X,O,X
TILSJZO,O,O,X,O,O
TILSJOZ,O,O,X,O,O
TILSZJO,O,O,X,X,O
TILSZOJ,O,O,X,X,O
TILSOJZ,O,O,X,O,O
TILSOZJ,O,X,X,X,O
TILZJSO,X,X,O,O,X
TILZJOS,X,X,O,O,X
TILZSJO,X,X,O,X,O
TILZSOJ,X,X,O,X,O
TILZOJS,X,X,O,O,X
TILZOSJ,X,X,O,X,O
TILOJSZ,O,X,X,O,X
TILOJZS,O,X,X,O,X
TILOSJZ,O,X,X,O,O
TILOSZJ,O,X,X,X,O
TILOZJS,X,X,O,O,X
TILOZSJ,X,X,O,X,O
TIJLSZO,O,O,X,O,X
TIJLSOZ,O,O,X,O,X
TIJLZSO,X,O,X,O,X
TIJLZOS,O,X,X,O,X
TIJLOSZ,O,O,X,O,X
TIJLOZS,O,X,X,O,X
TIJSLZO,O,O,X,O,X
TIJSLOZ,O,O,X,O,X
TIJSZLO,O,O,X,O,X
TIJSZOL,O,O,X,O,X
TIJSOLZ,O,O,X,O,X
TIJSOZL,O,O,X,O,X
TIJZLSO,X,O,X,O,X
TIJZLOS,O,X,X,O,X
TIJZSLO,X,O,X,O,X
TIJZSOL,X,O,X,O,X
TIJZOLS,O,X,X,O,X
TIJZOSL,X,X,X,O,X
TIJOLSZ,O,O,X,O,X
TIJOLZS,O,X,X,O,X
TIJOSLZ,O,O,X,O,X
TIJOSZL,O,O,X,O,X
TIJOZLS,O,X,X,O,X
TIJOZSL,X,X,X,O,X
TISLJZO,O,O,X,O,O
TISLJOZ,O,O,X,O,O
TISLZJO,O,O,X,X,O
TISLZOJ,O,O,X,X,O
TISLOJZ,O,O,X,O,O
TISLOZJ,O,X,X,X,O
TISJLZO,O,O,X,O,O
TISJLOZ,O,O,X,O,O
TISJZLO,O,O,X,O,O
TISJZOL,O,O,X,O,O
TISJOLZ,O,O,X,O,O
TISJOZL,O,O,X,O,O
