sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TILJSZO,X,X,O,X,O
TILJSOZ,X,O,O,X,X
TILJZSO,X,X,O,O,O
TILJZOS,X,O,O,X,O
TILJOSZ,X,O,O,X,O
TILJOZS,X,O,O,X,O
TILSJZO,X,X,O,X,X
TILSJOZ,X,O,O,X,X
TILSZJO,X,X,O,O,X
TILSZOJ,X,X,O,O,X
TILSOJZ,X,O,O,X,X
TILSOZJ,X,O,O,O,X
TILZJSO,X,X,O,O,O
TILZJOS,X,O,O,X,O
TILZSJO,X,X,O,O,O
TILZSOJ,X,X,O,O,O
TILZOJS,X,O,O,X,O
TILZOSJ,X,O,O,X,O
TILOJSZ,X,O,O,X,O
TILOJZS,X,O,O,X,O
TILOSJZ,X,O,O,X,O
TILOSZJ,X,O,O,X,O
TILOZJS,X,O,O,X,O
TILOZSJ,X,O,O,X,O
TIJLSZO,X,X,O,X,O
TIJLSOZ,X,O,O,X,X
TIJLZSO,X,X,O,O,O
TIJLZOS,X,O,O,X,O
TIJLOSZ,X,O,O,X,O
TIJLOZS,X,O,O,X,O
TIJSLZO,X,X,O,X,O
TIJSLOZ,X,O,O,X,X
TIJSZLO,X,X,O,X,O
TIJSZOL,X,X,X,X,O
TIJSOLZ,X,O,X,X,X
TIJSOZL,X,O,X,X,X
TIJZLSO,X,X,O,O,O
TIJZLOS,X,O,O,X,O
TIJZSLO,X,X,O,O,O
TIJZSOL,X,X,X,O,O
TIJZOLS,X,O,O,X,O
TIJZOSL,X,O,X,X,O
TIJOLSZ,X,O,O,X,O
TIJOLZS,X,O,O,X,O
TIJOSLZ,X,O,X,X,O
TIJOSZL,X,O,X,X,O
TIJOZLS,X,O,O,X,O
TIJOZSL,X,O,X,X,O
TISLJZO,X,X,O,X,X
TISLJOZ,X,O,O,X,X
TISLZJO,X,X,O,O,X
TISLZOJ,X,X,O,O,X
TISLOJZ,X,O,O,X,X
TISLOZJ,X,O,O,O,X
TISJLZO,X,X,O,X,X
TISJLOZ,X,O,O,X,X
TISJZLO,X,X,O,X,X
TISJZOL,X,X,X,X,X
TISJOLZ,X,O,X,X,X
TISJOZL,X,O,X,X,X
TISZLJO,X,X,O,O,X
TISZLOJ,X,X,O,O,X
TISZJLO,X,X,O,O,X
TISZJOL,X,X,X,O,X
TISZOLJ,X,X,X,O,X
TISZOJL,X,X,X,O,X
TISOLJZ,X,O,X,X,X
TISOLZJ,X,O,X,O,X
TISOJLZ,X,O,X,X,X
TISOJZL,X,O,X,X,X
TISOZLJ,X,O,X,O,X
TISOZJL,X,O,X,O,X
TIZLJSO,X,X,O,O,O
TIZLJOS,X,O,O,X,O
TIZLSJO,X,X,O,O,O
TIZLSOJ,X,X,O,O,O
TIZLOJS,X,O,O,X,O
TIZLOSJ,X,O,O,X,O
TIZJLSO,X,X,O,O,O
TIZJLOS,X,O,O,X,O
TIZJSLO,X,X,O,O,O
TIZJSOL,X,X,X,O,O
TIZJOLS,X,O,O,X,O
