sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBTdBChBX?jBlmBOtB
TILJSZO,O,X,X,O,O
TILJSOZ,O,X,X,O,O
TILJZSO,O,X,X,O,O
TILJZOS,O,X,X,O,O
TILJOSZ,O,X,X,O,O
TILJOZS,O,X,X,O,O
TILSJZO,O,X,X,O,O
TILSJOZ,O,X,X,O,O
TILSZJO,O,X,X,O,O
TILSZOJ,O,X,X,O,O
TILSOJZ,O,X,X,O,O
TILSOZJ,O,X,X,O,O
TILZJSO,O,X,X,O,O
TILZJOS,O,X,X,O,O
TILZSJO,O,X,X,O,O
TILZSOJ,O,X,X,O,O
TILZOJS,O,X,X,O,O
TILZOSJ,O,X,X,O,O
TILOJSZ,O,X,X,O,O
TILOJZS,O,X,X,O,O
TILOSJZ,O,X,X,O,O
TILOSZJ,O,X,X,O,O
TILOZJS,O,X,X,O,O
TILOZSJ,O,X,X,O,O
TIJLSZO,O,O,X,O,X
TIJLSOZ,O,O,X,O,X
TIJLZSO,O,O,X,O,X
TIJLZOS,O,O,X,O,X
TIJLOSZ,O,O,X,O,X
TIJLOZS,O,O,X,O,X
TIJSLZO,O,O,X,O,X
TIJSLOZ,O,O,X,O,X
TIJSZLO,O,O,X,O,X
TIJSZOL,O,O,X,O,X
TIJSOLZ,O,O,X,O,X
TIJSOZL,O,O,X,O,X
TIJZLSO,O,O,X,O,X
TIJZLOS,O,O,X,O,X
TIJZSLO,O,O,X,O,X
TIJZSOL,O,O,X,O,X
TIJZOLS,O,O,X,O,X
TIJZOSL,O,O,X,O,X
TIJOLSZ,O,O,X,O,X
TIJOLZS,O,O,X,O,X
TIJOSLZ,O,O,X,O,X
TIJOSZL,O,O,X,O,X
TIJOZLS,O,O,X,O,X
TIJOZSL,O,O,X,O,X
TISLJZO,O,X,X,O,O
TISLJOZ,O,X,X,O,O
TISLZJO,O,X,X,O,O
TISLZOJ,O,X,X,O,O
TISLOJZ,O,X,X,O,O
TISLOZJ,O,X,X,O,O
TISJLZO,O,O,X,O,X
TISJLOZ,O,O,X,O,X
TISJZLO,O,O,X,O,X
TISJZOL,O,O,X,O,X
TISJOLZ,O,O,X,O,X
TISJOZL,O,O,X,O,X
TISZLJO,O,X,X,O,O
TISZLOJ,O,X,X,O,O
TISZJLO,O,O,X,O,O
TISZJOL,O,O,X,O,X
TISZOLJ,O,X,O,O,O
TISZOJL,O,O,X,O,X
TISOLJZ,O,X,X,O,O
TISOLZJ,O,X,X,O,O
TISOJLZ,O,O,X,O,X
TISOJZL,O,O,X,O,X
TISOZLJ,O,X,O,O,O
TISOZJL,O,O,X,O,X
TIZLJSO,O,X,X,O,O
TIZLJOS,O,X,X,O,O
TIZLSJO,O,X,X,O,O
TIZLSOJ,O,X,X,O,O
