sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB
TILJSZO,X,X,X,X
TILJSOZ,X,X,X,X
TILJZSO,X,X,X,X
TILJZOS,X,X,X,X
TILJOSZ,X,X,X,X
TILJOZS,X,X,X,X
TILSJZO,O,X,X,X
TILSJOZ,O,X,X,X
TILSZJO,O,X,X,X
TILSZOJ,O,X,X,X
TILSOJZ,O,X,X,X
TILSOZJ,O,X,X,X
TILZJSO,X,X,X,X
TILZJOS,X,X,X,X
TILZSJO,O,X,X,X
TILZSOJ,O,X,X,X
TILZOJS,X,X,X,X
TILZOSJ,O,X,X,X
TILOJSZ,X,X,X,X
TILOJZS,X,X,X,X
TILOSJZ,O,X,X,X
TILOSZJ,O,X,X,X
TILOZJS,X,X,X,X
TILOZSJ,O,X,X,X
TIJLSZO,X,X,X,X
TIJLSOZ,X,X,X,X
TIJLZSO,X,X,X,X
TIJLZOS,X,X,X,X
TIJLOSZ,X,X,X,X
TIJLOZS,X,X,X,X
TIJSLZO,X,X,X,X
TIJSLOZ,X,X,X,X
TIJSZLO,X,X,X,X
TIJSZOL,X,X,X,X
TIJSOLZ,X,X,X,X
TIJSOZL,X,X,X,X
TIJZLSO,X,X,X,X
TIJZLOS,X,X,X,X
TIJZSLO,X,X,X,X
TIJZSOL,X,X,X,X
TIJZOLS,X,X,X,X
TIJZOSL,X,X,X,X
TIJOLSZ,X,X,X,X
TIJOLZS,X,X,X,X
TIJOSLZ,X,X,X,X
TIJOSZL,X,X,X,X
TIJOZLS,X,X,X,X
TIJOZSL,X,X,X,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,X,X
TISLZJO,O,X,X,X
TISLZOJ,O,X,X,X
TISLOJZ,O,X,X,X
TISLOZJ,O,X,X,X
TISJLZO,O,X,X,X
TISJLOZ,O,X,X,X
TISJZLO,O,X,X,X
TISJZOL,O,X,X,X
TISJOLZ,O,X,X,X
TISJOZL,O,X,X,X
TISZLJO,O,X,X,X
TISZLOJ,O,X,X,X
TISZJLO,O,X,X,X
TISZJOL,O,X,X,X
TISZOLJ,O,X,X,X
TISZOJL,O,X,X,X
TISOLJZ,O,X,X,X
TISOLZJ,O,X,X,X
TISOJLZ,O,X,X,X
TISOJZL,O,X,X,X
TISOZLJ,O,X,X,X
TISOZJL,O,X,X,X
TIZLJSO,X,X,X,X
TIZLJOS,X,X,X,X
TIZLSJO,O,X,X,X
TIZLSOJ,O,X,X,X
TIZLOJS,X,X,X,X
TIZLOSJ,O,X,X,X
TIZJLSO,X,X,X,X
TIZJLOS,X,X,X,X
TIZJSLO,X,X,X,X
TIZJSOL,X,X,X,X
TIZJOLS,X,X,X,X
TIZJOSL,X,X,X,X
TIZSLJO,O,X,X,X
TIZSLOJ,O,X,X,X
TIZSJLO,O,X,X,X
TIZSJOL,O,X,X,X
TIZSOLJ,O,X,X,X
TIZSOJL,O,X,X,X
TIZOLJS,X,X,X,X
TIZOLSJ,O,X,X,X
TIZOJLS,X,X,X,X
TIZOJSL,X,X,X,X
TIZOSLJ,O,X,X,X
TIZOSJL,O,X,X,X
TIOLJSZ,X,X,X,X
TIOLJZS,X,X,X,X
