sequence,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFTdBejB?5jBVsBXrB0rB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFldB5jB?mhB8nBzrBXrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB0iB?6oBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhFmdB5jB?0iBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFUdBGeB?1mB/oBSsBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jei9IvhF5jBziB?lmBXsBuqBcrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JefBJvhFSiBTeB?UnBGoBlmBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB6oB?0mBlnBzqBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBUhB?/oBTnBSwBFsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFldB5jB?8nBmmBSwBfsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeU9IvhFajB5jB?FhBWsBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR9IvhFSjBFhB?8mBGoBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeaDJvhF5jBFhB?XiBcsBurBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhF/iBTjB?UhBVsBGoBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBFiB?/oB6rBcsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhF0mBxnB?6oBlnBzqBXsB
TILJSZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TILSZOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILZJSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TILZJOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILZSJO,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILZSOJ,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILZOJS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
TILOZJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TISLZOJ,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TISLOJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TISJLZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISZJOL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TISZOJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIZLJOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZLSJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TIZLOJS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZLOSJ,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TIZJLSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIZJLOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZJSLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZJSOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZSLOJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TIZSJLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZSJOL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIZSOJL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
