sequence,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBlnBctBCtB,v115@ShB8AeC8DeF8BeA8JeZEJvhFzfBulB3hBFjB6sBctB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBTjBOpBllBXtB,v115@ShB8AeC8DeF8BeA8Jex/IvhF0hB6nBOpBllBToBXtB
TILJSZO,X,O,X,X
TILJSOZ,X,O,X,X
TILJZSO,X,O,X,X
TILJZOS,X,O,X,X
TILJOSZ,X,O,X,X
TILJOZS,X,O,X,X
TILSJZO,X,O,O,X
TILSJOZ,X,O,O,X
TILSZJO,X,O,O,X
TILSZOJ,X,O,O,X
TILSOJZ,X,O,O,X
TILSOZJ,X,O,O,X
TILZJSO,X,O,O,X
TILZJOS,X,O,X,X
TILZSJO,X,O,O,X
TILZSOJ,X,O,O,X
TILZOJS,X,O,X,X
TILZOSJ,X,O,O,X
TILOJSZ,X,O,X,X
TILOJZS,X,O,X,X
TILOSJZ,X,O,X,X
TILOSZJ,X,O,X,X
TILOZJS,X,O,X,X
TILOZSJ,X,O,X,X
TIJLSZO,X,O,O,X
TIJLSOZ,X,O,O,X
TIJLZSO,X,O,O,O
TIJLZOS,X,O,O,O
TIJLOSZ,X,O,X,X
TIJLOZS,X,O,X,O
TIJSLZO,X,O,O,X
TIJSLOZ,X,O,O,X
TIJSZLO,O,O,O,O
TIJSZOL,O,O,O,O
TIJSOLZ,X,O,O,X
TIJSOZL,O,O,O,O
TIJZLSO,O,O,O,O
TIJZLOS,O,O,O,O
TIJZSLO,O,O,O,O
TIJZSOL,O,O,O,O
TIJZOLS,O,O,O,O
TIJZOSL,O,O,O,O
TIJOLSZ,X,O,X,X
TIJOLZS,X,O,X,O
TIJOSLZ,X,O,O,X
TIJOSZL,O,O,O,O
TIJOZLS,O,O,O,O
TIJOZSL,O,O,O,O
TISLJZO,X,O,O,X
TISLJOZ,X,O,O,X
TISLZJO,X,O,O,X
TISLZOJ,X,O,O,X
TISLOJZ,X,O,O,X
TISLOZJ,X,O,O,X
TISJLZO,X,O,O,X
TISJLOZ,X,O,O,X
TISJZLO,O,O,O,X
TISJZOL,O,O,O,X
TISJOLZ,X,O,O,X
TISJOZL,O,O,O,X
TISZLJO,O,O,O,X
TISZLOJ,O,O,O,X
TISZJLO,O,O,O,X
TISZJOL,O,O,O,X
TISZOLJ,O,O,O,X
TISZOJL,O,O,O,X
TISOLJZ,X,O,O,X
TISOLZJ,X,O,O,X
TISOJLZ,X,O,O,X
TISOJZL,O,O,O,X
TISOZLJ,O,O,O,X
TISOZJL,O,O,O,X
TIZLJSO,O,O,O,O
TIZLJOS,O,O,O,O
TIZLSJO,O,O,O,X
TIZLSOJ,O,O,O,X
TIZLOJS,O,O,X,O
TIZLOSJ,O,O,O,X
TIZJLSO,O,O,O,O
TIZJLOS,O,O,O,O
TIZJSLO,O,O,O,O
TIZJSOL,O,O,O,O
TIZJOLS,O,O,O,O
TIZJOSL,O,O,O,O
TIZSLJO,O,O,O,X
TIZSLOJ,O,O,O,X
TIZSJLO,O,O,O,X
TIZSJOL,O,O,O,X
TIZSOLJ,O,O,O,X
TIZSOJL,O,O,O,X
TIZOLJS,O,O,X,O
TIZOLSJ,O,O,O,X
TIZOJLS,O,O,X,O
TIZOJSL,O,O,X,O
TIZOSLJ,O,O,O,X
TIZOSJL,O,O,O,X
TIOLJSZ,X,O,X,X
TIOLJZS,X,O,X,X
TIOLSJZ,X,O,X,X
TIOLSZJ,X,O,X,X
TIOLZJS,X,O,X,X
TIOLZSJ,X,O,X,X
TIOJLSZ,X,O,X,X
TIOJLZS,X,O,X,O
TIOJSLZ,X,O,X,X
TIOJSZL,O,O,X,O
TIOJZLS,O,O,X,O
TIOJZSL,O,O,X,O
TIOSLJZ,X,O,O,X
TIOSLZJ,X,O,O,X
TIOSJLZ,X,O,O,X
TIOSJZL,O,O,O,X
TIOSZLJ,O,O,O,X
TIOSZJL,O,O,O,X
TIOZLJS,O,O,X,O
TIOZLSJ,O,O,O,X
TIOZJLS,O,O,X,O
TIOZJSL,O,O,X,O
TIOZSLJ,O,O,O,X
TIOZSJL,O,O,O,X
TLIJSZO,X,O,X,X
TLIJSOZ,X,O,X,X
TLIJZSO,X,O,X,X
TLIJZOS,X,O,X,X
TLIJOSZ,X,O,X,X
TLIJOZS,X,O,X,X
TLISJZO,X,O,O,X
TLISJOZ,X,O,O,X
TLISZJO,X,O,O,X
TLISZOJ,X,O,O,X
TLISOJZ,X,O,O,X
TLISOZJ,X,O,O,X
TLIZJSO,X,O,O,X
TLIZJOS,X,O,X,X
TLIZSJO,X,O,O,X
TLIZSOJ,X,O,O,X
TLIZOJS,X,O,X,X
TLIZOSJ,X,O,O,X
TLIOJSZ,X,O,X,X
TLIOJZS,X,O,X,X
TLIOSJZ,X,O,X,X
TLIOSZJ,X,O,X,X
TLIOZJS,X,O,X,X
TLIOZSJ,X,O,X,X
TLJISZO,X,O,O,X
TLJISOZ,X,O,O,X
TLJIZSO,X,O,O,O
TLJIZOS,X,O,O,O
TLJIOSZ,X,O,X,X
TLJIOZS,X,O,X,O
TLJSIZO,X,O,O,X
TLJSIOZ,X,O,O,X
TLJSZIO,X,O,O,X
TLJSZOI,X,O,O,X
TLJSOIZ,X,O,O,X
TLJSOZI,X,O,O,X
TLJZISO,X,O,O,O
TLJZIOS,X,O,O,O
TLJZSIO,X,O,O,O
TLJZSOI,X,O,O,O
TLJZOIS,X,O,O,O
TLJZOSI,X,O,O,O
TLJOISZ,X,O,X,X
TLJOIZS,X,O,X,O
TLJOSIZ,X,O,X,X
TLJOSZI,X,O,X,X
TLJOZIS,X,O,X,O
TLJOZSI,X,O,X,O
TLSIJZO,X,O,O,X
TLSIJOZ,X,O,O,X
TLSIZJO,X,O,O,X
TLSIZOJ,X,O,O,X
TLSIOJZ,X,O,O,X
TLSIOZJ,X,O,O,X
TLSJIZO,X,O,O,X
TLSJIOZ,X,O,O,X
TLSJZIO,X,O,O,X
TLSJZOI,X,O,O,X
TLSJOIZ,X,O,O,X
TLSJOZI,X,O,O,X
TLSZIJO,X,O,O,X
TLSZIOJ,X,O,O,X
TLSZJIO,X,O,O,X
TLSZJOI,X,O,O,X
TLSZOIJ,X,O,O,X
TLSZOJI,X,O,O,X
TLSOIJZ,X,O,O,X
TLSOIZJ,X,O,O,X
TLSOJIZ,X,O,O,X
TLSOJZI,X,O,O,X
TLSOZIJ,X,O,O,X
TLSOZJI,X,O,O,X
TLZIJSO,X,O,O,O
TLZIJOS,X,O,O,O
TLZISJO,X,O,O,X
TLZISOJ,X,O,O,X
TLZIOJS,X,O,X,O
TLZIOSJ,X,O,O,X
TLZJISO,X,O,O,O
TLZJIOS,X,O,O,O
TLZJSIO,X,O,O,O
TLZJSOI,X,O,O,O
TLZJOIS,X,O,O,O
TLZJOSI,X,O,O,O
TLZSIJO,X,O,O,X
TLZSIOJ,X,O,O,X
TLZSJIO,X,O,O,O
TLZSJOI,X,O,O,O
TLZSOIJ,X,O,O,X
TLZSOJI,X,O,O,O
TLZOIJS,X,O,X,O
TLZOISJ,X,O,O,X
TLZOJIS,X,O,O,O
TLZOJSI,X,O,O,O
TLZOSIJ,X,O,O,X
TLZOSJI,X,O,O,O
TLOIJSZ,X,O,X,X
TLOIJZS,X,O,X,X
TLOISJZ,X,O,X,X
TLOISZJ,X,O,X,X
TLOIZJS,X,O,X,X
TLOIZSJ,X,O,X,X
TLOJISZ,X,O,X,X
TLOJIZS,X,O,X,O
TLOJSIZ,X,O,X,X
TLOJSZI,X,O,X,X
TLOJZIS,X,O,X,O
TLOJZSI,X,O,X,O
TLOSIJZ,X,O,X,X
TLOSIZJ,X,O,X,X
TLOSJIZ,X,O,X,X
TLOSJZI,X,O,X,X
TLOSZIJ,X,O,X,X
TLOSZJI,X,O,X,X
TLOZIJS,X,O,X,O
TLOZISJ,X,O,X,X
TLOZJIS,X,O,X,O
TLOZJSI,X,O,X,O
TLOZSIJ,X,O,X,X
TLOZSJI,X,O,X,O
TJILSZO,X,O,O,X
TJILSOZ,X,O,O,X
