sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TILJSZO,O,O,O,X,X,X,X
TILJSOZ,O,X,O,X,X,X,X
TILJZSO,O,O,O,X,O,O,X
TILJZOS,O,O,O,X,X,X,O
TILJOSZ,X,O,O,X,X,X,X
TILJOZS,O,O,O,X,X,X,X
TILSJZO,O,O,O,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,O,X,O,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X
TILZJSO,O,O,O,X,O,O,X
TILZJOS,O,O,O,X,X,X,O
TILZSJO,O,O,O,X,O,O,X
TILZSOJ,O,O,O,X,O,O,X
TILZOJS,O,O,O,X,X,X,O
TILZOSJ,O,O,O,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X
TILOJZS,O,O,O,X,X,X,X
TILOSJZ,X,O,O,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X
TILOZJS,O,O,O,X,X,X,X
TILOZSJ,O,O,O,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,X
TIJLZSO,O,O,O,X,O,O,X
TIJLZOS,O,O,O,X,X,X,O
TIJLOSZ,X,O,O,X,X,X,X
TIJLOZS,O,O,O,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X
TIJSZLO,O,O,X,X,O,O,X
TIJSZOL,O,O,X,X,O,O,O
TIJSOLZ,O,O,X,X,X,X,X
TIJSOZL,O,O,X,O,O,X,X
TIJZLSO,O,O,O,X,O,O,X
TIJZLOS,X,O,O,X,X,X,O
TIJZSLO,O,O,O,X,O,O,X
TIJZSOL,O,O,O,X,O,O,O
TIJZOLS,X,O,O,O,X,X,O
TIJZOSL,O,O,O,O,O,O,O
TIJOLSZ,X,O,X,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X
TIJOSLZ,X,O,X,X,X,X,X
TIJOSZL,X,O,O,O,X,X,X
TIJOZLS,X,O,O,O,X,X,O
TIJOZSL,X,O,O,O,O,O,O
TISLJZO,O,O,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X
TISJZLO,O,O,X,X,O,O,X
TISJZOL,O,O,X,X,O,O,O
TISJOLZ,O,O,X,X,X,X,X
TISJOZL,O,O,X,O,O,X,X
TISZLJO,O,O,X,X,O,O,X
TISZLOJ,O,O,X,X,O,O,X
TISZJLO,O,O,X,X,O,O,X
TISZJOL,O,O,X,X,O,O,O
TISZOLJ,O,O,X,X,O,O,X
TISZOJL,O,O,X,X,O,O,O
