sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
TILJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TILSZOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TILZSJO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TILZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIJSLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
