sequence,v115@EhD8EeE8DeF8BeG8Jem6IvhFFcBxdB0fBqlB3hBzpB,v115@EhD8EeE8DeF8BeG8JeT6IvhF/gB1hBUhBxiBupBiqB,v115@EhD8EeE8DeF8BeG8JeT6IvhF0cBxdBigBWqBFmBXqB,v115@EhD8EeE8DeF8BeG8Je//IvhFUbBxdBlhBmlBCmBzpB,v115@EhD8EeE8DeF8BeG8Jem6IvhFxdB0fBfmBlhBCmBzpB,v115@EhD8EeE8DeF8BeG8Jey/IvhFxdBulB3hB0fBFmBzpB
TILJSZO,X,O,O,O,X,O
TILJSOZ,X,O,O,X,X,X
TILJZSO,O,O,O,X,X,X
TILJZOS,O,O,O,X,X,X
TILJOSZ,X,O,O,X,X,X
TILJOZS,O,O,O,X,X,X
TILSJZO,O,O,X,O,X,O
TILSJOZ,O,O,X,X,X,X
TILSZJO,O,X,X,O,O,X
TILSZOJ,O,O,X,X,X,X
TILSOJZ,O,O,X,X,X,X
TILSOZJ,O,O,X,X,O,X
TILZJSO,O,O,X,X,X,X
TILZJOS,O,O,O,X,X,X
TILZSJO,O,X,X,X,O,X
TILZSOJ,O,O,X,X,X,X
TILZOJS,O,X,O,X,X,X
TILZOSJ,O,O,X,X,X,X
TILOJSZ,X,O,O,O,X,O
TILOJZS,O,O,O,X,X,X
TILOSJZ,O,O,X,O,X,O
TILOSZJ,O,O,X,O,O,X
TILOZJS,O,X,O,X,X,X
TILOZSJ,O,O,X,X,X,X
TIJLSZO,X,O,O,O,X,O
TIJLSOZ,X,O,O,X,X,X
TIJLZSO,X,O,O,X,X,X
TIJLZOS,X,O,O,X,X,X
TIJLOSZ,X,O,O,X,X,X
TIJLOZS,X,O,O,X,X,X
TIJSLZO,X,O,O,O,X,O
TIJSLOZ,X,O,O,X,X,X
TIJSZLO,X,X,X,O,O,X
TIJSZOL,X,O,O,O,O,X
TIJSOLZ,X,O,O,X,X,O
TIJSOZL,X,O,O,O,O,X
TIJZLSO,X,O,O,X,X,X
TIJZLOS,X,O,O,X,X,X
TIJZSLO,X,X,X,O,O,X
TIJZSOL,X,O,O,O,O,X
TIJZOLS,X,O,O,X,X,X
TIJZOSL,X,O,O,X,X,X
TIJOLSZ,X,O,O,O,X,O
TIJOLZS,X,O,O,X,X,X
TIJOSLZ,X,O,O,O,X,O
TIJOSZL,X,O,O,O,O,X
TIJOZLS,X,O,O,X,X,X
TIJOZSL,X,O,O,O,X,X
TISLJZO,O,O,X,O,X,O
TISLJOZ,O,O,X,X,X,X
TISLZJO,O,X,X,O,O,X
TISLZOJ,O,O,X,X,X,X
TISLOJZ,O,O,X,X,X,X
TISLOZJ,O,O,X,X,O,X
TISJLZO,O,O,O,O,X,O
TISJLOZ,O,O,O,X,X,X
TISJZLO,X,X,X,O,O,X
TISJZOL,X,O,O,O,O,X
TISJOLZ,O,O,O,X,X,O
TISJOZL,X,O,O,O,O,X
TISZLJO,O,X,X,O,O,X
TISZLOJ,O,X,X,X,X,X
TISZJLO,X,X,X,O,O,X
TISZJOL,X,X,O,O,O,X
TISZOLJ,O,X,X,X,O,X
TISZOJL,X,X,O,O,O,X
TISOLJZ,O,O,X,O,X,O
TISOLZJ,O,O,X,O,O,X
TISOJLZ,O,O,O,O,X,O
TISOJZL,X,O,O,O,O,X
TISOZLJ,O,X,X,O,O,X
TISOZJL,X,X,O,O,O,X
TIZLJSO,O,O,X,X,X,X
TIZLJOS,O,O,O,X,X,X
TIZLSJO,O,X,X,X,O,X
TIZLSOJ,O,O,X,X,X,X
TIZLOJS,O,X,O,X,X,X
TIZLOSJ,X,O,X,X,X,X
TIZJLSO,O,O,O,X,X,X
TIZJLOS,O,O,O,X,X,X
TIZJSLO,X,X,X,O,O,X
TIZJSOL,X,O,O,O,O,X
TIZJOLS,X,O,O,X,X,X
TIZJOSL,X,O,O,X,X,X
TIZSLJO,O,X,X,O,O,X
TIZSLOJ,O,X,X,X,X,X
TIZSJLO,X,X,X,O,O,X
TIZSJOL,X,X,O,O,O,X
TIZSOLJ,X,X,X,X,O,X
TIZSOJL,X,X,O,O,O,X
TIZOLJS,X,X,O,X,X,X
