sequence,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBUdBGeBC?gBllBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhFTcB/iBGeBC?gBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jel6IvhFRcBGeBXgB8?lBCnBTsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Jex6IvhF/hBGeBCgBT?iBllBUsB,v115@9gA8GeA8AeA8GeE8AeL8BeB8Je6/IvhF0bBlcBGeB/?lBxrBTsB
TILJSZO,O,O,O,X,O
TILJSOZ,O,O,X,X,O
TILJZSO,O,O,O,X,O
TILJZOS,O,O,O,X,X
TILJOSZ,O,X,X,O,O
TILJOZS,O,O,O,O,X
TILSJZO,O,O,O,X,O
TILSJOZ,O,O,X,X,O
TILSZJO,O,O,O,X,O
TILSZOJ,O,O,O,X,O
TILSOJZ,O,O,X,X,O
TILSOZJ,O,O,X,X,O
TILZJSO,O,O,O,X,O
TILZJOS,O,O,O,X,X
TILZSJO,O,O,O,X,O
TILZSOJ,O,O,X,X,O
TILZOJS,O,O,O,X,X
TILZOSJ,O,O,X,X,X
TILOJSZ,O,X,X,O,O
TILOJZS,O,O,O,O,X
TILOSJZ,O,X,X,O,O
TILOSZJ,O,O,X,O,O
TILOZJS,O,O,X,O,X
TILOZSJ,O,O,X,O,X
TIJLSZO,O,O,O,X,O
TIJLSOZ,O,O,X,X,O
TIJLZSO,O,O,O,X,O
TIJLZOS,O,O,O,X,X
TIJLOSZ,O,X,X,O,O
TIJLOZS,O,O,O,O,X
TIJSLZO,O,O,O,X,O
TIJSLOZ,O,O,X,X,O
TIJSZLO,O,O,O,X,O
TIJSZOL,O,O,O,X,O
TIJSOLZ,O,O,X,X,O
TIJSOZL,O,O,X,X,O
TIJZLSO,O,O,O,X,O
TIJZLOS,O,O,O,X,X
TIJZSLO,O,O,O,X,O
TIJZSOL,O,O,O,X,O
TIJZOLS,O,X,O,X,X
TIJZOSL,O,O,O,X,X
