sequence,v115@8gA8HeB8AeA8CeA8BeB8AeB8BeG8BeF8JeZ/IvhFza?BaiBuiBFhB0lB3qB,v115@8gA8HeB8AeA8CeA8BeB8AeB8BeG8BeF8JeZ/IvhFza?BUcBaiBuiB1lB3qB,v115@8gA8HeB8AeA8CeA8BeB8AeB8BeG8BeF8Jey/IvhFRd?BFhBTiBOkB0lB3qB
TILJSZO,X,O,X
TILJSOZ,O,O,X
TILJZSO,O,O,X
TILJZOS,O,O,X
TILJOSZ,O,O,X
TILJOZS,O,O,X
TILSJZO,X,O,X
TILSJOZ,O,O,X
TILSZJO,X,O,X
TILSZOJ,X,O,X
TILSOJZ,O,O,X
TILSOZJ,X,O,X
TILZJSO,O,O,X
TILZJOS,O,O,X
TILZSJO,O,O,X
TILZSOJ,O,O,X
TILZOJS,O,O,X
TILZOSJ,O,O,X
TILOJSZ,O,O,O
TILOJZS,O,O,O
TILOSJZ,O,O,O
TILOSZJ,X,O,O
TILOZJS,O,O,O
TILOZSJ,O,O,O
TIJLSZO,X,O,X
TIJLSOZ,O,O,X
TIJLZSO,O,O,X
TIJLZOS,O,O,X
TIJLOSZ,O,O,X
TIJLOZS,O,O,X
TIJSLZO,X,O,X
TIJSLOZ,O,O,X
TIJSZLO,X,O,X
TIJSZOL,X,O,X
TIJSOLZ,O,O,X
TIJSOZL,X,O,X
TIJZLSO,O,O,X
TIJZLOS,O,O,X
TIJZSLO,O,O,X
TIJZSOL,O,O,X
TIJZOLS,O,O,X
TIJZOSL,O,O,X
TIJOLSZ,O,O,X
TIJOLZS,O,O,X
TIJOSLZ,O,O,X
TIJOSZL,X,O,X
TIJOZLS,O,O,X
TIJOZSL,O,O,X
TISLJZO,X,O,X
TISLJOZ,O,O,X
TISLZJO,X,O,X
TISLZOJ,X,O,X
TISLOJZ,O,O,X
TISLOZJ,X,O,X
TISJLZO,X,O,X
TISJLOZ,O,O,X
TISJZLO,X,O,X
TISJZOL,X,O,X
TISJOLZ,O,O,X
TISJOZL,X,O,X
TISZLJO,X,O,X
TISZLOJ,X,O,X
TISZJLO,X,O,X
TISZJOL,X,O,X
TISZOLJ,X,O,X
TISZOJL,X,O,X
TISOLJZ,O,O,X
TISOLZJ,X,O,X
TISOJLZ,O,O,X
TISOJZL,X,O,X
TISOZLJ,X,O,X
TISOZJL,X,O,X
TIZLJSO,O,O,X
TIZLJOS,O,O,X
TIZLSJO,O,O,X
TIZLSOJ,O,O,X
TIZLOJS,O,O,X
TIZLOSJ,O,O,X
TIZJLSO,O,O,X
TIZJLOS,O,O,X
TIZJSLO,O,O,X
TIZJSOL,O,O,X
TIZJOLS,O,O,X
TIZJOSL,O,O,X
TIZSLJO,O,O,X
TIZSLOJ,O,O,X
TIZSJLO,O,O,X
TIZSJOL,O,O,X
TIZSOLJ,O,O,X
TIZSOJL,O,O,X
TIZOLJS,O,O,X
TIZOLSJ,O,O,X
TIZOJLS,O,O,X
TIZOJSL,O,O,X
TIZOSLJ,O,O,X
TIZOSJL,O,O,X
TIOLJSZ,O,O,O
TIOLJZS,O,O,O
TIOLSJZ,O,O,O
TIOLSZJ,X,O,O
TIOLZJS,O,O,O
TIOLZSJ,O,O,O
TIOJLSZ,O,O,O
TIOJLZS,O,O,O
TIOJSLZ,O,O,X
TIOJSZL,X,O,X
TIOJZLS,O,O,X
TIOJZSL,O,O,X
TIOSLJZ,O,O,O
TIOSLZJ,X,O,O
TIOSJLZ,O,O,X
TIOSJZL,X,O,X
TIOSZLJ,X,O,X
TIOSZJL,X,O,X
TIOZLJS,O,O,O
TIOZLSJ,O,O,O
TIOZJLS,O,O,X
TIOZJSL,O,O,X
TIOZSLJ,O,O,X
TIOZSJL,O,O,X
TLIJSZO,X,O,X
TLIJSOZ,O,O,X
TLIJZSO,O,O,X
TLIJZOS,O,O,X
TLIJOSZ,O,O,X
TLIJOZS,O,O,X
TLISJZO,X,O,X
TLISJOZ,O,O,X
TLISZJO,X,O,X
TLISZOJ,X,O,X
TLISOJZ,O,O,X
TLISOZJ,X,O,X
TLIZJSO,O,O,X
TLIZJOS,O,O,X
TLIZSJO,O,O,X
TLIZSOJ,O,O,X
TLIZOJS,O,O,X
TLIZOSJ,O,O,X
TLIOJSZ,O,O,O
TLIOJZS,O,O,O
TLIOSJZ,O,O,O
TLIOSZJ,X,O,O
TLIOZJS,O,O,O
TLIOZSJ,O,O,O
TLJISZO,X,O,X
TLJISOZ,O,O,X
TLJIZSO,O,O,X
TLJIZOS,O,O,X
TLJIOSZ,O,O,X
TLJIOZS,O,O,X
TLJSIZO,X,O,X
TLJSIOZ,O,O,X
TLJSZIO,X,O,X
TLJSZOI,X,O,X
TLJSOIZ,O,O,X
TLJSOZI,X,O,X
TLJZISO,O,O,X
TLJZIOS,O,O,X
TLJZSIO,O,O,X
TLJZSOI,O,O,X
TLJZOIS,O,O,X
TLJZOSI,O,O,X
TLJOISZ,O,O,O
TLJOIZS,O,O,O
TLJOSIZ,O,O,O
TLJOSZI,X,O,O
TLJOZIS,O,O,O
TLJOZSI,O,O,O
TLSIJZO,X,O,X
TLSIJOZ,O,O,X
TLSIZJO,X,O,X
TLSIZOJ,X,O,X
TLSIOJZ,O,O,X
TLSIOZJ,X,O,X
TLSJIZO,X,O,X
TLSJIOZ,O,O,X
TLSJZIO,X,O,X
TLSJZOI,X,O,X
TLSJOIZ,O,O,X
TLSJOZI,X,O,X
TLSZIJO,X,O,X
TLSZIOJ,X,O,X
TLSZJIO,X,O,X
TLSZJOI,X,O,X
TLSZOIJ,X,O,X
TLSZOJI,X,O,X
TLSOIJZ,O,O,O
TLSOIZJ,X,O,O
TLSOJIZ,O,O,O
TLSOJZI,X,O,O
TLSOZIJ,X,O,O
TLSOZJI,X,O,O
TLZIJSO,O,O,X
TLZIJOS,O,O,X
TLZISJO,O,O,X
TLZISOJ,O,O,X
TLZIOJS,O,O,O
TLZIOSJ,O,O,O
TLZJISO,O,O,X
TLZJIOS,O,O,X
TLZJSIO,O,O,X
TLZJSOI,O,O,X
TLZJOIS,O,O,O
TLZJOSI,O,O,O
TLZSIJO,O,O,X
TLZSIOJ,O,O,X
TLZSJIO,O,O,X
TLZSJOI,O,O,X
TLZSOIJ,O,O,O
TLZSOJI,O,O,O
TLZOIJS,O,O,O
TLZOISJ,O,O,O
TLZOJIS,O,O,O
TLZOJSI,O,O,O
TLZOSIJ,O,O,O
TLZOSJI,O,O,O
TLOIJSZ,O,O,O
TLOIJZS,O,O,O
TLOISJZ,O,O,O
TLOISZJ,X,O,O
TLOIZJS,O,O,O
TLOIZSJ,O,O,O
TLOJISZ,O,O,O
TLOJIZS,O,O,O
TLOJSIZ,O,O,O
TLOJSZI,X,O,O
TLOJZIS,O,O,O
TLOJZSI,O,O,O
TLOSIJZ,O,O,O
TLOSIZJ,X,O,O
TLOSJIZ,O,O,O
TLOSJZI,X,O,O
TLOSZIJ,X,O,O
TLOSZJI,X,O,O
TLOZIJS,O,O,O
TLOZISJ,O,O,O
TLOZJIS,O,O,O
TLOZJSI,O,O,O
TLOZSIJ,O,O,O
TLOZSJI,O,O,O
TJILSZO,X,O,X
TJILSOZ,O,O,X
TJILZSO,O,O,X
TJILZOS,O,O,X
TJILOSZ,O,O,X
TJILOZS,O,O,X
TJISLZO,X,O,X
TJISLOZ,O,O,X
TJISZLO,X,O,X
TJISZOL,X,O,X
TJISOLZ,O,O,X
TJISOZL,X,O,X
TJIZLSO,O,O,X
TJIZLOS,O,O,X
TJIZSLO,O,O,X
TJIZSOL,O,O,X
TJIZOLS,O,O,X
TJIZOSL,O,O,X
