sequence,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeR7IvhF3cB1iB?6jBzfBWmB0qB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeF7IvhF0cBxdB?flBGjBCmBzqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFRcB1iB?6jBWmBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeqAJvhFxdBzfB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhF0dB6jB?lhBRlB+lBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFxdBlhB?GjBUlBfrBCrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeWAJvhF0dB6jB?lhBRlBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFFcBxdB?3hBGjBUlBqqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFqgBxdB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFxdB0gB?lhBGjBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFTbBXhB?xiBlhBGjB0qB
TILJSZO,O,X,O,X,O,X,O,X,O,O,X
TILJSOZ,O,X,X,O,O,X,X,X,X,X,X
TILJZSO,O,X,O,X,O,X,O,X,O,O,X
TILJZOS,X,X,O,O,O,X,O,X,O,O,X
TILJOSZ,O,X,X,O,O,X,X,X,X,X,X
TILJOZS,O,X,O,O,O,X,O,X,O,O,X
TILSJZO,O,X,O,X,O,X,O,X,X,X,X
TILSJOZ,O,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,O,X,O,X,O,X,X,X,X
TILSZOJ,O,X,O,X,O,X,X,X,X,X,X
TILSOJZ,O,X,X,X,O,X,X,X,X,X,O
TILSOZJ,O,X,X,X,O,X,X,X,X,X,O
TILZJSO,O,X,O,X,O,X,O,X,O,O,X
TILZJOS,O,X,O,X,O,X,O,X,O,O,X
TILZSJO,O,X,O,X,O,X,O,X,X,X,X
TILZSOJ,O,X,O,X,O,X,X,X,X,X,O
TILZOJS,O,X,O,X,O,X,O,X,O,X,X
TILZOSJ,O,X,O,X,O,X,X,X,X,X,O
TILOJSZ,O,X,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,O,O,O,X,O,X,X,X,X
TILOSJZ,O,X,X,X,O,X,X,X,X,X,O
TILOSZJ,O,X,X,X,O,X,X,X,X,X,O
TILOZJS,O,X,O,X,O,X,O,X,X,X,X
TILOZSJ,O,X,O,X,O,X,X,X,X,X,X
TIJLSZO,O,X,O,X,O,X,O,X,O,O,X
TIJLSOZ,O,X,X,O,O,X,X,X,X,X,X
TIJLZSO,O,X,O,X,O,X,O,X,O,O,X
TIJLZOS,X,X,O,O,O,X,O,X,O,O,X
TIJLOSZ,O,X,X,O,O,X,X,X,X,X,X
TIJLOZS,O,X,O,O,O,X,O,X,O,O,X
TIJSLZO,O,X,O,X,X,X,O,X,O,O,X
TIJSLOZ,O,X,X,O,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,O,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,O,X,O,X,O,O,X
TIJZLOS,X,X,O,O,O,X,O,X,O,O,X
TIJZSLO,O,X,O,X,X,X,O,X,X,X,X
TIJZSOL,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,O,O,X,O,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,O,O,X,X,X,X,X,X
TIJOLZS,O,X,O,O,O,X,O,X,O,O,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,O,O,X,O,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,X,O,X,X,X,X
TISLJOZ,O,X,X,X,O,X,X,X,X,X,X
TISLZJO,O,X,O,X,O,X,O,X,X,X,X
TISLZOJ,O,X,O,X,O,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,X,O
TISLOZJ,O,X,X,X,O,X,X,X,X,X,O
TISJLZO,O,X,O,X,X,X,O,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,O,X,X,X,X
TISJZOL,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,O,X,O,X,X,X,X
TISZLOJ,O,X,O,X,O,X,X,X,X,X,X
