sequence,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhFalBulBFiBT?jBcsBXtB,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhFalBulBFiBX?jBctBTsB,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhF3gBGiBTjBK?sBUlBFtB,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhFUgBGiBTjBK?sB3lBFtB
TILJSZO,O,O,O,O
TILJSOZ,O,O,O,O
TILJZSO,O,O,O,O
TILJZOS,O,O,O,O
TILJOSZ,X,O,O,O
TILJOZS,O,O,O,O
TILSJZO,O,O,O,O
TILSJOZ,O,O,O,O
TILSZJO,O,O,O,O
TILSZOJ,O,O,O,O
TILSOJZ,O,O,O,O
TILSOZJ,O,O,O,O
TILZJSO,O,O,O,O
TILZJOS,O,O,O,O
TILZSJO,O,O,O,O
TILZSOJ,O,O,O,O
TILZOJS,O,O,O,O
TILZOSJ,O,O,O,O
TILOJSZ,X,O,O,O
TILOJZS,O,O,O,O
TILOSJZ,X,O,O,O
TILOSZJ,X,O,O,O
TILOZJS,O,O,O,O
TILOZSJ,O,O,O,O
TIJLSZO,O,O,O,O
TIJLSOZ,O,O,O,O
TIJLZSO,O,O,O,O
TIJLZOS,O,O,O,O
TIJLOSZ,X,O,O,O
TIJLOZS,O,O,O,O
TIJSLZO,O,O,O,X
TIJSLOZ,O,O,O,X
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,O,X,X
TIJSOZL,O,O,X,X
TIJZLSO,O,O,X,O
TIJZLOS,O,O,X,O
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,X,O,X,X
TIJOLZS,O,O,X,X
TIJOSLZ,X,O,X,X
TIJOSZL,X,O,X,X
TIJOZLS,O,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,O,O,O,X
TISLJOZ,O,O,O,X
TISLZJO,O,O,O,X
TISLZOJ,O,O,O,X
TISLOJZ,O,O,O,X
TISLOZJ,O,O,O,X
TISJLZO,O,O,O,X
TISJLOZ,O,O,O,X
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,O,X,X
TISJOZL,O,O,X,X
TISZLJO,O,O,X,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,O,X,X
TISOLZJ,O,O,X,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,X
TISOZLJ,O,O,X,X
TISOZJL,O,O,X,X
TIZLJSO,O,O,X,O
TIZLJOS,O,O,X,O
TIZLSJO,O,O,X,O
TIZLSOJ,O,O,X,O
TIZLOJS,O,O,X,O
TIZLOSJ,O,O,X,O
TIZJLSO,O,O,X,O
TIZJLOS,O,O,X,O
TIZJSLO,O,O,X,X
TIZJSOL,O,O,X,X
TIZJOLS,O,O,X,X
TIZJOSL,O,O,X,X
TIZSLJO,O,O,X,X
TIZSLOJ,O,O,X,X
TIZSJLO,O,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,O,X,X
TIZOLSJ,O,O,X,X
TIZOJLS,O,O,X,X
TIZOJSL,O,O,X,X
TIZOSLJ,O,O,X,X
TIZOSJL,O,O,X,X
TIOLJSZ,X,O,X,X
TIOLJZS,O,O,X,X
TIOLSJZ,X,O,X,X
TIOLSZJ,X,O,X,X
TIOLZJS,O,O,X,X
TIOLZSJ,O,O,X,X
TIOJLSZ,X,O,X,X
TIOJLZS,O,O,X,X
TIOJSLZ,X,O,X,X
TIOJSZL,X,O,X,X
TIOJZLS,O,O,X,X
TIOJZSL,O,O,X,X
TIOSLJZ,X,O,X,X
TIOSLZJ,X,O,X,X
TIOSJLZ,X,O,X,X
TIOSJZL,X,O,X,X
TIOSZLJ,X,O,X,X
TIOSZJL,X,O,X,X
TIOZLJS,O,O,X,X
TIOZLSJ,O,O,X,X
TIOZJLS,O,O,X,X
TIOZJSL,O,O,X,X
TIOZSLJ,O,O,X,X
TIOZSJL,O,O,X,X
TLIJSZO,O,O,O,O
TLIJSOZ,O,O,O,O
TLIJZSO,O,O,O,O
TLIJZOS,O,O,O,O
TLIJOSZ,X,O,O,O
TLIJOZS,O,O,O,O
TLISJZO,O,O,O,O
TLISJOZ,O,O,O,O
TLISZJO,O,O,O,O
TLISZOJ,O,O,O,O
TLISOJZ,O,O,O,O
TLISOZJ,O,O,O,O
TLIZJSO,O,O,O,O
TLIZJOS,O,O,O,O
TLIZSJO,O,O,O,O
TLIZSOJ,O,O,O,O
TLIZOJS,O,O,O,O
TLIZOSJ,O,O,O,O
TLIOJSZ,X,O,O,O
TLIOJZS,O,O,O,O
TLIOSJZ,X,O,O,O
TLIOSZJ,X,O,O,O
TLIOZJS,O,O,O,O
TLIOZSJ,O,O,O,O
TLJISZO,O,O,O,O
TLJISOZ,O,O,O,O
TLJIZSO,O,O,O,O
TLJIZOS,O,O,O,O
TLJIOSZ,X,O,O,O
TLJIOZS,O,O,O,O
TLJSIZO,O,O,O,O
TLJSIOZ,O,O,O,O
TLJSZIO,O,O,O,O
TLJSZOI,O,O,O,O
TLJSOIZ,O,O,O,O
TLJSOZI,O,O,O,O
TLJZISO,O,O,O,O
TLJZIOS,O,O,O,O
TLJZSIO,O,O,O,O
TLJZSOI,O,O,O,O
TLJZOIS,O,O,O,O
TLJZOSI,O,O,O,O
TLJOISZ,X,O,O,O
TLJOIZS,O,O,O,O
TLJOSIZ,X,O,O,O
TLJOSZI,X,O,O,O
TLJOZIS,O,O,O,O
TLJOZSI,O,O,O,O
TLSIJZO,O,O,O,O
TLSIJOZ,O,O,O,O
TLSIZJO,O,O,O,O
TLSIZOJ,O,O,O,O
TLSIOJZ,O,O,O,O
TLSIOZJ,O,O,O,O
TLSJIZO,O,O,O,O
TLSJIOZ,O,O,O,O
TLSJZIO,O,O,O,O
TLSJZOI,O,O,O,O
TLSJOIZ,O,O,O,O
TLSJOZI,O,O,O,O
TLSZIJO,O,O,O,O
TLSZIOJ,O,O,O,O
TLSZJIO,O,O,O,O
TLSZJOI,O,O,O,O
TLSZOIJ,O,O,O,O
TLSZOJI,O,O,O,O
TLSOIJZ,O,O,O,O
TLSOIZJ,O,O,O,O
TLSOJIZ,O,O,O,O
TLSOJZI,O,O,O,O
TLSOZIJ,O,O,O,O
TLSOZJI,O,O,O,O
TLZIJSO,O,O,O,O
TLZIJOS,O,O,O,O
TLZISJO,O,O,O,O
TLZISOJ,O,O,O,O
TLZIOJS,O,O,O,O
TLZIOSJ,O,O,O,O
TLZJISO,O,O,O,O
TLZJIOS,O,O,O,O
TLZJSIO,O,O,O,O
TLZJSOI,O,O,O,O
TLZJOIS,O,O,O,O
TLZJOSI,O,O,O,O
TLZSIJO,O,O,O,O
TLZSIOJ,O,O,O,O
TLZSJIO,O,O,O,O
TLZSJOI,O,O,O,O
TLZSOIJ,O,O,O,O
TLZSOJI,O,O,O,O
TLZOIJS,O,O,O,O
TLZOISJ,O,O,O,O
TLZOJIS,O,O,O,O
TLZOJSI,O,O,O,O
TLZOSIJ,O,O,O,O
TLZOSJI,O,O,O,O
TLOIJSZ,X,O,O,O
TLOIJZS,O,O,O,O
TLOISJZ,X,O,O,O
TLOISZJ,X,O,O,O
TLOIZJS,O,O,O,O
TLOIZSJ,O,O,O,O
TLOJISZ,X,O,O,O
TLOJIZS,O,O,O,O
TLOJSIZ,X,O,O,O
TLOJSZI,X,O,O,O
TLOJZIS,O,O,O,O
TLOJZSI,O,O,O,O
TLOSIJZ,X,O,O,O
TLOSIZJ,X,O,O,O
TLOSJIZ,X,O,O,O
TLOSJZI,X,O,O,O
TLOSZIJ,X,O,O,O
TLOSZJI,X,O,O,O
TLOZIJS,O,O,O,O
TLOZISJ,O,O,O,O
TLOZJIS,O,O,O,O
TLOZJSI,O,O,O,O
TLOZSIJ,O,O,O,O
TLOZSJI,O,O,O,O
TJILSZO,O,O,O,O
TJILSOZ,O,O,O,O
TJILZSO,O,O,O,O
TJILZOS,O,O,O,O
TJILOSZ,X,O,O,O
TJILOZS,O,O,O,O
TJISLZO,O,O,O,X
TJISLOZ,O,O,O,X
TJISZLO,O,O,X,X
TJISZOL,O,O,X,X
TJISOLZ,O,O,X,X
TJISOZL,O,O,X,X
TJIZLSO,O,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,O,O,X,X
TJIZSOL,O,O,X,X
TJIZOLS,O,O,X,X
TJIZOSL,O,O,X,X
TJIOLSZ,X,O,X,X
TJIOLZS,O,O,X,X
TJIOSLZ,X,O,X,X
TJIOSZL,X,O,X,X
TJIOZLS,O,O,X,X
TJIOZSL,O,O,X,X
TJLISZO,O,O,O,O
TJLISOZ,O,O,O,O
TJLIZSO,O,O,O,O
TJLIZOS,O,O,O,O
TJLIOSZ,X,O,O,O
TJLIOZS,O,O,O,O
TJLSIZO,O,O,O,O
TJLSIOZ,O,O,O,O
TJLSZIO,O,O,O,O
TJLSZOI,O,O,O,O
TJLSOIZ,O,O,O,O
TJLSOZI,O,O,O,O
TJLZISO,O,O,O,O
TJLZIOS,O,O,O,O
TJLZSIO,O,O,O,O
TJLZSOI,O,O,O,O
TJLZOIS,O,O,O,O
TJLZOSI,O,O,O,O
TJLOISZ,X,O,O,O
TJLOIZS,O,O,O,O
TJLOSIZ,X,O,O,O
TJLOSZI,X,O,O,O
TJLOZIS,O,O,O,O
TJLOZSI,O,O,O,O
TJSILZO,O,O,O,X
TJSILOZ,O,O,O,X
TJSIZLO,O,O,X,X
TJSIZOL,O,O,X,X
TJSIOLZ,O,O,X,X
TJSIOZL,O,O,X,X
TJSLIZO,O,O,O,X
TJSLIOZ,O,O,O,X
TJSLZIO,O,O,O,X
TJSLZOI,O,O,O,X
TJSLOIZ,O,O,O,X
TJSLOZI,O,O,O,X
TJSZILO,O,O,X,X
TJSZIOL,O,O,X,X
TJSZLIO,O,O,X,X
TJSZLOI,O,O,X,X
TJSZOIL,O,O,X,X
TJSZOLI,O,O,X,X
TJSOILZ,O,O,X,X
TJSOIZL,O,O,X,X
TJSOLIZ,O,O,X,X
TJSOLZI,O,O,X,X
TJSOZIL,O,O,X,X
TJSOZLI,O,O,X,X
TJZILSO,O,O,X,O
TJZILOS,O,O,X,O
TJZISLO,O,O,X,X
TJZISOL,O,O,X,X
TJZIOLS,O,O,X,X
TJZIOSL,O,O,X,X
TJZLISO,O,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,O,O,X,O
TJZLSOI,O,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,O,O,X,O
TJZSILO,O,O,X,X
TJZSIOL,O,O,X,X
TJZSLIO,O,O,X,X
TJZSLOI,O,O,X,X
TJZSOIL,O,O,X,X
TJZSOLI,O,O,X,X
TJZOILS,O,O,X,X
TJZOISL,O,O,X,X
TJZOLIS,O,O,X,X
TJZOLSI,O,O,X,X
TJZOSIL,O,O,X,X
TJZOSLI,O,O,X,X
TJOILSZ,X,O,X,X
TJOILZS,O,O,X,X
TJOISLZ,X,O,X,X
TJOISZL,X,O,X,X
TJOIZLS,O,O,X,X
TJOIZSL,O,O,X,X
TJOLISZ,X,O,X,X
TJOLIZS,O,O,X,X
TJOLSIZ,X,O,X,X
TJOLSZI,X,O,X,X
TJOLZIS,O,O,X,X
TJOLZSI,O,O,X,X
TJOSILZ,X,O,X,X
TJOSIZL,X,O,X,X
TJOSLIZ,X,O,X,X
TJOSLZI,X,O,X,X
TJOSZIL,X,O,X,X
TJOSZLI,X,O,X,X
TJOZILS,O,O,X,X
TJOZISL,O,O,X,X
TJOZLIS,O,O,X,X
TJOZLSI,O,O,X,X
TJOZSIL,O,O,X,X
TJOZSLI,O,O,X,X
TSILJZO,O,O,O,X
TSILJOZ,O,O,O,X
TSILZJO,O,O,O,X
TSILZOJ,O,O,O,X
TSILOJZ,O,O,O,X
TSILOZJ,O,O,O,X
TSIJLZO,O,O,O,X
TSIJLOZ,O,O,O,X
TSIJZLO,O,O,X,X
TSIJZOL,O,O,X,X
TSIJOLZ,O,O,X,X
TSIJOZL,O,O,X,X
TSIZLJO,O,O,X,X
TSIZLOJ,O,O,X,X
TSIZJLO,O,O,X,X
TSIZJOL,O,O,X,X
TSIZOLJ,O,O,X,X
TSIZOJL,O,O,X,X
TSIOLJZ,O,O,X,X
TSIOLZJ,O,O,X,X
TSIOJLZ,O,O,X,X
TSIOJZL,O,O,X,X
TSIOZLJ,O,O,X,X
TSIOZJL,O,O,X,X
TSLIJZO,O,O,O,X
TSLIJOZ,O,O,O,X
TSLIZJO,O,O,O,X
TSLIZOJ,O,O,O,X
TSLIOJZ,O,O,O,X
TSLIOZJ,O,O,O,X
TSLJIZO,O,O,O,X
TSLJIOZ,O,O,O,X
TSLJZIO,O,O,O,X
TSLJZOI,O,O,O,X
TSLJOIZ,O,O,O,X
TSLJOZI,O,O,O,X
TSLZIJO,O,O,O,X
TSLZIOJ,O,O,O,X
TSLZJIO,O,O,O,X
TSLZJOI,O,O,O,X
TSLZOIJ,O,O,O,X
TSLZOJI,O,O,O,X
TSLOIJZ,O,O,O,X
TSLOIZJ,O,O,O,X
TSLOJIZ,O,O,O,X
TSLOJZI,O,O,O,X
TSLOZIJ,O,O,O,X
TSLOZJI,O,O,O,X
TSJILZO,O,O,O,X
TSJILOZ,O,O,O,X
TSJIZLO,O,O,X,X
TSJIZOL,O,O,X,X
TSJIOLZ,O,O,X,X
TSJIOZL,O,O,X,X
TSJLIZO,O,O,O,X
TSJLIOZ,O,O,O,X
TSJLZIO,O,O,O,X
TSJLZOI,O,O,O,X
TSJLOIZ,O,O,O,X
TSJLOZI,O,O,O,X
TSJZILO,O,O,X,X
TSJZIOL,O,O,X,X
TSJZLIO,O,O,X,X
TSJZLOI,O,O,X,X
TSJZOIL,O,O,X,X
TSJZOLI,O,O,X,X
TSJOILZ,O,O,X,X
TSJOIZL,O,O,X,X
TSJOLIZ,O,O,X,X
TSJOLZI,O,O,X,X
TSJOZIL,O,O,X,X
TSJOZLI,O,O,X,X
TSZILJO,O,O,X,X
TSZILOJ,O,O,X,X
TSZIJLO,O,O,X,X
TSZIJOL,O,O,X,X
TSZIOLJ,O,O,X,X
TSZIOJL,O,O,X,X
TSZLIJO,O,O,X,X
TSZLIOJ,O,O,X,X
TSZLJIO,O,O,X,X
TSZLJOI,O,O,X,X
TSZLOIJ,O,O,X,X
TSZLOJI,O,O,X,X
TSZJILO,O,O,X,X
TSZJIOL,O,O,X,X
TSZJLIO,O,O,X,X
TSZJLOI,O,O,X,X
TSZJOIL,O,O,X,X
TSZJOLI,O,O,X,X
TSZOILJ,O,O,X,X
TSZOIJL,O,O,X,X
TSZOLIJ,O,O,X,X
TSZOLJI,O,O,X,X
TSZOJIL,O,O,X,X
TSZOJLI,O,O,X,X
TSOILJZ,O,O,X,X
TSOILZJ,O,O,X,X
TSOIJLZ,O,O,X,X
TSOIJZL,O,O,X,X
TSOIZLJ,O,O,X,X
TSOIZJL,O,O,X,X
TSOLIJZ,O,O,X,X
TSOLIZJ,O,O,X,X
TSOLJIZ,O,O,X,X
TSOLJZI,O,O,X,X
TSOLZIJ,O,O,X,X
TSOLZJI,O,O,X,X
TSOJILZ,O,O,X,X
TSOJIZL,O,O,X,X
TSOJLIZ,O,O,X,X
TSOJLZI,O,O,X,X
TSOJZIL,O,O,X,X
TSOJZLI,O,O,X,X
TSOZILJ,O,O,X,X
TSOZIJL,O,O,X,X
TSOZLIJ,O,O,X,X
TSOZLJI,O,O,X,X
TSOZJIL,O,O,X,X
TSOZJLI,O,O,X,X
TZILJSO,O,O,X,O
TZILJOS,O,O,X,O
TZILSJO,O,O,X,O
TZILSOJ,O,O,X,O
TZILOJS,O,O,X,O
TZILOSJ,O,O,X,O
TZIJLSO,O,O,X,O
TZIJLOS,O,O,X,O
TZIJSLO,O,O,X,X
TZIJSOL,O,O,X,X
TZIJOLS,O,O,X,X
TZIJOSL,O,O,X,X
TZISLJO,O,O,X,X
TZISLOJ,O,O,X,X
TZISJLO,O,O,X,X
TZISJOL,O,O,X,X
TZISOLJ,O,O,X,X
TZISOJL,O,O,X,X
TZIOLJS,O,O,X,X
TZIOLSJ,O,O,X,X
TZIOJLS,O,O,X,X
TZIOJSL,O,O,X,X
TZIOSLJ,O,O,X,X
TZIOSJL,O,O,X,X
TZLIJSO,O,O,X,O
TZLIJOS,O,O,X,O
TZLISJO,O,O,X,O
TZLISOJ,O,O,X,O
TZLIOJS,O,O,X,O
TZLIOSJ,O,O,X,O
TZLJISO,O,O,X,O
TZLJIOS,O,O,X,O
TZLJSIO,O,O,X,O
TZLJSOI,O,O,X,O
TZLJOIS,O,O,X,O
TZLJOSI,O,O,X,O
TZLSIJO,O,O,X,O
TZLSIOJ,O,O,X,O
TZLSJIO,O,O,X,O
TZLSJOI,O,O,X,O
TZLSOIJ,O,O,X,O
TZLSOJI,O,O,X,O
TZLOIJS,O,O,X,O
TZLOISJ,O,O,X,O
TZLOJIS,O,O,X,O
TZLOJSI,O,O,X,O
TZLOSIJ,O,O,X,O
TZLOSJI,O,O,X,O
TZJILSO,O,O,X,O
TZJILOS,O,O,X,O
TZJISLO,O,O,X,X
TZJISOL,O,O,X,X
TZJIOLS,O,O,X,X
TZJIOSL,O,O,X,X
TZJLISO,O,O,X,O
TZJLIOS,O,O,X,O
TZJLSIO,O,O,X,O
TZJLSOI,O,O,X,O
TZJLOIS,O,O,X,O
TZJLOSI,O,O,X,O
TZJSILO,O,O,X,X
TZJSIOL,O,O,X,X
TZJSLIO,O,O,X,X
TZJSLOI,O,O,X,X
TZJSOIL,O,O,X,X
TZJSOLI,O,O,X,X
TZJOILS,O,O,X,X
TZJOISL,O,O,X,X
TZJOLIS,O,O,X,X
TZJOLSI,O,O,X,X
TZJOSIL,O,O,X,X
TZJOSLI,O,O,X,X
TZSILJO,O,O,X,X
TZSILOJ,O,O,X,X
TZSIJLO,O,O,X,X
TZSIJOL,O,O,X,X
TZSIOLJ,O,O,X,X
TZSIOJL,O,O,X,X
TZSLIJO,O,O,X,X
TZSLIOJ,O,O,X,X
TZSLJIO,O,O,X,X
TZSLJOI,O,O,X,X
TZSLOIJ,O,O,X,X
TZSLOJI,O,O,X,X
TZSJILO,O,O,X,X
TZSJIOL,O,O,X,X
TZSJLIO,O,O,X,X
TZSJLOI,O,O,X,X
TZSJOIL,O,O,X,X
TZSJOLI,O,O,X,X
TZSOILJ,O,O,X,X
TZSOIJL,O,O,X,X
TZSOLIJ,O,O,X,X
TZSOLJI,O,O,X,X
TZSOJIL,O,O,X,X
TZSOJLI,O,O,X,X
TZOILJS,O,O,X,X
TZOILSJ,O,O,X,X
TZOIJLS,O,O,X,X
TZOIJSL,O,O,X,X
TZOISLJ,O,O,X,X
TZOISJL,O,O,X,X
TZOLIJS,O,O,X,X
TZOLISJ,O,O,X,X
TZOLJIS,O,O,X,X
TZOLJSI,O,O,X,X
TZOLSIJ,O,O,X,X
TZOLSJI,O,O,X,X
TZOJILS,O,O,X,X
TZOJISL,O,O,X,X
TZOJLIS,O,O,X,X
TZOJLSI,O,O,X,X
TZOJSIL,O,O,X,X
TZOJSLI,O,O,X,X
TZOSILJ,O,O,X,X
TZOSIJL,O,O,X,X
TZOSLIJ,O,O,X,X
TZOSLJI,O,O,X,X
TZOSJIL,O,O,X,X
TZOSJLI,O,O,X,X
TOILJSZ,X,O,X,X
TOILJZS,O,O,X,X
TOILSJZ,X,O,X,X
TOILSZJ,X,O,X,X
TOILZJS,O,O,X,X
TOILZSJ,O,O,X,X
TOIJLSZ,X,O,X,X
TOIJLZS,O,O,X,X
TOIJSLZ,X,O,X,X
TOIJSZL,X,O,X,X
TOIJZLS,O,O,X,X
TOIJZSL,O,O,X,X
TOISLJZ,X,O,X,X
TOISLZJ,X,O,X,X
TOISJLZ,X,O,X,X
TOISJZL,X,O,X,X
TOISZLJ,X,O,X,X
TOISZJL,X,O,X,X
TOIZLJS,O,O,X,X
TOIZLSJ,O,O,X,X
TOIZJLS,O,O,X,X
TOIZJSL,O,O,X,X
TOIZSLJ,O,O,X,X
TOIZSJL,O,O,X,X
TOLIJSZ,X,O,X,X
TOLIJZS,O,O,X,X
TOLISJZ,X,O,X,X
TOLISZJ,X,O,X,X
TOLIZJS,O,O,X,X
TOLIZSJ,O,O,X,X
TOLJISZ,X,O,X,X
TOLJIZS,O,O,X,X
