sequence,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgB/iBajB5jB0k?B2uB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBaq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFNgBmdB5jB0iBKp?BfqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhF/iBajB5jBckBzp?BOpB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBidB5jBziBNp?BeqB,v115@2gC8HeB8GeD8FeF8DeG8Je//IvhFUbBTdBejB5jBKp?BdqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFxdBOkB0iB6oBfq?BTpB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFUbBTdBejB5jB3k?ByuB,v115@2gC8HeB8GeD8FeF8DeG8JeN/IvhFmdB5jBXgB0iBip?BzpB,v115@2gC8HeB8GeD8FeF8DeG8JeT6IvhFmdB5jB0iBikB3p?BNqB,v115@2gC8HeB8GeD8FeF8DeG8JeNAJvhFyiB5jBOkB0iBfq?BTpB
TILJSZO,O,X,X,X,O,O,X,O,O,X,O
TILJSOZ,O,X,X,X,O,O,X,O,X,X,O
TILJZSO,O,X,X,X,O,O,X,X,O,X,X
TILJZOS,O,X,X,X,X,O,X,X,O,X,X
TILJOSZ,X,X,X,X,O,O,X,O,X,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,O,X,O,X,X,O,O,O,O,X,O
TILSJOZ,O,X,O,O,X,O,X,O,X,X,O
TILSZJO,O,X,O,X,X,O,O,O,O,X,O
TILSZOJ,X,X,O,O,X,O,O,O,O,X,X
TILSOJZ,O,X,O,O,X,O,X,O,X,X,O
TILSOZJ,X,X,O,O,X,O,X,O,O,X,X
TILZJSO,X,X,O,X,X,O,O,X,O,X,X
TILZJOS,X,X,X,X,X,O,X,X,O,X,X
TILZSJO,X,X,O,X,X,O,O,X,O,X,O
TILZSOJ,X,X,O,X,X,O,O,X,O,X,X
TILZOJS,X,X,X,X,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,O,X,O,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,X,X,X,X,X
TILOSJZ,X,X,X,O,X,O,X,X,X,X,O
TILOSZJ,X,X,X,O,X,O,X,X,O,X,X
TILOZJS,X,X,X,X,X,X,X,X,O,X,X
TILOZSJ,X,X,X,O,X,X,X,X,O,X,X
TIJLSZO,O,X,X,X,O,O,X,O,X,X,O
TIJLSOZ,O,X,X,X,O,O,X,O,X,X,O
TIJLZSO,O,X,X,X,O,O,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,X,O,X,X,X
TIJLOZS,X,X,X,X,O,O,X,X,X,X,X
TIJSLZO,O,X,X,X,O,X,X,X,X,X,O
TIJSLOZ,O,X,X,O,O,X,X,X,X,X,O
TIJSZLO,O,X,X,X,O,X,X,X,X,X,O
TIJSZOL,O,X,X,X,O,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,O,X,X,X,X,X,O
TIJSOZL,O,X,X,O,O,X,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,O,X,X,X,X,X,X
TIJZSOL,O,X,X,X,O,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,O,X,O,X,X,X
TIJOLZS,X,X,X,X,O,O,X,X,X,X,X
TIJOSLZ,O,X,X,O,O,X,X,X,X,X,X
TIJOSZL,O,X,X,O,O,X,X,X,X,X,X
TIJOZLS,O,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,X,O,O,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,O,X,X,X,O
TISLJOZ,O,X,X,O,X,X,X,X,X,X,O
TISLZJO,O,O,X,X,X,X,O,X,O,O,O
TISLZOJ,X,X,X,O,X,X,O,X,X,O,X
TISLOJZ,O,X,X,O,X,X,X,X,X,X,O
TISLOZJ,X,X,X,O,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,O,X,X,X,O
TISJLOZ,O,X,X,O,X,X,X,X,X,X,O
TISJZLO,O,O,X,X,X,X,O,X,O,X,O
TISJZOL,O,O,X,X,X,X,X,X,O,X,X
TISJOLZ,O,X,X,O,X,X,X,X,X,X,O
TISJOZL,O,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,O,X,O,O,O
TISZLOJ,X,X,X,O,X,X,O,X,X,O,X
TISZJLO,O,O,X,X,X,X,O,X,O,O,O
TISZJOL,O,O,X,X,X,X,X,X,O,X,X
TISZOLJ,X,X,X,O,X,X,X,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,O,X,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X,O
TISOLZJ,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,X,X,X,X,X,O
TISOJZL,O,X,X,O,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,X,X,X,X,O,X,X
TIZLJSO,X,X,O,X,X,X,O,X,O,X,X
TIZLJOS,X,X,X,X,X,X,X,X,O,X,X
TIZLSJO,X,X,O,X,X,X,O,X,O,X,O
TIZLSOJ,X,X,O,X,X,X,O,X,O,X,X
TIZLOJS,X,X,X,X,X,X,X,X,O,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,O,X,X
TIZJLSO,O,X,O,X,X,X,X,X,O,X,X
TIZJLOS,O,X,X,X,X,X,X,X,O,X,X
TIZJSLO,O,O,X,X,X,X,X,X,O,O,X
TIZJSOL,O,O,X,X,X,X,X,X,O,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,O,X,O,O,O
TIZSLOJ,X,X,X,O,X,X,O,X,X,O,X
TIZSJLO,O,O,X,X,X,X,O,X,O,O,O
TIZSJOL,O,O,X,X,X,X,X,X,O,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,X,O,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,X,X,X,O
TIOLSZJ,X,O,X,O,X,X,X,X,X,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,O,X,X,X,X,X,X
TIOJSZL,O,O,X,O,O,X,X,X,X,X,X
TIOJZLS,O,O,X,X,O,X,X,X,X,X,X
TIOJZSL,O,O,X,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,O
TIOSLZJ,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,O,X,X,X,X,X,X,O
TIOSJZL,O,O,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,X,X,X
TIOSZJL,X,O,X,O,X,X,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,O,O,X,O
TLIJSOZ,O,X,X,X,O,O,X,O,X,X,O
TLIJZSO,O,X,X,X,O,O,X,X,O,X,X
TLIJZOS,O,X,X,X,X,O,X,X,O,X,X
TLIJOSZ,X,X,X,X,O,O,X,O,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X
TLISJZO,O,X,O,X,X,O,O,O,O,X,O
TLISJOZ,O,X,O,O,X,O,X,O,X,X,O
TLISZJO,O,X,O,X,X,O,O,O,O,X,O
TLISZOJ,X,X,O,O,X,O,O,O,O,X,X
TLISOJZ,O,X,O,O,X,O,X,O,X,X,O
TLISOZJ,X,X,O,O,X,O,X,O,O,X,X
TLIZJSO,X,X,O,X,X,O,O,X,O,X,X
TLIZJOS,X,X,X,X,X,O,X,X,O,X,X
TLIZSJO,X,X,O,X,X,O,O,X,O,X,O
TLIZSOJ,X,X,O,X,X,O,O,X,O,X,X
TLIZOJS,X,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,O,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,O,X,O,X,X,X,X,O
TLIOSZJ,X,X,X,O,X,O,X,X,O,X,X
TLIOZJS,X,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,O,X,X
TLJISZO,O,X,X,X,O,O,X,O,O,X,O
TLJISOZ,O,X,X,X,O,O,X,O,X,X,O
TLJIZSO,O,X,X,X,O,O,X,X,O,X,X
TLJIZOS,O,X,X,X,X,O,X,X,O,X,X
TLJIOSZ,X,X,X,X,O,O,X,O,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X
TLJSIZO,O,X,X,X,O,O,O,O,O,X,O
TLJSIOZ,O,X,X,X,O,O,X,O,X,X,O
TLJSZIO,O,X,X,X,O,O,O,O,O,X,O
TLJSZOI,O,X,X,X,O,O,O,O,O,X,X
TLJSOIZ,O,X,X,X,O,O,X,O,X,X,O
TLJSOZI,O,X,X,X,O,O,O,O,X,X,X
TLJZISO,O,X,X,X,O,O,O,X,O,X,X
TLJZIOS,O,X,X,X,X,O,X,X,O,X,X
TLJZSIO,O,X,X,X,O,O,O,X,O,X,X
TLJZSOI,O,X,X,X,O,O,O,X,O,X,X
TLJZOIS,O,X,X,X,X,O,X,X,O,X,X
TLJZOSI,O,X,X,X,X,O,X,X,O,X,X
TLJOISZ,X,X,X,X,O,O,X,O,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,O,X,X,X
TLJOSZI,X,X,X,X,O,O,X,O,X,X,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,X,X,X,X,X
TLSIJZO,O,X,O,X,X,O,O,O,O,X,O
TLSIJOZ,O,X,O,O,X,O,X,O,X,X,O
TLSIZJO,O,X,O,X,X,O,O,O,O,X,O
TLSIZOJ,X,X,O,O,X,O,O,O,O,X,X
TLSIOJZ,O,X,O,O,X,O,X,O,X,X,O
TLSIOZJ,X,X,O,O,X,O,X,O,O,X,X
TLSJIZO,O,X,O,X,X,O,O,O,O,X,O
TLSJIOZ,O,X,O,O,X,O,X,O,X,X,O
TLSJZIO,O,X,O,X,X,O,O,O,O,X,O
TLSJZOI,O,X,O,X,X,O,O,O,O,X,X
TLSJOIZ,O,X,O,O,X,O,X,O,X,X,O
TLSJOZI,O,X,O,O,X,O,O,O,X,X,X
TLSZIJO,O,X,O,X,X,O,O,O,O,X,O
TLSZIOJ,X,X,O,O,X,O,O,O,O,X,X
TLSZJIO,O,X,O,X,X,O,O,O,O,X,O
TLSZJOI,O,X,O,X,X,O,O,O,O,X,X
TLSZOIJ,X,X,O,O,X,O,O,O,O,X,X
