sequence,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeGBJvhEJnBsiB?6eB3VBzLB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeGBJvhEJnBsiB?6eBTVBPRB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeTAJvhE0hBveB?KVBpLBOGB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeTAJvhE0hBveB?+VBJLB6GB
comments,S_tetraminoO_tetramino - hold O_tetramino if possible,O_tetraminoS_tetramino,float - hold L_tetraminoJ_tetramino if possible, float - hold L_tetraminoJ_tetramino if possible
TILJSZO,O,X,X,X
TILJSOZ,O,X,X,X
TILJZSO,O,X,X,X
TILJZOS,X,O,X,X
TILJOSZ,X,O,X,X
TILJOZS,X,O,X,X
TILSJZO,O,X,X,X
TILSJOZ,O,X,X,X
TILSZJO,O,X,X,X
TILSZOJ,O,X,X,X
TILSOJZ,O,X,X,X
TILSOZJ,O,X,X,X
TILZJSO,O,X,X,X
TILZJOS,X,O,X,X
TILZSJO,O,X,X,X
TILZSOJ,O,X,X,X
TILZOJS,X,O,X,X
TILZOSJ,X,O,X,X
TILOJSZ,X,O,X,X
TILOJZS,X,O,X,X
TILOSJZ,X,O,X,X
TILOSZJ,X,O,X,X
TILOZJS,X,O,X,X
TILOZSJ,X,O,X,X
TIJLSZO,O,X,X,X
TIJLSOZ,O,X,X,X
TIJLZSO,O,X,X,X
TIJLZOS,X,O,X,X
TIJLOSZ,X,O,X,X
TIJLOZS,X,O,X,X
TIJSLZO,O,X,X,X
TIJSLOZ,O,X,X,X
TIJSZLO,O,X,X,X
TIJSZOL,O,X,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,O,X,X,X
TIJZLOS,X,O,X,X
TIJZSLO,O,X,X,X
TIJZSOL,O,X,X,X
TIJZOLS,X,O,X,X
TIJZOSL,X,O,X,X
TIJOLSZ,X,O,X,X
TIJOLZS,X,O,X,X
TIJOSLZ,X,O,X,X
TIJOSZL,X,O,X,X
TIJOZLS,X,O,X,X
TIJOZSL,X,O,X,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,X,X
